,results,K
2006-11-07,2088.5575970220743,59
2006-11-08,2079.8891100528976,59
2006-11-09,2074.9746038881226,59
2006-11-10,2079.534571252971,59
2006-11-13,2064.3463290246627,59
2006-11-14,2062.7346829145017,59
2006-11-15,2083.356967855488,59
2006-11-16,2098.2029519470007,59
2006-11-17,2087.1323828655604,59
2006-11-20,2089.543941392284,59
2006-11-21,2088.271889273613,59
2006-11-22,2072.22791018499,53
2006-11-23,2056.2279118194806,53
2006-11-24,2049.312761580429,49
2006-11-27,2054.607036088141,49
2006-11-28,2063.12748471814,49
2006-11-29,2073.450568883258,39
2006-11-30,2096.0928756780404,39
2006-12-01,2126.9939703082114,39
2006-12-04,2178.4413492323283,49
2006-12-05,2231.0757678526556,27
2006-12-06,2283.772854899979,27
2006-12-07,2340.0206217468854,25
2006-12-08,2397.2095718095748,25
2006-12-11,2445.708855399968,25
2006-12-12,2464.459253871941,25
2006-12-13,2482.5632959502313,25
2006-12-14,2492.4131738555698,49
2006-12-15,2499.899618112181,49
2006-12-18,2535.8183925837966,49
2006-12-19,2568.8152318453745,49
2006-12-20,2594.94251353588,49
2006-12-21,2574.905474591373,53
2006-12-22,2565.116725754846,49
2006-12-25,2583.2810273539994,49
2006-12-26,2585.7424804603056,49
2006-12-27,2582.5218852274334,49
2006-12-28,2584.568692177613,49
2006-12-29,2588.2476076146027,49
2007-01-01,2541.914204448706,49
2007-01-02,2455.1565038322187,49
2007-01-03,2396.5652648814453,49
2007-01-04,2290.5328528892787,53
2007-01-05,2213.236313252814,59
2007-01-08,2164.1891024284323,59
2007-01-09,2151.4272597961585,59
2007-01-10,2152.269002473816,59
2007-01-11,2146.9549845030556,59
2007-01-12,2148.0884363106084,59
2007-01-15,2147.7369284666147,59
2007-01-16,2155.7812161213433,59
2007-01-17,2160.9137069868007,59
2007-01-18,2162.7077550526983,59
2007-01-19,2163.043294171936,59
2007-01-22,2163.9014418635725,59
2007-01-23,2166.889536635095,59
2007-01-24,2172.2149133098833,59
2007-01-25,2174.0173303009506,59
2007-01-26,2176.712803140072,59
2007-01-29,2179.763319056507,59
2007-01-30,2183.1572505063964,59
2007-01-31,2190.728924817713,59
2007-02-01,2198.8791574551287,59
2007-02-02,2205.566895317045,59
2007-02-05,2212.2933550871217,59
2007-02-06,2219.553043813855,59
2007-02-07,2228.694422096637,59
2007-02-08,2234.7733002671953,59
2007-02-09,2241.3105499860953,59
2007-02-12,2250.0005186838544,59
2007-02-13,2265.2541400335926,59
2007-02-14,2293.1369888481013,59
2007-02-15,2325.551382302226,59
2007-02-16,2360.6418301337835,59
2007-02-19,2426.7909826644427,59
2007-02-20,2490.3064746006607,59
2007-02-21,2543.608004969012,53
2007-02-22,2609.1648394258496,53
2007-02-23,2670.3378367808896,53
2007-02-26,2716.956664617382,47
2007-02-27,2772.6547464252485,47
2007-02-28,2818.5671883211235,47
2007-03-01,2888.6156558471007,45
2007-03-02,3008.3016599004336,45
2007-03-05,3114.4947112646296,45
2007-03-06,3214.1697082688315,45
2007-03-07,3310.4349932461755,35
2007-03-08,3408.3402171056014,33
2007-03-09,3483.1599100638527,33
2007-03-12,3548.400559379769,33
2007-03-13,3589.8278929137937,33
2007-03-14,3655.1788161446034,29
2007-03-15,3683.536437515558,29
2007-03-16,3680.5373600365147,29
2007-03-19,3671.226990194374,29
2007-03-20,3677.7614398868686,29
2007-03-21,3689.0796962538643,29
2007-03-22,3714.711618156121,29
2007-03-23,3702.072169257398,29
2007-03-26,3727.017337131609,29
2007-03-27,3774.7835859485185,29
2007-03-28,3815.2651234789337,29
2007-03-29,3894.875453118711,29
2007-03-30,3962.4361963394285,27
2007-04-02,3997.8412929022656,29
2007-04-03,4024.937996451796,27
2007-04-04,4018.1954505298345,29
2007-04-05,4002.4196456401496,29
2007-04-06,3955.4137453349836,29
2007-04-09,3910.7990427826353,29
2007-04-10,3857.3483769694503,29
2007-04-11,3807.448012134672,37
2007-04-12,3754.1727794355693,35
2007-04-13,3716.1346089920285,35
2007-04-16,3625.1356012775323,37
2007-04-17,3489.896508565176,45
2007-04-18,3362.037102915879,45
2007-04-19,3250.7402222750475,45
2007-04-20,3179.468584696319,53
2007-04-23,3172.973755497977,53
2007-04-24,3176.3783177252776,53
2007-04-25,3229.803685332195,53
2007-04-26,3279.100002830127,53
2007-04-27,3315.758621141579,53
2007-04-30,3392.8844733121377,49
2007-05-01,3448.27743541182,47
2007-05-02,3516.3438310822094,47
2007-05-03,3530.384157189014,49
2007-05-04,3546.4221855823566,49
2007-05-07,3576.3448787442717,49
2007-05-08,3575.7314063793733,49
2007-05-09,3511.5162778698514,49
2007-05-10,3444.6599931339447,49
2007-05-11,3373.27282807847,49
2007-05-14,3307.8650811180323,49
2007-05-15,3294.2993979450466,49
2007-05-16,3274.686281270435,47
2007-05-17,3255.9080706073687,47
2007-05-18,3242.3653159027017,47
2007-05-21,3210.2920987913617,49
2007-05-22,3174.9104410584127,49
2007-05-23,3166.66403450368,37
2007-05-24,3123.7523205680614,47
2007-05-25,3063.03809214767,37
2007-05-28,2984.5942184806577,47
2007-05-29,2923.787802219194,47
2007-05-30,2880.701970418798,47
2007-05-31,2831.8606465540447,47
2007-06-01,2763.295460392134,47
2007-06-04,2708.955279086123,47
2007-06-05,2696.2262993025497,49
2007-06-06,2662.0632012555297,49
2007-06-07,2629.3045054904555,49
2007-06-08,2611.166017198078,51
2007-06-11,2559.9460357864205,59
2007-06-12,2530.1315470431746,59
2007-06-13,2478.69257905368,59
2007-06-14,2453.3846791391284,59
2007-06-15,2453.9821949480297,59
2007-06-18,2451.4834289283353,59
2007-06-19,2456.887067442204,59
2007-06-20,2462.0075246263314,59
2007-06-21,2464.8675512183745,59
2007-06-22,2481.1849369787096,59
2007-06-25,2494.769889220476,59
2007-06-26,2490.09666133435,59
2007-06-27,2483.0508816693655,59
2007-06-28,2476.564480419136,59
2007-06-29,2470.4909000676744,59
2007-07-02,2475.4117876559226,59
2007-07-03,2470.85752043225,59
2007-07-04,2471.0066255540105,59
2007-07-05,2478.337807447559,59
2007-07-06,2485.081973884052,59
2007-07-09,2487.197792205563,59
2007-07-10,2488.3970002282595,59
2007-07-11,2493.728063747891,59
2007-07-12,2493.96056618945,59
2007-07-13,2498.108819252421,59
2007-07-16,2502.340332863045,59
2007-07-17,2506.5757190539493,59
2007-07-18,2514.22286740978,59
2007-07-19,2521.294476867426,59
2007-07-20,2530.687351326978,59
2007-07-23,2541.5257236379666,59
2007-07-24,2559.0045094540615,59
2007-07-25,2573.906536097251,59
2007-07-26,2590.811963476874,59
2007-07-27,2609.0004933291198,59
2007-07-30,2622.8630476236513,59
2007-07-31,2618.858744079116,59
2007-08-01,2643.8404206970617,59
2007-08-02,2693.9869437707466,59
2007-08-03,2803.7819956505614,59
2007-08-06,2928.702125773417,59
2007-08-07,3135.081481569508,59
2007-08-08,3276.950392414644,59
2007-08-09,3424.6101672906825,59
2007-08-10,3592.6287834919485,59
2007-08-13,3711.1105120315588,59
2007-08-14,3828.8246317820153,59
2007-08-15,4014.8835901786424,59
2007-08-16,4075.560687263067,59
2007-08-17,4068.763402499688,59
2007-08-20,4010.3583279606096,59
2007-08-21,3970.6659481338284,59
2007-08-22,3923.3384262778736,59
2007-08-23,3911.1181381642295,59
2007-08-24,3913.389328474193,59
2007-08-27,3891.2590363549944,59
2007-08-28,3870.3131338079406,59
2007-08-29,3809.161450429745,59
2007-08-30,3798.269892832148,59
2007-08-31,3750.387221669732,59
2007-09-03,3651.1106142991716,59
2007-09-04,3600.1939756093725,59
2007-09-05,3490.1144212800523,59
2007-09-06,3341.3503300773205,59
2007-09-07,3273.484062431748,59
2007-09-10,3188.597542448853,59
2007-09-11,3087.7810564825363,59
2007-09-12,2926.4557202777173,59
2007-09-13,2779.5285085561172,59
2007-09-14,2655.933972038882,59
2007-09-17,2570.349556134578,59
2007-09-18,2529.0283748990078,59
2007-09-19,2522.0102109662594,59
2007-09-20,2496.5081403396075,59
2007-09-21,2481.4290342596464,59
2007-09-24,2478.8438159072834,59
2007-09-25,2477.9303902115153,59
2007-09-26,2466.540076357888,59
2007-09-27,2449.834504598476,59
2007-09-28,2442.515965246858,59
2007-10-01,2446.0425464162886,59
2007-10-02,2460.120057159475,59
2007-10-03,2476.6575031833395,59
2007-10-04,2497.370654142902,59
2007-10-05,2517.5814664461177,59
2007-10-08,2534.3586089159503,59
2007-10-09,2551.9406212128715,59
2007-10-10,2568.4415944305083,59
2007-10-11,2587.217155105995,59
2007-10-12,2609.1986253872265,59
2007-10-15,2629.632354496057,59
2007-10-16,2648.4911046070606,59
2007-10-17,2665.633794746998,59
2007-10-18,2676.130091157355,59
2007-10-19,2693.4792257587733,59
2007-10-22,2706.019384342464,59
2007-10-23,2720.9075655374163,59
2007-10-24,2737.491240727181,59
2007-10-25,2753.926867067595,59
2007-10-26,2766.852364087968,59
2007-10-29,2778.806699406297,59
2007-10-30,2782.5294598060195,59
2007-10-31,2794.623940275397,59
2007-11-01,2807.21475454765,59
2007-11-02,2822.0774124572713,59
2007-11-05,2843.5347737669135,59
2007-11-06,2866.6052249065165,59
2007-11-07,2892.0166449591957,59
2007-11-08,2927.1592844551415,59
2007-11-09,2966.0623378767073,59
2007-11-12,3017.9802099571757,59
2007-11-13,3089.4941692305497,51
2007-11-14,3182.576786503096,51
2007-11-15,3290.6363565011675,51
2007-11-16,3405.1009814428685,51
2007-11-19,3527.832502287268,51
2007-11-20,3639.167159115575,51
2007-11-21,3766.9930089674303,51
2007-11-22,3908.095337998869,51
2007-11-23,4051.5770653075156,51
