DATE,Current Price GDP China,Quarter
1/1/1992,5.2628E+11,1
4/1/1992,6.4843E+11,2
7/1/1992,7.1926E+11,3
10/1/1992,8.2548E+11,4
1/1/1993,6.8346E+11,1
4/1/1993,8.357E+11,2
7/1/1993,9.3858E+11,3
10/1/1993,1.10959E+12,4
1/1/1994,9.3751E+11,1
4/1/1994,1.1481E+12,2
7/1/1994,1.2868E+12,3
10/1/1994,1.49133E+12,4
1/1/1995,1.21117E+12,1
4/1/1995,1.46129E+12,2
7/1/1995,1.61641E+12,3
10/1/1995,1.84512E+12,4
1/1/1996,1.4628E+12,1
4/1/1996,1.71475E+12,2
7/1/1996,1.86058E+12,3
10/1/1996,2.14324E+12,4
1/1/1997,1.66891E+12,1
4/1/1997,1.91636E+12,2
7/1/1997,2.05009E+12,3
10/1/1997,2.33615E+12,4
1/1/1998,1.80491E+12,1
4/1/1998,2.02966E+12,2
7/1/1998,2.17756E+12,3
10/1/1998,2.50742E+12,4
1/1/1999,1.93619E+12,1
4/1/1999,2.15677E+12,2
7/1/1999,2.30508E+12,3
10/1/1999,2.65839E+12,4
1/1/2000,2.13299E+12,1
4/1/2000,2.40434E+12,2
7/1/2000,2.57125E+12,3
10/1/2000,2.91943E+12,4
1/1/2001,2.40864E+12,1
4/1/2001,2.67266E+12,2
7/1/2001,2.83333E+12,3
10/1/2001,3.17168E+12,4
1/1/2002,2.6295E+12,1
4/1/2002,2.91948E+12,2
7/1/2002,3.12573E+12,3
10/1/2002,3.49703E+12,4
1/1/2003,2.98255E+12,1
4/1/2003,3.25373E+12,2
7/1/2003,3.52919E+12,3
10/1/2003,3.97674E+12,4
1/1/2004,3.45446E+12,1
4/1/2004,3.87008E+12,2
7/1/2004,4.1855E+12,3
10/1/2004,4.67398E+12,4
1/1/2005,4.04533E+12,1
4/1/2005,4.47931E+12,2
7/1/2005,4.80478E+12,3
10/1/2005,5.40248E+12,4
1/1/2006,4.70789E+12,1
4/1/2006,5.26733E+12,2
7/1/2006,5.60647E+12,3
10/1/2006,6.36216E+12,4
1/1/2007,5.71593E+12,1
4/1/2007,6.47816E+12,2
7/1/2007,6.94821E+12,3
10/1/2007,7.86693E+12,4
1/1/2008,6.93736E+12,1
4/1/2008,7.87118E+12,2
7/1/2008,8.24601E+12,3
10/1/2008,8.8699E+12,4
1/1/2009,7.39792E+12,1
4/1/2009,8.38658E+12,2
7/1/2009,8.98469E+12,3
10/1/2009,1.00826E+13,4
1/1/2010,8.75013E+12,1
4/1/2010,9.93474E+12,2
7/1/2010,1.05964E+13,3
10/1/2010,1.19307E+13,4
1/1/2011,1.0447E+13,1
4/1/2011,1.18896E+13,2
7/1/2011,1.26562E+13,3
10/1/2011,1.38012E+13,4
1/1/2012,1.17358E+13,1
4/1/2012,1.31321E+13,2
7/1/2012,1.3809E+13,3
10/1/2012,1.51812E+13,4
1/1/2013,1.2945E+13,1
4/1/2013,1.43519E+13,2
7/1/2013,1.52223E+13,3
10/1/2013,1.67772E+13,4
1/1/2014,1.4027E+13,1
4/1/2014,1.55922E+13,2
7/1/2014,1.64898E+13,3
10/1/2014,1.8019E+13,4
1/1/2015,1.50594E+13,1
4/1/2015,1.67875E+13,2
7/1/2015,1.75804E+13,3
10/1/2015,1.91721E+13,4
1/1/2016,1.60967E+13,1
4/1/2016,1.79879E+13,2
7/1/2016,1.89338E+13,3
10/1/2016,2.09877E+13,4
1/1/2017,1.79403E+13,1
4/1/2017,1.99178E+13,2
7/1/2017,2.09824E+13,3
10/1/2017,2.32349E+13,4
1/1/2018,1.9792E+13,1
4/1/2018,2.19295E+13,2
7/1/2018,2.29496E+13,3
10/1/2018,2.53599E+13,4
1/1/2019,2.13433E+13,1
4/1/2019,2.375E+13,2
