u9,,,,,,,,,,,,,,,,,,
Column1,LME Ni cash price,LME Ni inventory (total),LME Ni inventory (briquette),LME Ni inventory (other forms),Critical Inventory,LME Co cash price,LME Cu cash price,Comex Cu future,Comex Cu future2,LME Al cash price,Fastmarkets- Cobalt LOW,Fastmarkets - Cobalt High,Column2,,,,,
,$/MT,MT,MT,MT,,$/MT,$/MT,$/lb, $/MT ,$/MT,,,,,,,,
,LMNIDY Comdty,LSNI Index,NLSNI BBRI Index,,,LMCODY Comdty,LMCADY Comdty,HGA Comdty,,LMAHDY Comdty,,,,,,,,
,#NAME?,#NAME?,#NAME?,,,#NAME?,#NAME?,#NAME?,,#NAME?,,,,,,,,
Dates,LAST_PRICE,LAST_PRICE,LAST_PRICE,,,LAST_PRICE,LAST_PRICE,LAST_PRICE,,LAST_PRICE,,,,,,,,
#NAME?," $15,074 ",#NAME?,#NAME?,#NAME?,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,"""""",,,,,,
Jan-15," $14,756 ","414,900","165,720","249,180","100,000","31,619"," $6,321 ", $273 ," $6,006 "," $1,805 ",,"""""",1/1/15,,,,,
Jan-15," $15,126 ","414,756","165,972","248,784","100,000","31,365"," $6,214 ", $267 ," $5,891 "," $1,787 ",,"""""",1/1/15,,,,,
Jan-15," $15,191 ","415,338","166,506","248,832","100,000","31,366"," $6,221 ", $267 ," $5,888 "," $1,755 ",,"""""",1/1/15,,,,,
Jan-15," $15,483 ","415,812","167,094","248,718","100,000","31,367"," $6,183 ", $266 ," $5,861 "," $1,762 ",,"""""",1/1/15,,,,,
Jan-15," $15,486 ","415,842","167,124","248,718","100,000","31,371"," $6,176 ", $267 ," $5,888 "," $1,812 ",,"""""",1/1/15,,,,,
Jan-15," $15,236 ","415,164","166,818","248,346","100,000","31,371"," $6,167 ", $265 ," $5,847 "," $1,790 ",,"""""",1/1/15,,,,,
Jan-15," $15,029 ","414,732","166,554","248,178","100,000","31,368"," $6,101 ", $263 ," $5,783 "," $1,791 ",,"""""",1/1/15,,,,,
Jan-15," $14,585 ","416,436","167,244","249,192","100,000","30,769"," $5,940 ", $254 ," $5,595 "," $1,779 ",,"""""",1/1/15,,,,,
Jan-15," $14,241 ","418,320","167,142","251,178","100,000","30,770"," $5,619 ", $241 ," $5,313 "," $1,766 ",,"""""",1/1/15,,,,,
Jan-15," $14,414 ","418,332","167,100","251,232","100,000","30,775"," $5,681 ", $248 ," $5,459 "," $1,782 ",,"""""",1/1/15,,,,,
Jan-15," $14,722 ","418,518","166,470","252,048","100,000","30,774"," $5,768 ", $253 ," $5,580 "," $1,840 ",,"""""",1/1/15,,,,,
Jan-15," $14,417 ","417,900","165,990","251,910","100,000","31,015"," $5,709 ", $253 ," $5,580 "," $1,816 ",,"""""",1/1/15,,,,,
Jan-15," $14,721 ","418,062","165,654","252,408","100,000","30,615"," $5,722 ", $251 ," $5,530 "," $1,842 ",,"""""",1/1/15,,,,,
Jan-15," $14,972 ","419,964","166,794","253,170","100,000","30,816"," $5,801 ", $253 ," $5,565 "," $1,871 ",,"""""",1/1/15,,,,,
Jan-15," $14,792 ","421,842","167,820","254,022","100,000","30,620"," $5,697 ", $250 ," $5,503 "," $1,863 ",,"""""",1/1/15,,,,,
Jan-15," $14,293 ","423,036","168,120","254,916","100,000","30,370"," $5,549 ", $243 ," $5,343 "," $1,823 ",,"""""",1/1/15,,,,,
Jan-15," $14,692 ","424,344","168,900","255,444","100,000","30,368"," $5,629 ", $247 ," $5,436 "," $1,877 ",,"""""",1/1/15,,,,,
Jan-15," $14,731 ","424,110","168,288","255,822","100,000","30,365"," $5,453 ", $239 ," $5,263 "," $1,848 ",,"""""",1/1/15,,,,,
Jan-15," $14,993 ","423,726","167,580","256,146","100,000","29,616"," $5,520 ", $241 ," $5,300 "," $1,840 ",,"""""",1/1/15,,,,,
Jan-15," $14,846 ","425,562","167,778","257,784","100,000","29,620"," $5,433 ", $237 ," $5,227 "," $1,808 ",,"""""",1/1/15,,,,,
Jan-15," $15,109 ","426,240","167,310","258,930","100,000","29,421"," $5,541 ", $241 ," $5,298 "," $1,854 ",,"""""",1/1/15,,,,,
,,,"167,250","-167,250",,,,, $-   ,,0,,1/1/00,,,,,
Feb-15," $15,274 ","424,974","166,194","258,780","100,000","29,439"," $5,525 ", $241 ," $5,303 "," $1,856 ",,"""""",2/1/15,,,,,
Feb-15," $15,256 ","424,572","165,462","259,110","100,000","29,640"," $5,719 ", $250 ," $5,496 "," $1,874 ",,"""""",2/1/15,,,,,
Feb-15," $15,070 ","424,788","165,462","259,326","100,000","29,642"," $5,733 ", $250 ," $5,509 "," $1,862 ",,"""""",2/1/15,,,,,
Feb-15," $15,123 ","423,480","164,070","259,410","100,000","29,646"," $5,744 ", $251 ," $5,526 "," $1,871 ",,"""""",2/1/15,,,,,
Feb-15," $15,179 ","424,206","163,698","260,508","100,000","29,198"," $5,670 ", $250 ," $5,509 "," $1,856 ",,"""""",2/1/15,,,,,
Feb-15," $15,099 ","426,324","164,586","261,738","100,000","29,200"," $5,688 ", $250 ," $5,507 "," $1,859 ",,"""""",2/1/15,,,,,
Feb-15," $14,765 ","426,090","164,460","261,630","100,000","29,055"," $5,605 ", $248 ," $5,452 "," $1,816 ",,"""""",2/1/15,,,,,
Feb-15," $14,691 ","426,018","164,202","261,816","100,000","29,056"," $5,610 ", $245 ," $5,404 "," $1,803 ",,"""""",2/1/15,,,,,
Feb-15," $14,648 ","425,310","163,458","261,852","100,000","29,209"," $5,752 ", $251 ," $5,531 "," $1,826 ",,"""""",2/1/15,,,,,
Feb-15," $14,589 ","426,228","164,658","261,570","100,000","29,059"," $5,754 ", $252 ," $5,552 "," $1,823 ",,"""""",2/1/15,,,,,
Feb-15," $14,542 ","425,838","164,526","261,312","100,000","29,210"," $5,764 ", $252 ," $5,552 "," $1,805 ",,"""""",2/1/15,,,,,
Feb-15," $14,179 ","426,114","165,180","260,934","100,000","29,162"," $5,660 ", $250 ," $5,499 "," $1,799 ",,"""""",2/1/15,,,,,
Feb-15," $14,195 ","425,790","165,000","260,790","100,000","29,164"," $5,760 ", $252 ," $5,558 "," $1,799 ",,"""""",2/1/15,,,,,
Feb-15," $13,928 ","425,604","165,000","260,604","100,000","29,165"," $5,766 ", $253 ," $5,570 "," $1,799 ",,"""""",2/1/15,,,,,
Feb-15," $13,899 ","425,934","165,048","260,886","100,000","29,167"," $5,708 ", $251 ," $5,521 "," $1,775 ",,"""""",2/1/15,,,,,
Feb-15," $14,068 ","424,932","165,048","259,884","100,000","29,016"," $5,685 ", $250 ," $5,507 "," $1,772 ",,"""""",2/1/15,,,,,
Feb-15," $14,291 ","424,548","164,688","259,860","100,000","28,861"," $5,800 ", $255 ," $5,618 "," $1,792 ",,"""""",2/1/15,,,,,
Feb-15," $14,325 ","425,334","164,640","260,694","100,000","28,762"," $5,803 ", $255 ," $5,615 "," $1,779 ",,"""""",2/1/15,,,,,
Feb-15," $14,323 ","427,596","165,594","262,002","100,000","28,767"," $5,918 ", $260 ," $5,719 "," $1,791 ",,"""""",2/1/15,,,,,
Feb-15," $14,037 ","428,676","165,834","262,842","100,000","28,690"," $5,924 ", $260 ," $5,719 "," $1,802 ",,"""""",2/1/15,,,,,
Mar-15," $13,794 ","430,944","166,446","264,498","100,000","28,684"," $5,926 ", $261 ," $5,746 "," $1,789 ",,"""""",3/1/15,,,,,
Mar-15," $13,615 ","430,932","166,302","264,630","100,000","27,676"," $5,842 ", $257 ," $5,660 "," $1,781 ",,"""""",3/1/15,,,,,
Mar-15," $13,879 ","431,274","166,692","264,582","100,000","27,401"," $5,862 ", $257 ," $5,659 "," $1,786 ",,"""""",3/1/15,,,,,
Mar-15," $14,140 ","431,442","166,992","264,450","100,000","27,602"," $5,857 ", $256 ," $5,641 "," $1,786 ",,"""""",3/1/15,,,,,
Mar-15," $14,311 ","431,952","167,754","264,198","100,000","27,603"," $5,766 ", $252 ," $5,554 "," $1,769 ",,"""""",3/1/15,,,,,
Mar-15," $14,447 ","431,856","167,706","264,150","100,000","27,600"," $5,894 ", $258 ," $5,683 "," $1,766 ",,"""""",3/1/15,,,,,
Mar-15," $13,992 ","432,900","167,976","264,924","100,000","27,800"," $5,789 ", $254 ," $5,584 "," $1,746 ",,"""""",3/1/15,,,,,
Mar-15," $13,717 ","432,480","167,484","264,996","100,000","27,800"," $5,755 ", $252 ," $5,541 "," $1,733 ",,"""""",3/1/15,,,,,
Mar-15," $13,848 ","430,854","166,074","264,780","100,000","27,823"," $5,867 ", $257 ," $5,652 "," $1,738 ",,"""""",3/1/15,,,,,
Mar-15," $14,080 ","430,146","165,498","264,648","100,000","27,600"," $5,882 ", $257 ," $5,661 "," $1,769 ",,"""""",3/1/15,,,,,
Mar-15," $13,871 ","428,910","165,012","263,898","100,000","27,635"," $5,864 ", $258 ," $5,675 "," $1,773 ",,"""""",3/1/15,,,,,
Mar-15," $13,678 ","432,120","164,634","267,486","100,000","27,645"," $5,805 ", $254 ," $5,599 "," $1,789 ",,"""""",3/1/15,,,,,
Mar-15," $13,466 ","431,034","163,494","267,540","100,000","27,645"," $5,696 ", $248 ," $5,463 "," $1,759 ",,"""""",3/1/15,,,,,
Mar-15," $13,735 ","431,820","162,894","268,926","100,000","27,647"," $5,879 ", $257 ," $5,654 "," $1,779 ",,"""""",3/1/15,,,,,
Mar-15," $14,210 ","430,482","161,802","268,680","100,000","27,548"," $6,074 ", $266 ," $5,852 "," $1,792 ",,"""""",3/1/15,,,,,
Mar-15," $14,262 ","430,008","161,778","268,230","100,000","27,544"," $6,150 ", $269 ," $5,919 "," $1,788 ",,"""""",3/1/15,,,,,
Mar-15," $13,908 ","431,490","162,042","269,448","100,000","27,393"," $6,174 ", $270 ," $5,950 "," $1,782 ",,"""""",3/1/15,,,,,
Mar-15," $13,629 ","433,980","161,988","271,992","100,000","27,393"," $6,150 ", $269 ," $5,932 "," $1,769 ",,"""""",3/1/15,,,,,
Mar-15," $13,647 ","432,792","161,046","271,746","100,000","27,395"," $6,196 ", $271 ," $5,968 "," $1,783 ",,"""""",3/1/15,,,,,
Mar-15," $13,233 ","433,380","160,344","273,036","100,000","27,196"," $6,079 ", $267 ," $5,874 "," $1,776 ",,"""""",3/1/15,,,,,
Mar-15," $12,825 ","435,048","160,800","274,248","100,000","27,142"," $6,107 ", $268 ," $5,909 "," $1,792 ",,"""""",3/1/15,,,,,
Mar-15," $12,339 ","433,806","160,356","273,450","100,000","26,743"," $6,065 ", $264 ," $5,823 "," $1,781 ",,"""""",3/1/15,,,,,
Apr-15," $12,659 ","432,996","159,522","273,474","100,000","26,448"," $6,068 ", $265 ," $5,841 "," $1,776 ",,"""""",4/1/15,,,,,
Apr-15," $12,977 ","431,790","159,270","272,520","100,000","26,965"," $6,003 ", $264 ," $5,809 "," $1,781 ",,"""""",4/1/15,,,,,
Apr-15," $12,977 ","431,790","159,270","272,520","100,000","26,965"," $6,003 ", $264 ," $5,809 "," $1,781 ",,"""""",4/1/15,,,,,
Apr-15," $12,977 ","431,790","159,270","272,520","100,000","26,965"," $6,003 ", $262 ," $5,774 "," $1,781 ",,"""""",4/1/15,,,,,
Apr-15," $12,496 ","431,970","160,410","271,560","100,000","27,165"," $6,085 ", $267 ," $5,874 "," $1,782 ",,"""""",4/1/15,,,,,
Apr-15," $12,525 ","431,376","160,260","271,116","100,000","27,665"," $6,028 ", $264 ," $5,817 "," $1,770 ",,"""""",4/1/15,,,,,
Apr-15," $12,483 ","431,172","160,482","270,690","100,000","28,670"," $6,015 ", $264 ," $5,812 "," $1,765 ",,"""""",4/1/15,,,,,
Apr-15," $12,582 ","431,292","160,482","270,810","100,000","28,860"," $6,056 ", $264 ," $5,822 "," $1,770 ",,"""""",4/1/15,,,,,
Apr-15," $12,357 ","431,214","160,482","270,732","100,000","28,897"," $6,001 ", $263 ," $5,783 "," $1,775 ",,"""""",4/1/15,,,,,
Apr-15," $12,546 ","431,346","160,782","270,564","100,000","28,606"," $5,955 ", $260 ," $5,735 "," $1,792 ",,"""""",4/1/15,,,,,
Apr-15," $12,635 ","432,000","161,454","270,546","100,000","28,195"," $5,961 ", $262 ," $5,773 "," $1,827 ",,"""""",4/1/15,,,,,
Apr-15," $12,798 ","433,146","163,110","270,036","100,000","28,227"," $6,068 ", $268 ," $5,912 "," $1,837 ",,"""""",4/1/15,,,,,
Apr-15," $12,509 ","433,752","163,140","270,612","100,000","28,777"," $6,069 ", $269 ," $5,920 "," $1,834 ",,"""""",4/1/15,,,,,
Apr-15," $12,751 ","433,734","163,440","270,294","100,000","29,575"," $5,986 ", $265 ," $5,843 "," $1,829 ",,"""""",4/1/15,,,,,
Apr-15," $12,628 ","433,962","163,446","270,516","100,000","29,475"," $5,943 ", $265 ," $5,826 "," $1,834 ",,"""""",4/1/15,,,,,
Apr-15," $12,627 ","434,376","163,446","270,930","100,000","29,625"," $5,902 ", $262 ," $5,773 "," $1,821 ",,"""""",4/1/15,,,,,
Apr-15," $12,658 ","434,712","163,746","270,966","100,000","29,850"," $5,943 ", $264 ," $5,812 "," $1,798 ",,"""""",4/1/15,,,,,
Apr-15," $13,158 ","435,558","163,842","271,716","100,000","29,800"," $6,031 ", $268 ," $5,913 "," $1,843 ",,"""""",4/1/15,,,,,
Apr-15," $13,516 ","436,542","164,142","272,400","100,000","29,748"," $6,070 ", $271 ," $5,958 "," $1,847 ",,"""""",4/1/15,,,,,
Apr-15," $13,410 ","442,950","165,906","277,044","100,000","29,898"," $6,132 ", $271 ," $5,974 "," $1,879 ",,"""""",4/1/15,,,,,
Apr-15," $13,391 ","443,670","166,326","277,344","100,000","30,198"," $6,163 ", $272 ," $5,991 "," $1,892 ",,"""""",4/1/15,,,,,
Apr-15," $13,915 ","444,756","166,506","278,250","100,000","29,902"," $6,365 ", $280 ," $6,173 "," $1,933 ",,"""""",4/1/15,,,,,
May-15," $13,709 ","444,312","166,122","278,190","100,000","30,100"," $6,412 ", $284 ," $6,256 "," $1,902 ",,"""""",5/1/15,,,,,
May-15," $13,709 ","444,312","166,122","278,190","100,000","30,100"," $6,412 ", $284 ," $6,246 "," $1,902 ",,"""""",5/1/15,,,,,
May-15," $14,258 ","444,060","166,272","277,788","100,000","29,845"," $6,482 ", $285 ," $6,282 "," $1,959 ",,"""""",5/1/15,,,,,
May-15," $13,931 ","443,916","166,344","277,572","100,000","29,850"," $6,389 ", $284 ," $6,264 "," $1,900 ",,"""""",5/1/15,,,,,
May-15," $14,099 ","442,434","165,570","276,864","100,000","29,903"," $6,403 ", $283 ," $6,240 "," $1,856 ",,"""""",5/1/15,,,,,
