"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930167597.765363","1015642458.10056","1125139664.80447","1203910614.52514","1271508379.88827","1326256983.24022","1427374301.67598","1505586592.17877","1587709497.2067","1664804469.27374","1767039106.14525","1869273743.01676","2043575418.99441","2120670391.06145","2054189944.13408","2094413407.82123","2230167597.76536","2294972067.03911","2322346368.71508","2304469273.74302","2275418994.41341","2191061452.51397","2240223463.68715","","",
"Afghanistan","AFG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444445","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","5357802447.19804","6661294846.62264","7299328671.82151","8305605022.06252","9033170563.59435","12449212095.4801","13094181353.5296","14136206462.6335","18162502089.5197","19452418367.9231","19794932085.4404","19660709471.8248","19499326022.3662","19320213869.0493","18403410552.6653","18746901733.0497","","",
"Angola","AGO","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896714485.84334","6171664555.55606","9268944319.11638","11543958083.9688","13171613116.371","17739329570.8652","23251227788.1398","30360597136.3425","40382989442.0351","43668255685.8721","44279734274.3704","58374626097.0375","68191034640.9268","80897777871.1395","90986199538.3633","80379086228.0497","70692122430.8979","85631168586.5137","","",
"Albania","ALB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","1350489534.15412","1365198182.30357","1510787487.5","1545825025","1571774975","1659124975","1660736837.5","1287582611.11111","1218994125.21241","1641562844.33558","2178257001.18258","2522368078.96653","3314541301.39169","2447593796.86435","2684992193.70204","3134797248.37075","3216796289.09505","3484217875.53947","3972822134.12836","5130526831.74818","6352358416.1386","7083949882.99825","7841920871.24401","9849228611.966","12040547663.3776","11077316139.1942","10646800832.0473","11508140740.3737","10941409960.3825","11633425697.4866","12201633023.3828","10453817457.4947","10939770293.2716","11879922787.379","13677932515.4738","",
"Andorra","AND","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","21841776285.7612","24105552797.073","27228699299.7562","30410662050.6576","35207805160.8426","41589396042.2515","53421944366.5162","73477770885.8968","89459967169.9924","113154827665.512","134876426140.078","166079293189.818","196942666895.275","226293641890.573","255293326652.015","263436539283.936","270889714841.13","276675310934.448","283892308542.456","295862868937.753","289749485910.488","315290110405.947","362312311916.218","372306453231.654","384750338543.379","393812860877.397","394063523977.368","419605760074.807","452278623358.235","479858405769.216","488610027323.017","496044887518.972","510803621230.878","515492223306.456","520863831632.616","553914314799.766","617989231843.838","696780247148.355","804804766542.203","956337307147.148","1141090468832.71","1175917890053.77","1277613759803.44","1410877017884.88","1567777737005.69","1720538807202.59","1860944292791.08","1854126163172.94","1852239473252.87","1831164310665.5","1877825319337.47","",
"United Arab Emirates","ARE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71329884275.017","78539686861.8108","84958747447.243","102750714771.954","115984206943.499","139810211027.91","172639618788.291","207202722940.776","158521987746.767","170253505786.249","171982028590.878","159524029952.349","175518856364.874","191982845473.111","171220422055.82","173924302246.426","180694622191.967","214030224642.614","",
"Argentina","ARG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","19376160455.8394","14985585096.2044","19434576526.3572","21399411627.8305","22272856090.9355","18504546348.9467","20416857848.8503","23757715275.0245","23591580209.0682","25465199608.0031","26309749588.8786","40565554072.2585","55867666353.7087","37081352153.5353","33780449868.9763","37911999742.129","40255409215.8497","51220430880.779","58617235878.9537","61178949170.177","63800156037.9318","78812915074.4254","61061001542.5307","68035001718.7087","89524443087.2662","89049048325.9559","98492044685.2822","59781714319.5528","113470334123.038","158920813529.103","194086408742.176","195824084384.384","213955318800","211354437000","220510438000","238353211100","243786711100","237777915000","236219366100","223201711200","72446391952.7293","95225639004.8535","124228047654.606","149393165256.55","176044924181.393","217144640947.557","277344288863.729","262658658519.665","336350991663.692","423649649448.919","445242277160.302","457042608919.298","433334542562.24","499614480942.488","464849978689.813","539740213648.741","420946030055.17","",
"Armenia","ARM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510390863.9086","1567812798.63145","1434054772.20166","1328486812.91299","1391840167.85252","1724545303.18269","1783081307.99853","1881082324.74273","2104878097.12587","1998198342.01475","2082374154.28808","2220920260.8727","2354275747.79803","2624341275.46348","3313688255.69407","4216804107.78635","5257011097.96068","7531138265.97416","9539453945.39454","8103802184.13563","8803574367.64122","9780274356.38411","10414812427.1961","11021996422.5877","11334720299.4423","9623769585.72208","9570667084.01996","10645441091.2909","11522273753.0798","",
"American Samoa","ASM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
