Date,Cash Price ($/MT)
2005-01-03,14877.0
2005-01-04,14201.0
2005-01-05,14423.0
2005-01-06,14550.0
2005-01-07,15095.0
2005-01-10,14989.0
2005-01-11,15186.0
2005-01-12,14865.0
2005-01-13,14801.0
2005-01-14,14660.0
2005-01-17,14792.0
2005-01-18,14662.0
2005-01-19,14428.0
2005-01-20,14283.0
2005-01-21,14075.0
2005-01-24,14150.0
2005-01-25,14228.0
2005-01-26,14415.0
2005-01-27,14450.0
2005-01-28,14455.0
2005-01-31,14567.0
2005-02-01,14567.0
2005-02-02,14612.0
2005-02-03,14795.0
2005-02-04,14515.0
2005-02-07,14728.0
2005-02-08,15230.0
2005-02-09,15223.0
2005-02-10,15392.0
2005-02-11,15335.0
2005-02-14,15265.0
2005-02-15,15688.0
2005-02-16,15455.0
2005-02-17,15338.0
2005-02-18,15730.0
2005-02-21,15785.0
2005-02-22,15914.0
2005-02-23,16185.0
2005-02-24,15965.0
2005-02-25,16165.0
2005-02-28,16425.0
2005-03-01,15845.0
2005-03-02,15675.0
2005-03-03,16360.0
2005-03-04,16375.0
2005-03-07,16345.0
2005-03-08,16490.0
2005-03-09,16340.0
2005-03-10,16195.0
2005-03-11,16303.0
2005-03-14,16125.0
2005-03-15,16295.0
2005-03-16,16325.0
2005-03-17,16160.0
2005-03-18,16665.0
2005-03-21,16445.0
2005-03-22,16545.0
2005-03-23,16235.0
2005-03-24,16085.0
2005-03-25,16085.0
2005-03-28,16085.0
2005-03-29,15860.0
2005-03-30,16045.0
2005-03-31,16325.0
2005-04-01,16015.0
2005-04-04,16090.0
2005-04-05,15955.0
2005-04-06,16635.0
2005-04-07,16435.0
2005-04-08,16313.0
2005-04-11,16355.0
2005-04-12,15705.0
2005-04-13,15390.0
2005-04-14,15642.0
2005-04-15,16060.0
2005-04-18,15670.0
2005-04-19,16325.0
2005-04-20,16395.0
2005-04-21,16270.0
2005-04-22,16350.0
2005-04-25,16295.0
2005-04-26,16130.0
2005-04-27,16045.0
2005-04-28,16240.0
2005-04-29,16590.0
2005-05-02,16590.0
2005-05-03,16175.0
2005-05-04,16290.0
2005-05-05,16765.0
2005-05-06,16695.0
2005-05-09,17205.0
2005-05-10,17715.0
2005-05-11,17580.0
2005-05-12,17910.0
2005-05-13,17580.0
2005-05-16,17200.0
2005-05-17,16845.0
2005-05-18,16850.0
2005-05-19,16655.0
2005-05-20,16620.0
2005-05-23,16760.0
2005-05-24,16945.0
2005-05-25,17100.0
2005-05-26,17150.0
2005-05-27,16955.0
2005-05-30,16955.0
2005-05-31,17050.0
2005-06-01,16805.0
2005-06-02,17165.0
2005-06-03,17440.0
2005-06-06,17230.0
2005-06-07,16510.0
2005-06-08,16300.0
2005-06-09,16555.0
2005-06-10,16400.0
2005-06-13,16705.0
2005-06-14,16490.0
2005-06-15,16635.0
2005-06-16,16545.0
2005-06-17,16555.0
2005-06-20,16515.0
2005-06-21,16060.0
2005-06-22,15725.0
2005-06-23,15020.0
2005-06-24,14690.0
2005-06-27,14730.0
2005-06-28,14830.0
2005-06-29,14855.0
2005-06-30,14730.0
2005-07-01,14670.0
2005-07-04,14315.0
2005-07-05,14520.0
2005-07-06,14895.0
2005-07-07,14835.0
2005-07-08,14975.0
2005-07-11,15025.0
2005-07-12,15020.0
2005-07-13,14470.0
2005-07-14,14575.0
2005-07-15,14529.5
2005-07-18,14315.0
2005-07-19,14295.0
2005-07-20,14775.0
2005-07-21,14550.0
2005-07-22,14545.0
2005-07-25,14285.0
2005-07-26,14335.0
2005-07-27,14285.0
2005-07-28,14650.0
2005-07-29,14475.0
2005-08-01,14575.0
2005-08-02,14315.0
2005-08-03,14555.0
2005-08-04,14435.0
2005-08-05,14485.0
2005-08-08,14710.0
2005-08-09,14640.0
2005-08-10,15015.0
2005-08-11,15085.0
2005-08-12,15570.0
2005-08-15,15720.0
2005-08-16,15500.0
2005-08-17,15233.0
2005-08-18,15073.0
2005-08-19,14993.0
2005-08-22,15360.0
2005-08-23,15095.0
2005-08-24,15010.0
2005-08-25,15005.0
2005-08-26,14900.0
2005-08-29,14900.0
2005-08-30,14870.0
2005-08-31,15020.0
2005-09-01,15300.0
2005-09-02,15435.0
2005-09-05,15335.0
2005-09-06,15020.0
2005-09-07,14680.0
2005-09-08,14670.0
2005-09-09,14545.0
2005-09-12,14745.0
2005-09-13,14525.0
2005-09-14,14155.0
2005-09-15,13170.0
2005-09-16,13370.0
2005-09-19,13720.0
2005-09-20,13690.0
2005-09-21,13745.0
2005-09-22,13636.0
2005-09-23,13775.0
2005-09-26,13850.0
2005-09-27,13480.0
2005-09-28,13495.0
2005-09-29,13534.0
2005-09-30,13525.0
2005-10-03,13420.0
2005-10-04,13190.0
2005-10-05,13261.0
2005-10-06,13205.0
2005-10-07,13131.0
2005-10-10,12728.0
2005-10-11,12766.0
2005-10-12,12630.0
2005-10-13,12155.0
2005-10-14,12190.5
2005-10-17,12555.0
2005-10-18,12315.0
