,results,K
2005-11-08,7328.236127693017,59
2005-11-09,7391.215025573879,59
2005-11-10,7446.198033320446,59
2005-11-11,7514.821343940171,59
2005-11-14,7570.2464502446155,59
2005-11-15,7640.216983223637,59
2005-11-16,7687.536681820327,59
2005-11-17,7745.665438189607,59
2005-11-18,7795.5802395359915,59
2005-11-21,7825.383360203695,59
2005-11-22,7820.888441846924,59
2005-11-23,7818.54389186803,59
2005-11-24,7780.564331552875,59
2005-11-25,7719.116815250151,59
2005-11-28,7668.599820778943,59
2005-11-29,7652.196300926011,59
2005-11-30,7644.306021997629,59
2005-12-01,7607.222158363236,59
2005-12-02,7583.604791328037,59
2005-12-05,7576.5457571826055,59
2005-12-06,7572.080712975891,59
2005-12-07,7567.713603395717,59
2005-12-08,7590.333437942556,59
2005-12-09,7615.674978694439,59
2005-12-12,7651.438421905757,59
2005-12-13,7696.51990537526,59
2005-12-14,7737.509236980903,59
2005-12-15,7778.452329683971,59
2005-12-16,7822.141841868227,59
2005-12-19,7863.920330246221,59
2005-12-20,7907.305332495181,59
2005-12-21,7940.714733180005,59
2005-12-22,7970.486293702404,59
2005-12-23,8008.592726573819,59
2005-12-26,8047.558417366106,59
2005-12-27,8085.518396951312,59
2005-12-28,8126.721477581128,59
2005-12-29,8165.292612747535,59
2005-12-30,8205.677452684446,59
2006-01-02,8243.31092451984,59
2006-01-03,8266.935577503693,59
2006-01-04,8295.840014926236,59
2006-01-05,8329.553022522663,59
2006-01-06,8357.215363597461,59
2006-01-09,8372.243750414122,59
2006-01-10,8383.545501611967,59
2006-01-11,8414.134269362476,59
2006-01-12,8444.152418478827,59
2006-01-13,8479.158309566375,59
2006-01-16,8518.34567742333,59
2006-01-17,8559.746686354163,59
2006-01-18,8609.307331278904,59
2006-01-19,8664.203991546796,59
2006-01-20,8725.515169836817,59
2006-01-23,8813.47101754453,59
2006-01-24,8932.003598259878,59
2006-01-25,9077.52053070569,59
2006-01-26,9237.032985216823,59
2006-01-27,9394.554347767114,59
2006-01-30,9538.947634131298,59
2006-01-31,9635.177101806501,59
2006-02-01,9746.258328403119,59
2006-02-02,9855.836858729037,59
2006-02-03,9989.478795644327,59
2006-02-06,10074.999211038989,59
2006-02-07,10160.193681151588,59
2006-02-08,10229.68438890425,59
2006-02-09,10248.630015696119,59
2006-02-10,10278.574425342742,59
2006-02-13,10243.094068141483,59
2006-02-14,10263.484624042097,59
2006-02-15,10347.34203777121,59
2006-02-16,10492.976980871394,59
2006-02-17,10611.021116407253,59
2006-02-20,10719.885914218306,59
2006-02-21,10876.991032814167,59
2006-02-22,11032.737796892674,59
2006-02-23,11168.489760005923,59
2006-02-24,11379.993162325585,59
2006-02-27,11604.94751313158,59
2006-02-28,11843.352342545197,59
2006-03-01,12052.231296202604,59
2006-03-02,12255.129286590734,59
2006-03-03,12416.979077582631,59
2006-03-06,12476.088291051263,59
2006-03-07,12576.956254155772,59
2006-03-08,12749.524590177716,59
2006-03-09,12957.606342967512,59
2006-03-10,13142.480457054957,59
2006-03-13,13384.204914546754,59
2006-03-14,13598.331561930147,59
2006-03-15,13861.57249094645,59
2006-03-16,14286.480412527286,59
2006-03-17,14735.692166010687,59
2006-03-20,15126.250421723336,59
2006-03-21,15347.30948070692,59
2006-03-22,15500.3466877032,59
2006-03-23,15708.033754052834,59
2006-03-24,15681.57070602119,59
2006-03-27,15654.377486483432,59
2006-03-28,15609.613320829572,59
2006-03-29,15594.295340961611,59
2006-03-30,15628.610057340282,59
2006-03-31,15735.1747528633,59
2006-04-03,15891.638504249968,59
2006-04-04,16293.720942489717,59
2006-04-05,16698.69720055901,59
2006-04-06,17215.782755879263,59
2006-04-07,17741.81164739895,59
2006-04-10,18242.787036417743,59
2006-04-11,18568.09615845314,59
2006-04-12,18699.96938299616,59
2006-04-13,18742.712414123136,59
2006-04-14,18830.843538859375,59
2006-04-17,18888.855722877724,59
2006-04-18,19232.749702454672,59
2006-04-19,19443.004515911955,59
2006-04-20,19591.671668988012,59
2006-04-21,19862.21708371044,59
2006-04-24,20186.800779068,59
2006-04-25,20268.348949016727,59
2006-04-26,20255.70581758188,59
2006-04-27,20159.236823273226,59
2006-04-28,20306.30078200339,59
2006-05-01,20351.535104422772,59
2006-05-02,20471.773150128698,59
2006-05-03,20621.61447028947,59
2006-05-04,20909.37669921157,59
2006-05-05,21470.26877041744,59
2006-05-08,21989.665841880043,59
2006-05-09,22455.388720982934,59
2006-05-10,22714.691925009713,59
2006-05-11,23074.79659820609,59
2006-05-12,23474.47674172766,59
2006-05-15,23665.54400726629,59
2006-05-16,24114.779418143735,59
2006-05-17,24480.484235844313,59
2006-05-18,24650.23111896608,59
2006-05-19,25029.279347111093,59
2006-05-22,25393.114809806124,59
2006-05-23,25404.37649843256,59
2006-05-24,25086.43115215446,59
2006-05-25,24668.478498112247,1
2006-05-26,24564.975860247156,59
2006-05-29,24422.55820189329,59
