,results,K
2004-11-05,8614.583813074127,1
2004-11-08,8574.562022041073,1
2004-11-09,8617.194925702257,1
2004-11-10,8741.053008742863,1
2004-11-11,8843.11759703183,1
2004-11-12,8910.28635544316,1
2004-11-15,8977.766532759233,1
2004-11-16,8996.825305383401,1
2004-11-17,9100.552174500152,1
2004-11-18,9147.802520840092,1
2004-11-19,9009.428928750036,1
2004-11-22,8885.55861158952,1
2004-11-23,8951.788064500615,1
2004-11-24,9062.145112938288,1
2004-11-25,9014.788243444598,1
2004-11-26,8988.522437669388,1
2004-11-29,8834.695240721843,1
2004-11-30,8872.556387846838,1
2004-12-01,9004.913508202253,1
2004-12-02,9168.054109834618,1
2004-12-03,9153.452546709024,1
2004-12-06,9202.928084996569,1
2004-12-07,9276.133916206707,1
2004-12-08,9192.909896170531,1
2004-12-09,8654.40661616028,1
2004-12-10,8699.849284883809,1
2004-12-13,8779.442164072603,1
2004-12-14,8787.351003397853,1
2004-12-15,9121.296280512885,1
2004-12-16,9211.713186001502,1
2004-12-17,9123.477473844649,1
2004-12-20,9327.504852230408,1
2004-12-21,9647.612364281245,1
2004-12-22,9861.476525911905,5
2004-12-23,9970.166491242306,1
2004-12-24,10024.323605812971,1
2004-12-27,10164.445128506766,15
2004-12-28,10260.500188964983,15
2004-12-29,10363.799002471847,1
2004-12-30,10481.761103384626,15
2004-12-31,10580.488879908711,1
2005-01-03,10662.244904825724,1
2005-01-04,10745.097147601076,1
2005-01-05,10784.67479187551,1
2005-01-06,10619.937570474971,1
2005-01-07,10686.993637648351,1
2005-01-10,10635.246984259727,1
2005-01-11,10336.186993683554,1
2005-01-12,10497.806630074152,1
2005-01-13,10654.93368084744,1
2005-01-14,10372.585901563256,1
2005-01-17,10545.176981450357,1
2005-01-18,10641.536308193234,1
2005-01-19,10577.062990356757,1
2005-01-20,10716.065957544004,1
2005-01-21,10917.854029843516,1
2005-01-24,10810.364946418362,1
2005-01-25,10953.754633553648,1
2005-01-26,10942.87693690356,1
2005-01-27,11130.146927355638,1
2005-01-28,10957.94773104102,1
2005-01-31,11092.8311993733,1
2005-02-01,11219.711013326641,1
2005-02-02,11189.692722691729,1
2005-02-03,11153.101796559995,1
2005-02-04,11252.2621351022,1
2005-02-07,11388.929117258976,1
2005-02-08,11490.35321270707,1
2005-02-09,11590.579802384711,1
2005-02-10,11246.21055149889,1
2005-02-11,11833.85641845379,1
2005-02-14,11845.034784708881,1
2005-02-15,11843.097687258434,1
2005-02-16,12125.764600044326,1
2005-02-17,12107.963722732664,1
2005-02-18,12239.578088058113,1
2005-02-21,12348.925591516878,1
2005-02-22,12443.809843263174,1
2005-02-23,12601.63349948013,1
2005-02-24,12762.935172024712,1
2005-02-25,12835.539460747073,1
2005-02-28,12954.553544340011,1
2005-03-01,13088.662618731878,1
2005-03-02,13342.070418983098,1
2005-03-03,13240.426230871843,1
2005-03-04,13370.936460230741,1
2005-03-07,13517.391634298087,1
2005-03-08,13699.371383479689,1
2005-03-09,13887.435256349048,1
2005-03-10,13966.895145765378,1
2005-03-11,13983.472524324967,1
2005-03-14,14162.614853761666,1
2005-03-15,14294.311115386708,1
2005-03-16,14409.519744910811,1
2005-03-17,14561.10382059124,1
2005-03-18,14573.9295252303,1
2005-03-21,14597.763571202522,1
2005-03-22,14730.074940316246,1
2005-03-23,14762.595746932257,1
2005-03-24,14669.217771428612,1
2005-03-25,14820.888951257439,1
2005-03-28,14919.893834452196,1
2005-03-29,15048.69495929812,1
2005-03-30,15176.81085066488,1
2005-03-31,15172.802889065486,1
2005-04-01,15344.903662424107,1
2005-04-04,15355.938601526757,1
2005-04-05,15358.791719353085,1
2005-04-06,15057.767141647399,1
2005-04-07,14623.927326674808,1
2005-04-08,14879.030479519977,1
2005-04-11,14574.232065629363,1
2005-04-12,14245.916776519742,1
2005-04-13,14273.794776266364,1
2005-04-14,14495.161622364842,1
2005-04-15,14423.342213108614,1
2005-04-18,14540.189238889077,1
2005-04-19,14472.451422648335,1
2005-04-20,14622.78030378607,1
2005-04-21,14784.059034891096,1
2005-04-22,14626.652784212958,1
2005-04-25,14676.279160164577,59
2005-04-26,14502.249500458189,59
2005-04-27,14232.446750634577,1
2005-04-28,13974.679448199187,1
2005-04-29,14040.942686858609,1
2005-05-02,14170.589582755007,1
2005-05-03,14124.266626809369,1
2005-05-04,14286.30199666924,1
2005-05-05,14172.227415706633,1
2005-05-06,14039.958306499086,1
2005-05-09,13839.134084845873,1
2005-05-10,13939.99834424735,1
2005-05-11,13875.55482614352,1
2005-05-12,13534.343918421107,1
2005-05-13,13671.969800705167,1
2005-05-16,13959.929842306672,1
2005-05-17,13887.577709547115,1
2005-05-18,13765.965915218163,1
2005-05-19,13621.45849947447,1
2005-05-20,13953.185233315155,1
2005-05-23,13979.546618293478,1
2005-05-24,13668.277188809967,1
2005-05-25,13810.278355493925,1
2005-05-26,13047.771817286273,1
2005-05-27,12931.83528620532,1
2005-05-30,12881.31130336739,1
2005-05-31,13013.916397547584,1
2005-06-01,12973.77655972318,1
2005-06-02,13601.612795061239,1
2005-06-03,13267.522179192656,1
2005-06-06,13338.14484561715,1
2005-06-07,13779.917829157224,3
2005-06-08,13704.151465498799,1
2005-06-09,14125.07804104891,9
2005-06-10,14357.468067829202,9
2005-06-13,14674.070290642288,9
2005-06-14,15127.877042346749,59
2005-06-15,15470.13577218951,59
2005-06-16,15527.522100273927,1
2005-06-17,15517.532687030149,1
2005-06-20,15639.57857456139,1
2005-06-21,15740.681651411543,1
2005-06-22,15773.954713566683,1
2005-06-23,16132.716305815067,9
2005-06-24,16276.573102329456,9
2005-06-27,16297.340952232427,9
2005-06-28,16027.843745099031,1
2005-06-29,15752.410586033948,1
2005-06-30,15569.991266880737,1
2005-07-01,15157.395561451149,1
2005-07-04,14876.143490385399,1
2005-07-05,14740.434613175192,1
2005-07-06,14271.412142251875,1
2005-07-07,13658.886312022229,1
2005-07-08,13567.035214211235,1
2005-07-11,11999.847282344972,1
2005-07-12,11217.308089583155,1
2005-07-13,11031.289817820292,1
2005-07-14,10553.940280157814,1
2005-07-15,10546.291785554977,1
2005-07-18,10550.652556577481,1
2005-07-19,10449.944681382236,1
2005-07-20,10547.231556249817,1
2005-07-21,9713.049099930868,1
2005-07-22,9680.022226560704,1
2005-07-25,9648.054433632706,1
2005-07-26,9192.598854522472,1
2005-07-27,9727.848444824405,3
2005-07-28,10140.095759547215,3
2005-07-29,10225.253238126163,1
2005-08-01,9697.080709050433,1
2005-08-02,9183.89582168477,1
2005-08-03,9304.58578917334,1
2005-08-04,9666.482052707139,3
2005-08-05,9661.405078523032,3
2005-08-08,9563.97446418784,1
2005-08-09,9637.933911768141,1
2005-08-10,9544.343262467477,1
2005-08-11,9489.995685402437,1
2005-08-12,9429.44285453433,3
2005-08-15,9352.207357029018,3
2005-08-16,9151.592142783635,1
2005-08-17,7797.88805967704,1
2005-08-18,7015.459603068602,1
2005-08-19,7028.212408638083,1
2005-08-22,6940.048565997658,3
2005-08-23,6461.235357615377,1
2005-08-24,6544.734835875912,3
2005-08-25,6552.045861045578,3
2005-08-26,6607.861764864571,3
2005-08-29,6608.9931317191285,3
2005-08-30,6647.9510925230625,3
2005-08-31,6716.059925781659,3
2005-09-01,6721.753767001733,3
2005-09-02,6724.688157122286,3
2005-09-05,6836.309784083417,39
2005-09-06,6937.052571762247,41
2005-09-07,7012.880673495165,39
2005-09-08,7087.41846629309,41
2005-09-09,7207.157918015356,41
2005-09-12,7355.722472590809,57
2005-09-13,7403.066272135072,57
2005-09-14,7482.690651475,41
2005-09-15,7615.3836656046815,57
2005-09-16,7882.740011796099,57
2005-09-19,8082.4024123891595,41
2005-09-20,8229.699216111196,41
2005-09-21,8367.51289273876,41
2005-09-22,8427.878148106794,41
2005-09-23,8456.620797872094,41
2005-09-26,8442.37925991237,31
2005-09-27,8452.15851392762,27
2005-09-28,8441.498038852335,27
2005-09-29,8348.604283454792,3
2005-09-30,8191.015598810214,3
2005-10-03,8127.421672614451,3
2005-10-04,8147.547075952917,5
2005-10-05,8188.167041111085,41
2005-10-06,8150.517061198084,41
2005-10-07,8079.075854461528,41
2005-10-10,7995.982477124004,41
2005-10-11,7902.437668697351,41
2005-10-12,7754.040287398436,41
2005-10-13,7606.561318072199,57
2005-10-14,7467.505390279405,57
2005-10-17,7319.822550957186,57
2005-10-18,7244.934173031529,57
2005-10-19,7209.789273623464,57
2005-10-20,7158.103143336921,57
2005-10-21,7105.056948133144,57
2005-10-24,7067.633430571673,59
2005-10-25,7044.163859504938,59
2005-10-26,7045.1546863158665,59
2005-10-27,7081.332442134796,59
2005-10-28,7109.44418993521,59
2005-10-31,7144.000089663227,59
2005-11-01,7158.146699553594,57
2005-11-02,7185.412355156418,57
2005-11-03,7203.829272224217,57
2005-11-04,7238.668121584253,59
2005-11-07,7273.434055460546,59
2005-11-08,7308.38704503659,59
2005-11-09,7364.981340846761,59
2005-11-10,7419.06779311743,59
2005-11-11,7492.149521069583,59
2005-11-14,7546.099516666193,59
2005-11-15,7620.441463043585,59
2005-11-16,7669.604987182889,59
2005-11-17,7734.511520352618,59
2005-11-18,7785.567944354665,59
2005-11-21,7826.413829363294,59
2005-11-22,7808.083745173454,59
2005-11-23,7799.37184489432,59
2005-11-24,7739.099695519263,59
2005-11-25,7668.383211612252,59
2005-11-28,7607.03336262798,59
2005-11-29,7578.707207452069,59
2005-11-30,7571.441928701952,59
2005-12-01,7542.512448755768,59
2005-12-02,7523.342985508408,59
2005-12-05,7515.7221338733825,59
2005-12-06,7500.710617714071,59
2005-12-07,7488.389354904879,59
2005-12-08,7503.911546895655,59
2005-12-09,7517.462381988891,59
2005-12-12,7546.393512559951,59
2005-12-13,7587.49980833686,59
2005-12-14,7624.789488849135,59
2005-12-15,7662.715693369243,59
2005-12-16,7704.6555310056365,59
2005-12-19,7745.588162916179,59
2005-12-20,7785.993816547361,59
2005-12-21,7817.4131051874765,59
2005-12-22,7845.681020646428,59
2005-12-23,7881.461868255461,59
2005-12-26,7917.0404608923445,59
2005-12-27,7952.774272420092,59
2005-12-28,7992.722245011354,59
2005-12-29,8030.489925148332,59
2005-12-30,8069.288628130874,59
2006-01-02,8105.427281861531,59
2006-01-03,8128.888778445869,59
2006-01-04,8157.089686083082,59
2006-01-05,8187.739048847527,59
2006-01-06,8213.287363575582,59
2006-01-09,8229.223896101388,59
2006-01-10,8241.932270764799,59
2006-01-11,8269.336185161057,59
2006-01-12,8296.737332110753,59
2006-01-13,8328.861511859961,59
2006-01-16,8364.91474821598,59
2006-01-17,8403.206797933668,59
2006-01-18,8448.165667291973,59
2006-01-19,8500.658715875308,59
2006-01-20,8561.030285979012,59
2006-01-23,8646.45125598711,59
