,results,K
2011-12-30,4294.048872724503,53
2012-01-02,4250.235988973795,53
2012-01-03,4210.335273524048,53
2012-01-04,4250.122340954941,53
2012-01-05,4255.803154533861,53
2012-01-06,4238.434095955146,53
2012-01-09,4208.956101400772,53
2012-01-10,4198.840088617709,53
2012-01-11,4221.969296433308,53
2012-01-12,4235.792519342897,53
2012-01-13,4271.146516420104,53
2012-01-16,4270.130253248866,53
2012-01-17,4298.400047810215,53
2012-01-18,4299.072430634236,53
2012-01-19,4318.471718304738,53
2012-01-20,4332.9920163096895,53
2012-01-23,4341.446362405417,53
2012-01-24,4336.663112208357,53
2012-01-25,4360.33031544454,53
2012-01-26,4365.7769846801,53
2012-01-27,4359.258721053543,59
2012-01-30,4402.071029636115,59
2012-01-31,4470.255125622968,59
2012-02-01,4580.6465355425125,59
2012-02-02,4700.380228719816,59
2012-02-03,4838.44543518776,59
2012-02-06,5001.946754218987,59
2012-02-07,5159.819946477486,59
2012-02-08,5239.298498697431,59
2012-02-09,5231.973065534977,59
2012-02-10,5234.784201939591,59
2012-02-13,5209.9445089954115,59
2012-02-14,5227.012465821614,59
2012-02-15,5250.192386739047,59
2012-02-16,5241.717828700478,59
2012-02-17,5241.37574004469,59
2012-02-20,5136.9806831667465,39
2012-02-21,4976.263754037609,39
2012-02-22,4519.330514191716,1
2012-02-23,4445.581209526889,1
2012-02-24,4318.494530991024,39
2012-02-27,4139.1750291316675,39
2012-02-28,4002.823148182677,39
2012-02-29,3891.5909104325588,39
2012-03-01,3734.717666140219,39
2012-03-02,3603.77697388391,39
2012-03-05,3462.0687600502765,39
2012-03-06,3334.01192030603,39
2012-03-07,3192.702726724547,39
2012-03-08,2765.750041933466,1
2012-03-09,2829.621177662174,1
2012-03-12,2864.5784616478936,39
2012-03-13,2809.9073744208026,39
2012-03-14,2764.7528794883715,39
2012-03-15,2795.7952884771275,39
2012-03-16,2810.85815528517,39
2012-03-19,2812.08532452996,39
2012-03-20,2776.631275052196,39
2012-03-21,2804.7508145026045,39
2012-03-22,2836.390265673922,39
2012-03-23,2878.1165842181895,39
2012-03-26,2898.6938688945465,39
2012-03-27,2921.1343502308073,39
2012-03-28,2969.535821774994,39
2012-03-29,3024.7624694605684,39
2012-03-30,3070.575872466041,39
2012-04-02,3119.8073436327863,25
2012-04-03,3147.987889549262,37
2012-04-04,3126.3001356819364,1
2012-04-05,3137.61392072957,1
2012-04-06,3206.3101783055663,1
2012-04-09,3245.3267329732475,37
2012-04-10,3252.4340327451073,39
2012-04-11,3221.1766503294875,39
2012-04-12,3242.648326478961,37
2012-04-13,3220.657999915222,37
2012-04-16,3174.482869142146,39
2012-04-17,3114.7082278078765,39
2012-04-18,3033.197129983036,39
2012-04-19,2731.481547508897,1
2012-04-20,2404.822818632463,1
2012-04-23,2446.55421383956,1
2012-04-24,2427.6854629924073,1
2012-04-25,2270.4173856551993,1
2012-04-26,2322.4305520837624,1
2012-04-27,2300.6625384723257,1
2012-04-30,2222.7940473136196,1
2012-05-01,2176.8999711270803,1
2012-05-02,2105.543571541971,1
2012-05-03,1898.192115888807,1
2012-05-04,2002.3017672335632,1
2012-05-07,2020.5282164947605,1
2012-05-08,2052.0009249199547,1
2012-05-09,2093.417662101144,1
2012-05-10,2122.629892755805,1
2012-05-11,2213.629716742916,1
2012-05-14,2243.251345241238,1
2012-05-15,2225.1806510453184,1
2012-05-16,2195.1958526942517,1
2012-05-17,2197.9500385655165,1
2012-05-18,2187.8410068390885,1
2012-05-21,2271.5375489256094,59
2012-05-22,2262.0287274302536,59
2012-05-23,2267.2033428234736,59
2012-05-24,2258.4312050929007,59
2012-05-25,2238.890862371343,59
2012-05-28,2207.139871021996,59
2012-05-29,2194.397224777015,59
2012-05-30,2192.6294001306464,59
2012-05-31,2187.4494374896717,59
2012-06-01,2202.856756897451,59
2012-06-04,2253.364034147992,59
2012-06-05,2301.514884296941,59
2012-06-06,2341.0345495533375,59
2012-06-07,2364.567681761327,59
2012-06-08,2370.068513180324,59
2012-06-11,2364.820676239675,59
2012-06-12,2319.4057755156464,59
2012-06-13,2261.326563090124,59
2012-06-14,2157.869989685677,1
2012-06-15,2162.6004818059546,59
2012-06-18,2128.6605285082796,59
2012-06-19,2090.565759294281,59
2012-06-20,2053.8476224058295,59
2012-06-21,1987.9523090950158,59
2012-06-22,1965.443676793233,59
2012-06-25,1906.0624380747663,59
2012-06-26,1862.7156323717857,59
2012-06-27,1787.220999651125,59
2012-06-28,1718.8750969041334,59
2012-06-29,1660.5333013509878,59
2012-07-02,1627.181092632334,59
2012-07-03,1608.7357449685596,59
2012-07-04,1586.1161516097175,59
2012-07-05,1571.96917166509,59
2012-07-06,1547.7941248480975,59
2012-07-09,1544.9721838733813,59
2012-07-10,1544.652650640318,59
2012-07-11,1555.4923212230017,59
2012-07-12,1566.4349851135878,59
2012-07-13,1580.9590019266395,59
2012-07-16,1595.1126921179978,59
2012-07-17,1605.838687221354,59
2012-07-18,1617.3803268317492,59
2012-07-19,1624.4580466805082,59
2012-07-20,1628.0753054900306,59
2012-07-23,1640.9866445260473,59
2012-07-24,1654.2299504823661,59
2012-07-25,1672.1534925663627,59
2012-07-26,1681.2173820267046,59
2012-07-27,1690.3589150963658,59
2012-07-30,1697.668831415433,59
2012-07-31,1696.844268446638,59
2012-08-01,1700.4968477707675,59
2012-08-02,1701.439226308839,59
2012-08-03,1705.1556810171408,59
2012-08-06,1703.2904361686399,59
2012-08-07,1692.6512722143889,59
2012-08-08,1675.87564814695,59
2012-08-09,1668.1150954093046,59
2012-08-10,1665.027918047375,59
2012-08-13,1669.5305365055865,59
2012-08-14,1671.7812818311486,59
2012-08-15,1683.494870237667,59
2012-08-16,1699.2157103847017,59
2012-08-17,1721.175581435849,59
2012-08-20,1737.9997808128521,59
2012-08-21,1756.9259117012932,59
2012-08-22,1768.1283822358605,59
2012-08-23,1788.1624252227,59
2012-08-24,1806.8693648613523,59
2012-08-27,1828.5697907235244,59
2012-08-28,1861.8018958614846,59
2012-08-29,1899.338549233846,59
2012-08-30,1922.4094250488183,59
2012-08-31,1946.9860570751916,59
2012-09-03,1972.9762046558528,59
2012-09-04,1994.5273419063142,59
2012-09-05,2015.3724033026165,59
2012-09-06,2034.401432531944,59
2012-09-07,2047.8580585529585,59
2012-09-10,2061.453060348819,59
