,results,K
2005-11-08,7482.612139756989,59
2005-11-09,7544.905611366865,59
2005-11-10,7599.435772410858,59
2005-11-11,7680.489507647696,59
2005-11-14,7740.3821194061,59
2005-11-15,7817.276296688348,59
2005-11-16,7865.1551876521125,59
2005-11-17,7924.023910630917,59
2005-11-18,7972.165670504699,59
2005-11-21,7992.896044596708,1
2005-11-22,7861.905748055013,1
2005-11-23,7836.185662538104,1
2005-11-24,7694.108853139735,1
2005-11-25,7659.512582469907,1
2005-11-28,7602.1137217997475,1
2005-11-29,7643.591611196046,1
2005-11-30,7483.864047933546,1
2005-12-01,7339.764915782448,1
2005-12-02,7330.238247766636,1
2005-12-05,7325.889754765463,1
2005-12-06,7362.739983558945,1
2005-12-07,7477.385801627103,1
2005-12-08,7467.658253337993,1
2005-12-09,7530.638330360172,1
2005-12-12,7556.521535250915,1
2005-12-13,7568.012358762596,1
2005-12-14,7592.656884426989,1
2005-12-15,7732.918318951963,1
2005-12-16,7734.383987759635,1
2005-12-19,7746.499282004436,1
2005-12-20,7753.197473418275,1
2005-12-21,7762.574446055345,1
2005-12-22,7794.19697722005,1
2005-12-23,7840.6985569046965,1
2005-12-26,7877.410957203324,1
2005-12-27,7919.196527870022,1
2005-12-28,7966.7795312924445,1
2005-12-29,7996.0580593619325,1
2005-12-30,8041.357402476041,1
2006-01-02,8073.378569888592,1
2006-01-03,8088.068735093348,1
2006-01-04,8085.2148378665615,1
2006-01-05,8198.02936536812,1
2006-01-06,8185.731129195826,1
2006-01-09,8162.420899504056,1
2006-01-10,8185.66078115261,1
2006-01-11,8213.430679044268,1
2006-01-12,8253.471347031022,1
2006-01-13,8280.850270883753,1
2006-01-16,8326.414618158908,1
2006-01-17,8391.96455812004,1
2006-01-18,8487.951222516394,1
2006-01-19,8539.122294439498,1
2006-01-20,8643.492321715481,1
2006-01-23,8755.095362659953,1
2006-01-24,8993.7034778688,3
2006-01-25,9287.054442996563,23
2006-01-26,9477.69602260466,23
2006-01-27,9659.855460358538,23
2006-01-30,9839.884230622283,25
2006-01-31,9946.833405172634,23
2006-02-01,10086.80577838738,23
2006-02-02,10208.336334693899,29
2006-02-03,10350.077047426768,23
2006-02-06,10388.411970407537,1
2006-02-07,10401.8684718241,1
2006-02-08,10351.086945823881,1
2006-02-09,10144.774997191302,1
2006-02-10,10222.13229036858,1
2006-02-13,10162.152761773557,1
2006-02-14,10205.500348019254,1
2006-02-15,10453.592990624185,1
2006-02-16,10719.527388054494,3
2006-02-17,10719.83448896698,1
2006-02-20,10820.772655656086,1
2006-02-21,11186.533061994849,3
2006-02-22,11404.374417327848,21
2006-02-23,11551.2036102086,21
2006-02-24,11786.650443503224,21
2006-02-27,12016.54396864992,25
2006-02-28,12223.287971238304,1
2006-03-01,12478.22937589058,21
2006-03-02,12693.311967051197,21
2006-03-03,12849.17109440024,21
2006-03-06,12873.99962398802,21
2006-03-07,12945.798541565218,21
2006-03-08,13107.326582569782,21
2006-03-09,13314.496025723221,21
2006-03-10,13396.291245704719,1
2006-03-13,13592.628123651537,1
2006-03-14,13610.121144712944,1
2006-03-15,14132.483300913038,3
2006-03-16,14669.892066848883,21
2006-03-17,15147.271939175918,21
2006-03-20,15509.42624464394,21
2006-03-21,15697.261007691955,21
2006-03-22,15788.980988409066,1
2006-03-23,15984.03726779976,21
2006-03-24,15889.3570281822,21
2006-03-27,15341.102783125121,1
2006-03-28,15406.91086759046,1
2006-03-29,14684.244864868628,1
2006-03-30,14782.39078342675,1
2006-03-31,15149.747205963637,1
2006-04-03,15355.152039804547,1
2006-04-04,16403.781414935915,13
2006-04-05,16839.30454233548,13
2006-04-06,17575.159216411525,21
2006-04-07,18224.929295027327,1
2006-04-10,18721.923814366117,1
2006-04-11,19029.994717086753,1
2006-04-12,18021.982349464102,1
2006-04-13,17565.1084018558,1
2006-04-14,17859.055342479325,1
2006-04-17,17895.648654468285,1
2006-04-18,18932.058545761647,1
2006-04-19,19181.495607198758,1
2006-04-20,19042.980137858754,1
2006-04-21,19221.79382117082,1
2006-04-24,19831.872991648575,1
2006-04-25,19564.12755733543,1
2006-04-26,19348.101825706282,1
2006-04-27,18912.02153664916,1
2006-04-28,19514.67067814884,1
2006-05-01,19468.31165756703,1
2006-05-02,19680.162749465388,1
2006-05-03,19916.24039385123,1
2006-05-04,21294.328121582723,7
2006-05-05,22286.77926816021,25
2006-05-08,23000.1238998814,27
2006-05-09,23616.332769347344,57
2006-05-10,23890.355143698795,57
2006-05-11,24261.939886609583,57
2006-05-12,24696.11864217558,57
2006-05-15,24901.940394338442,57
2006-05-16,25390.97206556731,57
2006-05-17,25558.57143772197,1
2006-05-18,24819.367574638858,1
2006-05-19,25083.82724202497,1
2006-05-22,25616.089539116325,1
2006-05-23,25360.438014380747,1
2006-05-24,24065.019695110732,1
2006-05-25,23133.144712778074,1
2006-05-26,23719.710539684333,1
2006-05-29,23856.064601002436,1
2006-05-30,24131.268794956333,1
2006-05-31,23932.58672513552,1
2006-06-01,22546.298280271596,1
2006-06-02,21296.98215587479,1
2006-06-05,21616.308919867137,1
2006-06-06,21047.921854481727,1
2006-06-07,20094.043056628743,1
2006-06-08,17892.458546838046,1
2006-06-09,13762.745328776495,1
2006-06-12,14200.17626026439,1
2006-06-13,12139.259875515769,1
2006-06-14,12190.258271833241,1
2006-06-15,12932.35286781586,1
2006-06-16,13350.17713643705,1
2006-06-19,12415.23076696677,1
2006-06-20,11961.74232786461,1
2006-06-21,11551.232997172285,5
2006-06-22,10102.619220128145,1
2006-06-23,10420.096129737865,3
2006-06-26,10619.674337013328,3
2006-06-27,9811.729859645466,3
2006-06-28,9219.636745063037,1
2006-06-29,7561.786155311229,1
2006-06-30,4175.574491880639,1
2006-07-03,4049.924034840796,3
2006-07-04,3388.3113450551796,3
2006-07-05,3198.966353658577,1
2006-07-06,3290.8157409434552,1
2006-07-07,3138.017366593121,1
2006-07-10,3126.0870906879823,1
2006-07-11,2985.7242394245404,5
2006-07-12,2993.673376514739,5
2006-07-13,3008.521452703053,7
2006-07-14,3019.1214622716698,9
2006-07-17,3028.3592631475294,9
2006-07-18,3064.2198672109566,9
2006-07-19,3091.441211206054,9
2006-07-20,3150.0609027800083,9
2006-07-21,3231.7612674338047,23
2006-07-24,3217.6928982240242,23
2006-07-25,3165.215778516893,23
2006-07-26,3108.460194091348,29
2006-07-27,3046.9918832707062,31
2006-07-28,3031.5399444413288,35
2006-07-31,3017.020207881949,41
2006-08-01,3037.4382908453986,43
2006-08-02,3042.2018892272195,47
2006-08-03,3048.586941800331,49
2006-08-04,3056.4447948312973,55
2006-08-07,3079.38437063545,57
2006-08-08,3117.7509072171692,59
2006-08-09,3186.8684749432637,59
2006-08-10,3321.650656283645,59
2006-08-11,3510.3350914707694,59
2006-08-14,3668.366561913864,59
2006-08-15,3815.4756295795114,59
2006-08-16,4026.464827168267,59
2006-08-17,4240.716179232637,59
2006-08-18,4415.660450917802,59
2006-08-21,4546.438402593557,59
2006-08-22,4600.377141320134,59
2006-08-23,4599.559099394115,59
2006-08-24,4627.604624967434,59
2006-08-25,4645.986854285448,59
2006-08-28,4658.959564366379,59
2006-08-29,4667.702580597689,59
2006-08-30,4645.118376908442,59
2006-08-31,4582.534836955662,59
2006-09-01,4451.1303972529095,59
2006-09-04,4313.880485511618,59
2006-09-05,4249.55504745551,59
2006-09-06,4245.280354012656,59
2006-09-07,4238.94476266269,59
2006-09-08,4252.096096883789,59
2006-09-11,4276.544860853207,59
2006-09-12,4282.540401261657,59
2006-09-13,4276.927706884375,59
2006-09-14,4212.133043641064,59
2006-09-15,4136.478026104695,59
2006-09-18,4074.938821517044,59
2006-09-19,3968.3363909203254,59
2006-09-20,3869.3459465052806,57
2006-09-21,3881.0209486829267,53
2006-09-22,3935.343689962558,49
2006-09-25,4034.6583262807503,33
2006-09-26,4185.337174123061,33
2006-09-27,4449.354504330726,33
2006-09-28,4738.785435131135,33
2006-09-29,4858.108280994674,33
2006-10-02,4978.066757441282,33
2006-10-03,5149.338276749786,33
2006-10-04,5351.347604142121,33
2006-10-05,5474.500152733904,33
2006-10-06,5637.336054257556,33
2006-10-09,5745.469996283865,33
2006-10-10,5905.423592077868,33
2006-10-11,6074.262828014931,33
2006-10-12,6281.3326609356145,33
2006-10-13,6508.458691776821,33
2006-10-16,6695.111564253497,39
2006-10-17,6872.298328309826,39
2006-10-18,7007.458540610228,39
2006-10-19,7218.790222768348,49
2006-10-20,7357.301416639053,49
2006-10-23,7495.421454089647,51
2006-10-24,7663.605736996429,51
2006-10-25,7707.513292179062,51
2006-10-26,7845.259064070662,51
2006-10-27,7958.931705349846,49
2006-10-30,8041.545834235772,51
2006-10-31,8099.107480883414,51
2006-11-01,8218.341560447414,51
2006-11-02,8355.730873834838,51
2006-11-03,8482.822780705135,55
2006-11-06,8580.478271200713,55
2006-11-07,8737.116542248226,55
2006-11-08,8876.029626091527,55
2006-11-09,9067.055042216365,55
2006-11-10,9373.802649928408,55
2006-11-13,9641.030025593665,55
2006-11-14,9883.236262214652,55
2006-11-15,10083.451204820716,57
2006-11-16,10091.119554658635,57
2006-11-17,10054.503504571128,55
2006-11-20,9941.354306454248,55
2006-11-21,9886.623533625023,55
2006-11-22,9731.81095877149,55
2006-11-23,9468.439626826992,55
2006-11-24,9266.991374138017,57
2006-11-27,9078.67621847129,55
2006-11-28,8860.691863697693,55
2006-11-29,8643.949256618125,55
2006-11-30,8320.017275379709,57
2006-12-01,8055.529667129528,57
2006-12-04,7794.837850842308,57
2006-12-05,7480.506249980112,57
2006-12-06,7285.492854326484,57
2006-12-07,7139.0369017275425,55
2006-12-08,7119.690391062105,57
2006-12-11,7074.299096914166,57
2006-12-12,7075.231409671702,57
2006-12-13,7069.856857355653,57
2006-12-14,7059.478376822117,57
2006-12-15,7107.398027929377,57
2006-12-18,7133.56753486984,57
2006-12-19,7173.372505891514,57
2006-12-20,7241.835208784016,57
2006-12-21,7302.27534653962,57
2006-12-22,7381.873764410945,57
2006-12-25,7459.04424314615,57
2006-12-26,7527.247324282735,55
2006-12-27,7596.0756002787275,55
2006-12-28,7673.338921826479,57
2006-12-29,7721.02161370362,57
2007-01-01,7763.233980173819,57
2007-01-02,7805.85934527137,57
2007-01-03,7878.538074723307,57
2007-01-04,8016.872156423874,57
2007-01-05,8120.347449952321,55
2007-01-08,8225.915550055071,57
2007-01-09,8392.559060704483,55
2007-01-10,8552.704548121823,55
2007-01-11,8689.503803001408,55
2007-01-12,8838.18327896147,57
2007-01-15,9019.58363656793,55
2007-01-16,9146.785919136115,55
2007-01-17,9235.861609393307,57
2007-01-18,9309.130505120063,57
2007-01-19,9470.874445660922,59
2007-01-22,9514.261310905466,59
2007-01-23,9553.641605327062,59
2007-01-24,9533.393326277106,57
2007-01-25,9551.742618077178,57
2007-01-26,9542.470500181491,59
2007-01-29,9548.306888411838,59
2007-01-30,9604.696684520031,59
2007-01-31,9623.71777134043,59
2007-02-01,9659.156010357603,55
2007-02-02,9734.332264834402,59
2007-02-05,9759.96140724267,59
2007-02-06,9773.660545307355,59
2007-02-07,9797.6135672209,59
2007-02-08,9851.618172765522,59
2007-02-09,9963.839626536765,59
2007-02-12,10061.50392008622,59
2007-02-13,10156.732774656995,59
2007-02-14,10269.83752601358,59
2007-02-15,10368.57971432168,59
2007-02-16,10444.666199211197,59
2007-02-19,10525.71792299253,59
2007-02-20,10648.231890647776,55
2007-02-21,10747.36125997073,55
2007-02-22,10922.8689206305,55
2007-02-23,11041.841611685502,53
2007-02-26,11145.357767703184,55
2007-02-27,11224.575443562024,53
2007-02-28,11399.513154016562,53
2007-03-01,11724.941951712332,53
2007-03-02,12098.108890311654,55
2007-03-05,12590.211741100184,55
2007-03-06,12985.192540148639,55
2007-03-07,13449.404274147495,55
2007-03-08,13874.528309954425,55
2007-03-09,14337.241883648592,55
2007-03-12,14700.97545653306,55
2007-03-13,14935.480868707404,55
2007-03-14,15178.727668276026,55
2007-03-15,15439.383728934994,55
2007-03-16,15741.682420281737,55
2007-03-19,15665.126889612853,55
2007-03-20,15649.791606553492,55
2007-03-21,15550.015916224664,57
2007-03-22,15351.091726222672,55
2007-03-23,15164.751656970204,55
2007-03-26,15022.66626479422,57
2007-03-27,14986.099227644143,57
2007-03-28,14935.150347942566,57
2007-03-29,15055.310677224648,57
2007-03-30,15081.994091608174,57
2007-04-02,15049.940331128231,57
2007-04-03,14978.80698701161,57
2007-04-04,14810.086678410064,57
2007-04-05,14733.374208918956,57
2007-04-06,14706.278836019997,57
2007-04-09,14684.910716998107,57
2007-04-10,14652.864557592304,57
2007-04-11,14673.08449728006,57
2007-04-12,14675.77540661,57
2007-04-13,14632.233771859228,57
2007-04-16,14644.599592271341,57
2007-04-17,14653.721275224243,57
2007-04-18,14776.99415615143,57
2007-04-19,14862.42919677748,57
2007-04-20,14882.764470564816,57
2007-04-23,14825.0225348132,57
2007-04-24,14829.13268228945,57
2007-04-25,14820.418011488331,55
2007-04-26,14848.698087973726,55
2007-04-27,14957.82482133639,57
2007-04-30,15048.979353182021,57
