,results,K
2005-11-08,7466.931076422762,53
2005-11-09,7527.779174359982,59
2005-11-10,7582.443324572039,59
2005-11-11,7660.907423173981,59
2005-11-14,7714.288408119133,59
2005-11-15,7783.53121363909,59
2005-11-16,7827.236333047021,59
2005-11-17,7880.844572955259,59
2005-11-18,7927.027219193482,59
2005-11-21,7957.313962797266,59
2005-11-22,7906.8622698903,1
2005-11-23,7928.582629394589,1
2005-11-24,7822.006220598593,1
2005-11-25,7817.109388646261,1
2005-11-28,7733.519050366031,1
2005-11-29,7722.754118113799,1
2005-11-30,7687.210615091236,1
2005-12-01,7493.982246063975,1
2005-12-02,7503.9132963922575,1
2005-12-05,7500.886795066561,1
2005-12-06,7524.441333277852,1
2005-12-07,7586.913360969172,1
2005-12-08,7616.700814752733,1
2005-12-09,7676.388095287666,1
2005-12-12,7715.078260911742,1
2005-12-13,7732.991174796334,1
2005-12-14,7760.365629870683,1
2005-12-15,7810.23899862937,1
2005-12-16,7898.774908595519,1
2005-12-19,7924.3257359277595,1
2005-12-20,7937.408194051625,1
2005-12-21,7960.144863690987,1
2005-12-22,7995.604193084231,1
2005-12-23,8036.526034105251,1
2005-12-26,8081.127157611437,1
2005-12-27,8122.743620566098,1
2005-12-28,8173.785390977787,1
2005-12-29,8207.117011849585,1
2005-12-30,8252.234536881897,1
2006-01-02,8277.693324797605,1
2006-01-03,8288.133599511122,1
2006-01-04,8295.391234085764,1
2006-01-05,8391.362566984591,1
2006-01-06,8370.301118842985,1
2006-01-09,8333.71835373589,1
2006-01-10,8359.453050948518,1
2006-01-11,8384.130976654835,1
2006-01-12,8416.327040418822,1
2006-01-13,8457.94771395262,1
2006-01-16,8505.182918904653,1
2006-01-17,8599.166818780095,1
2006-01-18,8729.265556747847,1
2006-01-19,8748.585515757364,1
2006-01-20,8811.84135848089,1
2006-01-23,8960.312613870083,1
2006-01-24,9393.567248155516,1
2006-01-25,9643.872844470467,59
2006-01-26,9823.437303717052,59
2006-01-27,9992.996656871714,59
2006-01-30,10187.405372845305,59
2006-01-31,10307.147530864115,59
2006-02-01,10446.142128634729,59
2006-02-02,10586.175244886464,59
2006-02-03,10732.637443988795,59
2006-02-06,10667.284040861168,1
2006-02-07,10722.962143278895,1
2006-02-08,10632.679723418649,1
2006-02-09,10341.097651083808,1
2006-02-10,10428.786654894524,1
2006-02-13,10366.229247185263,1
2006-02-14,10435.123728240416,1
2006-02-15,10643.782997783801,1
2006-02-16,10922.848731202259,1
2006-02-17,10915.133644329626,1
2006-02-20,11061.54216467955,1
2006-02-21,11310.861367218653,1
2006-02-22,11324.664556227233,1
2006-02-23,11480.747039576134,1
2006-02-24,11619.442553065104,1
2006-02-27,11855.880838803378,1
2006-02-28,12081.852726920935,1
