,results,K
2009-01-30,1779.3417892145876,15
2009-02-02,1811.070602850389,17
2009-02-03,1836.3251232045934,17
2009-02-04,1869.5256693940255,15
2009-02-05,1910.165138059253,17
2009-02-06,1989.0705456102141,17
2009-02-09,2069.7467706154316,19
2009-02-10,2138.929695126052,19
2009-02-11,2177.9303243133554,17
2009-02-12,2189.2986101150072,17
2009-02-13,2198.478102173556,19
2009-02-16,2163.7584190446596,11
2009-02-17,2080.0422995788736,11
2009-02-18,2030.9950804949729,11
2009-02-19,1982.236314102434,11
2009-02-20,1911.6468186554498,5
2009-02-23,1886.119878772604,5
2009-02-24,1893.6921984585006,5
2009-02-25,1898.119485114239,5
2009-02-26,1938.0136076808599,5
2009-02-27,1945.1390877046163,5
2009-03-02,1970.0303586094906,5
2009-03-03,1966.8087479217459,1
2009-03-04,1842.1919703451053,1
2009-03-05,1814.7382460726371,1
2009-03-06,1824.733419367643,1
2009-03-09,1867.433259431914,1
2009-03-10,1900.498115507283,1
2009-03-11,1965.962714182899,1
2009-03-12,1999.7384443937399,5
2009-03-13,1992.0849002192956,1
2009-03-16,2027.9016110239104,1
2009-03-17,1981.2424908439657,1
2009-03-18,1936.385994764294,1
2009-03-19,1867.6209413071902,1
2009-03-20,1840.9754259339031,1
2009-03-23,1853.5147410063928,1
2009-03-24,1848.9345491381366,1
2009-03-25,1857.2934349632103,1
2009-03-26,1807.3055237609492,1
2009-03-27,1939.8576752403344,1
2009-03-30,1948.9769465481238,1
2009-03-31,1982.6895666498613,1
2009-04-01,2157.843657055652,1
2009-04-02,2452.9070616496524,5
2009-04-03,2684.6012797051294,5
2009-04-06,2832.5538307853085,5
2009-04-07,2849.955977072412,1
2009-04-08,2890.8448688418102,1
2009-04-09,2842.2750889869544,1
2009-04-10,2881.129837012759,1
2009-04-13,2951.2062133455893,1
2009-04-14,3120.9495951211898,1
2009-04-15,3373.735166149342,3
2009-04-16,3598.28192508558,59
2009-04-17,3759.325770184537,59
2009-04-20,3874.7103835577905,59
2009-04-21,4047.449597882311,59
2009-04-22,4184.889307131394,59
2009-04-23,4315.359076430205,59
2009-04-24,4416.440148470735,59
2009-04-27,4506.563483220395,59
2009-04-28,4464.253848191625,59
2009-04-29,4410.891370300394,59
2009-04-30,4180.324036598847,1
2009-05-01,4312.826865676025,59
2009-05-04,4213.168011842805,3
2009-05-05,3936.3258391394756,3
2009-05-06,2927.451972474218,1
2009-05-07,2782.2877608898243,1
2009-05-08,2780.133871894247,3
2009-05-11,2731.577266435194,5
2009-05-12,2501.902185121936,5
2009-05-13,2005.7574130218336,1
2009-05-14,1804.085607585974,1
2009-05-15,1701.1888544606018,1
2009-05-18,1668.8652297346919,1
2009-05-19,1775.0472436058158,1
2009-05-20,1714.2289108388106,1
2009-05-21,2035.7713975383826,11
2009-05-22,2103.39209134122,11
2009-05-25,2140.566599848823,11
2009-05-26,2195.7815533976454,11
2009-05-27,2154.9904770402077,1
2009-05-28,1861.643315964861,1
2009-05-29,1909.0414705192013,1
2009-06-01,1906.6287953453545,1
2009-06-02,2050.9829880536727,1
2009-06-03,2184.4217903341314,1
2009-06-04,2327.4678768305394,1
2009-06-05,2395.355249191243,1
2009-06-08,2559.173549950057,1
2009-06-09,3105.551738480379,11
2009-06-10,3398.508989467953,11
2009-06-11,3598.8108346452286,11
2009-06-12,3744.210073149524,25
2009-06-15,3727.5226311294705,25
2009-06-16,3734.949429498073,1
2009-06-17,3301.1651888535266,1
2009-06-18,3461.2020048019644,1
2009-06-19,3541.3626523964035,1
2009-06-22,3513.0607800139906,1
2009-06-23,3443.186364028073,1
2009-06-24,3517.4632633512438,1
2009-06-25,3423.9353207597637,1
2009-06-26,3257.7005541494163,1
2009-06-29,2463.6637328210422,1
2009-06-30,3047.242158364869,1
2009-07-01,2928.8671488156824,1
2009-07-02,3056.4592658154133,1
2009-07-03,3079.377015527051,1
2009-07-06,3217.896175102393,1
2009-07-07,3982.2543146997514,1
2009-07-08,3823.5867325207405,1
2009-07-09,3780.490920081191,1
2009-07-10,3727.636114823912,1
2009-07-13,3694.783229710169,1
2009-07-14,3379.5880912596317,1
2009-07-15,3329.502627439519,1
2009-07-16,3266.5726507565882,1
2009-07-17,3517.1455730107814,1
2009-07-20,3553.6207043384966,1
2009-07-21,3499.066081718994,1
2009-07-22,3405.7491945004717,1
2009-07-23,2724.182241133798,1
2009-07-24,2594.0221056338182,1
2009-07-27,2280.7018318034434,1
2009-07-28,2379.919467966438,1
2009-07-29,2419.417057466917,1
2009-07-30,2402.202740413675,1
2009-07-31,2347.8084204062725,1
2009-08-03,2184.2748834197373,1
2009-08-04,2000.1682312742691,1
2009-08-05,1630.2492036264935,1
2009-08-06,1650.9184041757542,1
2009-08-07,1672.367547757764,1
2009-08-10,1646.1597215688437,1
2009-08-11,1687.0735106593008,1
2009-08-12,1554.3758347909518,1
2009-08-13,1560.6816641344726,1
2009-08-14,1576.2076005741903,1
2009-08-17,1590.409947785496,1
2009-08-18,1634.0570417410322,1
2009-08-19,1654.4394829126888,1
2009-08-20,1642.892815513492,1
2009-08-21,1656.5944363591598,1
2009-08-24,1680.4497791555905,1
2009-08-25,1785.2816921390072,1
2009-08-26,2025.617449141886,1
2009-08-27,2058.3334065247104,1
2009-08-28,1969.3797720766484,1
2009-08-31,2128.4935801212387,1
2009-09-01,2314.1835948154694,1
2009-09-02,2210.082948998782,1
2009-09-03,2153.510089346819,1
2009-09-04,2130.356773685896,1
2009-09-07,2117.1003427499,1
2009-09-08,2065.4478078450998,1
2009-09-09,1823.4962022117209,1
2009-09-10,1812.2955597708026,1
2009-09-11,1831.8954092290562,1
2009-09-14,1845.2668893467612,1
2009-09-15,1810.7823562320102,3
2009-09-16,1806.3954464346332,3
2009-09-17,1760.2839983570366,3
2009-09-18,1735.0119030416365,3
2009-09-21,1749.4236464253283,3
2009-09-22,1767.9608802712653,3
2009-09-23,1767.2136875009282,5
2009-09-24,1787.6273290506533,5
2009-09-25,1803.3571352233173,5
2009-09-28,1821.1285674869107,9
2009-09-29,1835.8292079372932,9
2009-09-30,1845.9417468054578,9
2009-10-01,1860.3518923101635,9
2009-10-02,1868.9563570418875,9
2009-10-05,1875.632437399409,9
2009-10-06,1879.2030845134136,9
2009-10-07,1874.0047660521832,9
2009-10-08,1892.2548018650737,9
2009-10-09,1913.7659476606673,9
2009-10-12,1927.429021777886,59
2009-10-13,1940.9313175410334,59
2009-10-14,1948.3764897205926,59
2009-10-15,1953.1166063360906,59
