,results,K
2010-11-09,2379.334117370884,59
2010-11-10,2321.4333013106484,59
2010-11-11,2283.7479172675485,59
2010-11-12,2240.859718861508,59
2010-11-15,2200.590426560667,59
2010-11-16,2144.4367078137825,59
2010-11-17,2126.196953054495,59
2010-11-18,2107.620498953826,57
2010-11-19,2039.63119888615,57
2010-11-22,2009.139507031046,57
2010-11-23,1974.466416951173,59
2010-11-24,1929.2334388088298,59
2010-11-25,1891.4159953996343,57
2010-11-26,1851.3629913943248,57
2010-11-29,1822.220693143363,57
2010-11-30,1810.5080386717632,57
2010-12-01,1811.6806386977917,57
2010-12-02,1796.7967346980572,57
2010-12-03,1820.2612055013378,57
2010-12-06,1856.36514960967,57
2010-12-07,1901.1844987727518,57
2010-12-08,1936.4341828512554,57
2010-12-09,1974.619114966178,57
2010-12-10,2024.6800041240188,57
2010-12-13,2052.696803469116,57
2010-12-14,2082.2392175306154,57
2010-12-15,2061.482531454215,57
2010-12-16,2057.6208466370094,57
2010-12-17,2111.9113018336993,57
2010-12-20,2163.3269604236266,57
2010-12-21,2237.553258534944,59
2010-12-22,2329.408135466523,59
2010-12-23,2389.4968656393653,59
2010-12-24,2436.658728046277,59
2010-12-27,2488.69287500291,59
2010-12-28,2527.4413863315376,59
2010-12-29,2525.3004955696438,59
2010-12-30,2544.1540019464696,59
2010-12-31,2577.0577311516226,59
2011-01-03,2617.879669102653,59
2011-01-04,2650.995028370711,59
2011-01-05,2684.1238462222436,59
2011-01-06,2702.9998982488178,59
2011-01-07,2719.0667465407296,59
2011-01-10,2760.4684688114216,59
2011-01-11,2831.592895655429,59
2011-01-12,2896.429410674379,59
2011-01-13,2970.534851014074,59
2011-01-14,3035.1621080885084,59
2011-01-17,3076.021839770979,59
2011-01-18,3114.9813704115213,59
2011-01-19,3149.2309090716585,59
2011-01-20,3236.7387709384766,59
2011-01-21,3348.1249205590543,59
2011-01-24,3432.7499431081096,59
2011-01-25,3536.1515457636106,59
2011-01-26,3650.0181125084646,59
2011-01-27,3799.787068673037,59
2011-01-28,3949.3667083848936,59
2011-01-31,4057.570434249384,59
2011-02-01,4158.013303718163,59
2011-02-02,4297.398219261354,59
2011-02-03,4422.211164975536,59
2011-02-04,4543.04550052365,59
2011-02-07,4691.815973922398,59
2011-02-08,4835.793916403733,57
2011-02-09,4917.662512491717,57
2011-02-10,5048.783697712919,59
2011-02-11,5071.0598000660575,59
2011-02-14,5093.50795426822,59
2011-02-15,5026.857747717634,59
2011-02-16,4928.333913157403,59
2011-02-17,4790.788908635618,57
2011-02-18,4653.3302672208,55
2011-02-21,4494.741447317578,57
2011-02-22,4440.050303113264,57
2011-02-23,4391.345489347729,57
2011-02-24,4343.308354139158,57
2011-02-25,4332.943925347689,57
2011-02-28,4330.0101089430755,59
2011-03-01,4261.388157039343,57
2011-03-02,4139.6178942185215,59
2011-03-03,4010.4061001069776,59
2011-03-04,3915.01983172998,59
2011-03-07,3811.8152715259034,57
2011-03-08,3654.3165641172645,55
2011-03-09,3545.309105559004,55
2011-03-10,3403.027530625267,57
2011-03-11,3317.6756471065537,57
2011-03-14,3255.2432615213384,55
2011-03-15,3235.657036547092,55
2011-03-16,3218.63465022529,55
2011-03-17,3171.3022043020037,57
2011-03-18,3087.038979457531,57
2011-03-21,3011.3329919417806,57
2011-03-22,2946.0782965325,57
2011-03-23,2880.6365448737797,57
2011-03-24,2812.4944691403016,57
2011-03-25,2711.926731458907,57
2011-03-28,2649.0994339648323,59
2011-03-29,2536.7563318866282,57
2011-03-30,2417.2078414795287,59
2011-03-31,2235.707634117953,59
2011-04-01,2192.3288070474314,59
2011-04-04,2210.0972786230286,59
2011-04-05,2259.6416392312485,59
2011-04-06,2217.7142002840706,59
2011-04-07,2260.8514556596347,59
2011-04-08,2238.7171022202806,59
2011-04-11,2226.1309760936992,59
2011-04-12,2204.413458646497,59
2011-04-13,2159.2680072235253,57
2011-04-14,2209.8137282196562,57
2011-04-15,2211.1133752049013,57
2011-04-18,2112.6473883424082,59
2011-04-19,2098.839164927381,59
2011-04-20,2039.0367151853088,55
2011-04-21,1958.3732992944585,59
2011-04-22,1968.3050641588443,57
2011-04-25,1897.7080475203772,59
2011-04-26,1844.8840892820172,59
2011-04-27,1838.7479734586573,59
2011-04-28,1863.2321785926135,59
2011-04-29,1891.8478185134218,59
2011-05-02,1889.460166517059,57
2011-05-03,1856.606151836371,57
2011-05-04,1775.9036369420874,55
2011-05-05,1721.630224735688,55
2011-05-06,1712.4412218164182,55
2011-05-09,1714.851912209323,55
2011-05-10,1699.0136606821477,59
2011-05-11,1663.0780506260028,59
2011-05-12,1602.4919494397757,59
2011-05-13,1571.5905564922662,59
2011-05-16,1516.7870227685833,59
2011-05-17,1484.072450667373,59
2011-05-18,1464.4294412677232,59
2011-05-19,1457.8812657262208,59
2011-05-20,1439.6789419267866,59
2011-05-23,1439.8910803145047,59
2011-05-24,1437.552604755144,59
2011-05-25,1430.2388144154345,59
2011-05-26,1437.9392467185985,59
2011-05-27,1451.4222222895412,59
2011-05-30,1457.7708632510528,59
2011-05-31,1452.1008231012943,57
2011-06-01,1441.6935692346556,57
2011-06-02,1436.7442569194604,57
2011-06-03,1426.659003261028,57
2011-06-06,1426.1595598899148,59
2011-06-07,1429.4956568437235,59
2011-06-08,1433.9857882319925,59
2011-06-09,1443.4967699303138,59
2011-06-10,1456.244168695825,59
2011-06-13,1473.4969146391522,59
2011-06-14,1494.068552767882,59
2011-06-15,1513.5862329592833,59
2011-06-16,1529.59527002325,59
2011-06-17,1548.1131497392141,59
2011-06-20,1566.4604622573581,59
2011-06-21,1594.0624311472677,59
2011-06-22,1625.6463909845902,59
2011-06-23,1637.648930887652,59
2011-06-24,1648.4817032571132,59
2011-06-27,1663.5665060491897,59
2011-06-28,1668.6376795297963,59
2011-06-29,1688.0388782950888,59
2011-06-30,1691.4751325694506,59
2011-07-01,1703.8237183618307,59
2011-07-04,1718.8780440265925,59
2011-07-05,1740.2856437405585,59
2011-07-06,1760.8529654041824,59
2011-07-07,1766.7938307606055,59
2011-07-08,1768.781284618259,59
2011-07-11,1772.1757231595618,59
2011-07-12,1771.0628935929105,59
2011-07-13,1778.025051926947,59
2011-07-14,1782.3631743512378,59
2011-07-15,1796.6536693630962,59
2011-07-18,1808.9407260507307,59
2011-07-19,1824.6678777470672,59
2011-07-20,1840.228398327623,59
2011-07-21,1853.8693805263017,59
2011-07-22,1871.933166434431,59
2011-07-25,1881.793766250043,59
2011-07-26,1894.8438729835093,59
2011-07-27,1908.5043075548404,59
2011-07-28,1921.6686086102948,59
2011-07-29,1939.0235457228423,59
2011-08-01,1954.3548964805627,59
2011-08-02,1968.0142999302552,59
2011-08-03,1985.6982555118245,59
