,results,K
2010-11-09,2317.2491334921615,59
2010-11-10,2234.713697269696,59
2010-11-11,2162.751230904909,59
2010-11-12,2072.808980856789,59
2010-11-15,1990.2739707385792,59
2010-11-16,1878.3931038531023,59
2010-11-17,1846.5179902044244,59
2010-11-18,1815.004002920779,59
2010-11-19,1741.4137282306558,59
2010-11-22,1682.9791807612705,59
2010-11-23,1643.4164844783622,59
2010-11-24,1576.9212660757328,59
2010-11-25,1535.9068291442852,59
2010-11-26,1498.6893252926138,59
2010-11-29,1475.4412333499545,59
2010-11-30,1461.0986787467184,59
2010-12-01,1453.8806524113938,59
2010-12-02,1434.491325550151,59
2010-12-03,1432.7383367653138,59
2010-12-06,1463.1275493602368,59
2010-12-07,1500.7804076841699,59
2010-12-08,1533.789021289663,59
2010-12-09,1564.2612237577093,59
2010-12-10,1607.7576215471067,57
2010-12-13,1645.5667958752545,57
2010-12-14,1680.31234924642,59
2010-12-15,1649.1438039152706,59
2010-12-16,1662.468400242391,59
2010-12-17,1704.4425593057015,59
2010-12-20,1736.5963268591336,59
2010-12-21,1802.4814925131145,59
2010-12-22,1887.9822682383508,59
2010-12-23,1946.641547398882,59
2010-12-24,1987.5515181921185,59
2010-12-27,2028.1474281037874,59
2010-12-28,2066.141014679311,59
2010-12-29,2050.3312911362177,59
2010-12-30,2053.160255516017,59
2010-12-31,2090.5919604310498,59
2011-01-03,2134.2799464507248,59
2011-01-04,2164.360826351614,53
2011-01-05,2190.6904797463344,53
2011-01-06,2204.446449951344,53
2011-01-07,2224.098172164381,53
2011-01-10,2263.6253337158532,53
2011-01-11,2333.1799255223136,53
2011-01-12,2389.379518636611,53
2011-01-13,2458.2952334588067,53
2011-01-14,2516.386463751648,49
2011-01-17,2550.523862099611,53
2011-01-18,2586.5380601965535,53
2011-01-19,2622.0357251825153,53
2011-01-20,2710.5728832440677,53
2011-01-21,2817.398145165867,53
2011-01-24,2908.022410300954,53
2011-01-25,3007.7017626904985,53
2011-01-26,3122.027640226594,53
2011-01-27,3273.150602135754,49
2011-01-28,3437.796998734112,53
2011-01-31,3522.4713392850845,53
2011-02-01,3654.153650402198,53
2011-02-02,3815.005277091733,53
2011-02-03,3970.399989468321,53
2011-02-04,4169.543108513477,53
2011-02-07,4347.286997979779,53
2011-02-08,4510.511862831627,53
2011-02-09,4626.384102345586,53
2011-02-10,4782.459007652076,57
2011-02-11,4819.969614191501,53
2011-02-14,4844.037034917733,53
2011-02-15,4788.951141054025,53
2011-02-16,4681.559342821749,53
2011-02-17,4547.594012907502,55
2011-02-18,4387.912332406799,49
2011-02-21,4243.7834303805785,51
2011-02-22,4182.201270196211,53
2011-02-23,4117.804287070902,53
2011-02-24,4096.75868495655,59
2011-02-25,4094.649756612151,59
2011-02-28,4082.770933412554,59
2011-03-01,4004.7283282507856,59
2011-03-02,3846.645297115359,59
2011-03-03,3742.5160351266463,59
2011-03-04,3658.720714714062,59
2011-03-07,3528.6147710071605,59
2011-03-08,3350.0949680416697,59
2011-03-09,3215.8079962203033,59
2011-03-10,3116.0617278571317,59
2011-03-11,3066.5166029198967,55
2011-03-14,3008.432152278842,55
2011-03-15,2998.8613456701178,55
2011-03-16,3006.11261932063,55
2011-03-17,3003.2722461508656,57
2011-03-18,2919.715697797989,59
2011-03-21,2899.8277023156497,55
2011-03-22,2875.8331789341714,59
2011-03-23,2835.67541862045,59
2011-03-24,2732.413116935181,57
2011-03-25,2601.861584632022,59
2011-03-28,2498.38471066334,55
2011-03-29,2314.8226307950304,55
2011-03-30,2138.5954449677633,55
2011-03-31,1956.262417643264,55
2011-04-01,1847.1802747874278,57
2011-04-04,1806.610894748028,59
2011-04-05,1807.7131152920267,59
2011-04-06,1756.027607855731,59
2011-04-07,1777.566931888854,59
2011-04-08,1792.2286942826559,59
2011-04-11,1805.6039307262186,59
2011-04-12,1787.168544787008,59
2011-04-13,1786.663275094605,59
2011-04-14,1852.701411627557,59
2011-04-15,1875.7361841697245,59
2011-04-18,1784.0019485195437,59
2011-04-19,1762.1636223600212,59
2011-04-20,1749.5512030401587,59
2011-04-21,1711.6762776461626,59
2011-04-22,1737.6834981390316,59
2011-04-25,1716.8728854778574,59
2011-04-26,1695.7661886843584,59
2011-04-27,1702.5518884996563,59
2011-04-28,1728.9558930039855,59
2011-04-29,1781.6639326470242,59
2011-05-02,1803.9947736607166,59
2011-05-03,1824.6215829081457,59
2011-05-04,1701.828215405505,59
2011-05-05,1631.9733686848824,59
2011-05-06,1620.9519452420311,59
2011-05-09,1617.4462564115433,59
2011-05-10,1614.034627069755,59
2011-05-11,1550.179394997835,59
2011-05-12,1494.7970194791812,59
2011-05-13,1431.679163374136,59
2011-05-16,1382.7035158768865,59
2011-05-17,1330.3627670603694,59
2011-05-18,1294.1341523048588,59
2011-05-19,1280.3674076393008,59
2011-05-20,1244.1906090435477,59
2011-05-23,1245.623290761422,59
2011-05-24,1215.7366478909025,59
2011-05-25,1190.4921503380249,59
2011-05-26,1192.1315368557898,59
2011-05-27,1195.538843680914,59
2011-05-30,1203.5196036058232,59
2011-05-31,1179.4387678125067,59
2011-06-01,1153.4007161276704,59
2011-06-02,1133.2797418689477,59
2011-06-03,1112.437461628377,59
2011-06-06,1102.0052523537422,59
2011-06-07,1098.1172322075759,59
2011-06-08,1096.341885992484,59
2011-06-09,1109.6761373189488,53
2011-06-10,1126.6826417685663,57
2011-06-13,1158.5598176406152,57
2011-06-14,1194.0098873550426,59
2011-06-15,1226.426756217305,59
2011-06-16,1243.7345021399726,59
2011-06-17,1280.1114064925184,59
2011-06-20,1298.2769169042324,59
2011-06-21,1346.7094445411653,59
2011-06-22,1411.0551244040914,59
2011-06-23,1426.5652864191388,59
2011-06-24,1444.3196418433706,59
2011-06-27,1457.386876876824,59
2011-06-28,1458.1342727712836,59
2011-06-29,1473.0026564273264,59
2011-06-30,1452.80541138535,59
2011-07-01,1452.6978173673974,59
2011-07-04,1467.986136857233,59
2011-07-05,1512.4446290202852,59
2011-07-06,1533.8501314824653,59
2011-07-07,1531.4767361140996,59
2011-07-08,1489.2722132645665,59
2011-07-11,1471.1668721028636,59
2011-07-12,1426.0897291589686,57
2011-07-13,1398.6405868380366,55
2011-07-14,1376.302787443144,55
2011-07-15,1373.0003910002836,55
2011-07-18,1373.9495593052839,55
2011-07-19,1380.1530146663863,55
2011-07-20,1383.607869529742,55
2011-07-21,1388.030296555422,55
2011-07-22,1391.360146244392,55
2011-07-25,1385.6354585342713,55
2011-07-26,1386.5147557061564,55
2011-07-27,1392.8055264468567,55
2011-07-28,1401.7948378100405,59
2011-07-29,1410.301131698458,55
2011-08-01,1417.981351674941,55
2011-08-02,1429.189433034424,55
2011-08-03,1437.8970283880094,55
2011-08-04,1426.9639207195976,55
2011-08-05,1433.4218427145431,55
2011-08-08,1440.5290932420007,55
2011-08-09,1452.913188268322,53
2011-08-10,1456.688338388288,53
2011-08-11,1453.770337518493,53
2011-08-12,1447.8601993592881,53
2011-08-15,1445.7592841782746,53
2011-08-16,1442.7078449666378,53
2011-08-17,1439.775842979786,53
2011-08-18,1441.5579806195246,53
2011-08-19,1443.176359901821,53
2011-08-22,1452.550874710195,55
2011-08-23,1459.0436915529422,55
2011-08-24,1473.09752962443,59
2011-08-25,1487.3610522517342,59
2011-08-26,1502.5059816114072,59
2011-08-29,1517.6385619306016,59
2011-08-30,1533.4352682082704,59
2011-08-31,1553.7493245085911,59
2011-09-01,1558.3537794381218,59
2011-09-02,1568.191236180245,59
2011-09-05,1584.332976151059,59
2011-09-06,1585.8077723232127,59
2011-09-07,1609.2796162190923,57
2011-09-08,1610.0748232048234,57
2011-09-09,1633.1917517118907,57
2011-09-12,1664.8459951499726,59
2011-09-13,1690.5478083336593,59
2011-09-14,1711.7236313112894,57
2011-09-15,1738.7531982688768,57
2011-09-16,1807.8587378934208,59
2011-09-19,1885.5964826134837,59
2011-09-20,1963.1210707244618,59
2011-09-21,2034.0566170987013,59
