,results,K
2010-11-09,2556.754436154943,1
2010-11-10,2475.16920119327,1
2010-11-11,2529.485732827521,1
2010-11-12,2224.961788871373,1
2010-11-15,2199.8740864252936,1
2010-11-16,2092.170316969311,1
2010-11-17,2008.9121740816902,1
2010-11-18,2037.7884418359213,1
2010-11-19,1809.2620814132392,1
2010-11-22,1875.4054097119645,1
2010-11-23,1806.517980236534,1
2010-11-24,1762.2858885479607,1
2010-11-25,1704.1373953187704,3
2010-11-26,1667.1149243893522,3
2010-11-29,1660.8683787013128,5
2010-11-30,1659.6353666856799,1
2010-12-01,1650.0800014960928,1
2010-12-02,1610.0162795621852,5
2010-12-03,1608.1123295705365,5
2010-12-06,1634.793561228088,5
2010-12-07,1676.7124142668683,1
2010-12-08,1666.7052545120357,1
2010-12-09,1674.6011313437252,1
2010-12-10,1719.8775289998925,3
2010-12-13,1713.9114404421598,1
2010-12-14,1710.0701779497879,1
2010-12-15,1667.7505176127677,1
2010-12-16,1718.8704703181954,1
2010-12-17,1791.8879747119126,1
2010-12-20,1818.0785837878482,1
2010-12-21,1942.2275148630397,1
2010-12-22,2024.8225779481515,1
2010-12-23,2045.5689043512941,1
2010-12-24,2039.7298895075667,1
2010-12-27,2013.7691273331732,1
2010-12-28,2007.4003649425274,1
2010-12-29,1881.1667233119902,1
2010-12-30,1921.1000234741005,3
2010-12-31,1963.7897224363392,3
2011-01-03,2016.9556798900167,1
2011-01-04,2055.3820637487524,1
2011-01-05,2042.5356970263542,1
2011-01-06,2005.7960687852185,1
2011-01-07,2104.142847962451,3
2011-01-10,2184.4017837207625,3
2011-01-11,2272.5104063863446,1
2011-01-12,2484.932521557055,5
2011-01-13,2652.3795967059455,3
2011-01-14,2698.093567574951,1
2011-01-17,2592.0966849804063,1
2011-01-18,2619.7684547265994,1
2011-01-19,2609.4334750291055,1
2011-01-20,2842.6954338127134,3
2011-01-21,2937.0954761768503,1
2011-01-24,2970.203669188747,1
2011-01-25,3231.6271070102976,1
2011-01-26,3436.2119630405355,5
2011-01-27,3609.132994581047,5
2011-01-28,3777.8870384159254,5
2011-01-31,3939.488077612309,5
2011-02-01,3965.818300111949,5
2011-02-02,4112.997841765624,5
2011-02-03,4153.020279095854,1
2011-02-04,4354.6232493078505,1
2011-02-07,4439.426283567024,1
2011-02-08,4453.763160965909,1
2011-02-09,4638.432741385525,5
2011-02-10,4708.108214820059,1
2011-02-11,4338.6321469621735,1
2011-02-14,4228.209485147136,1
2011-02-15,3967.783042114491,1
2011-02-16,3932.897998820222,1
2011-02-17,3681.925754002305,1
2011-02-18,3606.1656990734245,1
2011-02-21,3614.9632927787684,1
2011-02-22,3846.051860290093,1
2011-02-23,3761.4769227836728,1
2011-02-24,3530.3272205559956,1
2011-02-25,3644.702327475238,1
2011-02-28,3560.855735668374,1
2011-03-01,3420.0135418270875,1
2011-03-02,3276.9602044998537,1
2011-03-03,3264.432909466236,1
2011-03-04,3131.8520313708914,1
2011-03-07,2950.1901601399595,1
2011-03-08,2887.2363803149965,1
2011-03-09,2406.0908746563728,1
2011-03-10,2425.137747499114,3
2011-03-11,2462.1547563094077,3
2011-03-14,2639.306249381476,3
2011-03-15,2767.058593979512,5
2011-03-16,2890.216359426352,3
2011-03-17,2752.853730450986,1
2011-03-18,2565.205946775343,1
2011-03-21,2612.596810095286,1
2011-03-22,2637.588769975666,1
2011-03-23,2303.948063062782,1
2011-03-24,2130.722956590258,1
2011-03-25,2112.4577632166697,1
2011-03-28,1835.024641679092,1
2011-03-29,1523.7060136803268,1
2011-03-30,1500.2661608363296,3
2011-03-31,1232.8901533489816,1
2011-04-01,1200.6857142273645,3
2011-04-04,1237.06236577991,3
2011-04-05,1297.2349530530996,3
2011-04-06,1245.4210707855511,3
2011-04-07,1285.331780898815,3
2011-04-08,1340.608063575361,3
2011-04-11,1423.9256952482615,5
2011-04-12,1391.3212544081205,1
2011-04-13,1363.3259271658712,1
2011-04-14,1532.89399773233,1
2011-04-15,1427.8293164931472,1
2011-04-18,1226.1970228838752,1
2011-04-19,1322.2678713045468,1
2011-04-20,1249.532448591536,1
2011-04-21,1243.7738717353675,1
2011-04-22,1343.248387165795,1
2011-04-25,1368.9762096135205,1
2011-04-26,1366.6333989765621,1
2011-04-27,1436.8605692505143,1
2011-04-28,1558.589873334666,1
2011-04-29,1579.8366136224104,1
2011-05-02,1665.3968252599598,3
2011-05-03,1629.3759533217692,1
2011-05-04,1531.6956084131868,1
2011-05-05,1341.8082219426217,1
2011-05-06,1425.6651961757332,1
2011-05-09,1457.9940494022244,1
2011-05-10,1425.7281844841689,1
2011-05-11,1400.1332965075912,1
2011-05-12,1407.858696228549,1
2011-05-13,1376.8489886584398,1
2011-05-16,1366.5978220726045,1
2011-05-17,1386.4476315643672,1
