,results,K
2010-11-09,1799.2242133202917,1
2010-11-10,1782.083293398616,1
2010-11-11,1759.4167329670643,1
2010-11-12,1748.5973508524787,1
2010-11-15,1746.3092673677943,1
2010-11-16,1747.0656732630198,1
2010-11-17,1744.881650776506,1
2010-11-18,1747.3942578835859,1
2010-11-19,1873.325721299997,3
2010-11-22,1843.4379006261788,3
2010-11-23,1825.9683216800108,3
2010-11-24,1800.2254037210487,27
2010-11-25,1771.9933294020022,33
2010-11-26,1752.0691900175534,27
2010-11-29,1740.3449014572097,29
2010-11-30,1727.6129330297056,27
2010-12-01,1726.929929932899,29
2010-12-02,1719.3926797576523,29
2010-12-03,1715.7657412489043,29
2010-12-06,1735.954265265135,33
2010-12-07,1759.5873940506763,33
2010-12-08,1782.3328600374873,33
2010-12-09,1788.832763684996,33
2010-12-10,1821.6645980915364,33
2010-12-13,1834.2438437340581,13
2010-12-14,1841.3480367757304,13
2010-12-15,1824.5403024642767,13
2010-12-16,1835.206744749737,13
2010-12-17,1828.4206556382298,1
2010-12-20,1837.6355981167765,1
2010-12-21,1759.0563151334188,1
2010-12-22,1762.8867035550888,1
2010-12-23,1753.3545004950493,1
2010-12-24,1752.1331941297158,1
2010-12-27,1781.1141322146457,1
2010-12-28,1788.5381368362348,1
2010-12-29,1849.1856842937632,1
2010-12-30,1809.1052197958518,1
2010-12-31,1781.8258777143917,1
2011-01-03,1773.729253350386,1
2011-01-04,1788.1490477294676,1
2011-01-05,1787.5923790931813,1
2011-01-06,1792.9616675004004,1
2011-01-07,1823.815367869621,1
2011-01-10,1841.79189812344,1
2011-01-11,1861.2845994225054,1
2011-01-12,2093.4539990726034,1
2011-01-13,2208.134075220509,1
2011-01-14,2538.3044599383393,1
2011-01-17,2471.4378702924405,1
2011-01-18,2499.5210649779137,1
2011-01-19,2489.9030192307687,1
2011-01-20,2858.3772239031277,1
2011-01-21,3077.272607212333,1
2011-01-24,3014.6983555047905,1
2011-01-25,3109.741675545979,1
2011-01-26,3385.7462226720827,1
2011-01-27,3566.968383013307,1
2011-01-28,3574.8966424865416,1
2011-01-31,3980.8865592907996,1
2011-02-01,3972.9891369710595,1
2011-02-02,3996.088272537653,1
2011-02-03,3971.363888073352,1
2011-02-04,4152.993023048505,1
2011-02-07,4238.1143372695915,1
2011-02-08,4296.545334386699,1
2011-02-09,4534.288525112023,1
2011-02-10,4687.90942719003,1
2011-02-11,4370.7164093049,1
2011-02-14,4286.996981508216,1
2011-02-15,4050.785766319178,1
2011-02-16,3975.267668901635,1
2011-02-17,3605.2491000583627,1
2011-02-18,3409.610515949191,1
2011-02-21,3595.5838327981337,1
2011-02-22,3837.084898120163,1
2011-02-23,3869.720537892306,1
