,results,K
2010-11-09,2204.06634376336,1
2010-11-10,2134.1474383347086,1
2010-11-11,2126.1163782913327,1
2010-11-12,2125.854377979364,1
2010-11-15,2099.5609894186123,23
2010-11-16,2052.837431962799,19
2010-11-17,2027.0485837829415,19
2010-11-18,1991.600107974514,19
2010-11-19,1946.8171263960685,19
2010-11-22,1920.1890390659546,19
2010-11-23,1895.943797434607,19
2010-11-24,1857.6866442273204,19
2010-11-25,1837.0798423167585,19
2010-11-26,1817.1354342438024,55
2010-11-29,1790.2399211209001,55
2010-11-30,1773.5963117863525,55
2010-12-01,1776.880321709887,55
2010-12-02,1762.2837956243907,55
2010-12-03,1776.775580589084,55
2010-12-06,1801.5113882699525,53
2010-12-07,1835.5170096197423,25
2010-12-08,1844.1703642144585,25
2010-12-09,1858.865437355484,25
2010-12-10,1879.9690791786866,19
2010-12-13,1898.0154175889627,19
2010-12-14,1910.4566092034802,25
2010-12-15,1890.5850200051395,19
2010-12-16,1890.2504938817322,19
2010-12-17,1926.2325535438563,19
2010-12-20,1948.1708697496751,19
2010-12-21,1990.094380870445,19
2010-12-22,2051.491631850727,19
2010-12-23,2095.455115216319,19
2010-12-24,2122.9229028576065,19
2010-12-27,2144.6930315531304,19
2010-12-28,2163.664590014908,19
2010-12-29,2153.3420171682947,1
2010-12-30,2155.181828860063,25
2010-12-31,2186.900777727358,25
2011-01-03,2219.2767316261165,19
2011-01-04,2261.4493892245905,25
2011-01-05,2293.4523932960283,25
2011-01-06,2330.440676980808,27
2011-01-07,2409.9784524336314,25
2011-01-10,2462.643431209664,25
2011-01-11,2529.6903298710786,25
2011-01-12,2613.077833667433,27
2011-01-13,2722.9644871881947,27
2011-01-14,2854.95139922362,27
2011-01-17,2944.590649955528,27
2011-01-18,3030.0066883530917,27
2011-01-19,3114.4244999841703,29
2011-01-20,3193.165613838125,53
2011-01-21,3330.113853380793,53
2011-01-24,3429.749173997619,53
2011-01-25,3560.777922229994,55
2011-01-26,3718.9288171336175,55
2011-01-27,3905.17266919288,55
2011-01-28,4090.864084369405,53
2011-01-31,4242.5122819173275,55
2011-02-01,4353.214384023994,59
2011-02-02,4479.317088373851,55
2011-02-03,4572.561288439218,55
2011-02-04,4663.520364825445,49
2011-02-07,4773.9019588160445,49
2011-02-08,4912.843442814183,49
2011-02-09,4976.728176250806,49
2011-02-10,5096.639458346265,49
2011-02-11,5112.2028364651105,49
2011-02-14,5125.246637224744,49
2011-02-15,5042.416242395988,49
2011-02-16,4955.5610522610605,49
2011-02-17,4849.1983406895215,49
2011-02-18,4679.997245890553,1
2011-02-21,4572.417280999068,55
2011-02-22,4538.498495727504,55
2011-02-23,4490.36050202306,55
2011-02-24,4448.483812005702,55
2011-02-25,4438.61348895552,55
2011-02-28,4440.2731586105265,55
2011-03-01,4362.984300367941,55
2011-03-02,4235.126705322485,55
2011-03-03,4152.134098762349,55
2011-03-04,4049.4150638314422,55
2011-03-07,3920.880668060784,55
2011-03-08,3749.447311817738,55
2011-03-09,3638.4055700229806,55
2011-03-10,3505.62525732409,55
2011-03-11,3422.478657881253,55
2011-03-14,3360.277270952519,55
2011-03-15,3332.9898117359867,55
2011-03-16,3312.9004608645178,55
2011-03-17,3259.550232780819,55
2011-03-18,3182.604243380561,55
2011-03-21,3130.397193959285,55
2011-03-22,3080.158290906883,55
2011-03-23,3011.9875956090686,55
2011-03-24,2955.7406138856513,55
2011-03-25,2862.628782289002,55
2011-03-28,2785.861108139678,55
2011-03-29,2662.3042650262387,55
2011-03-30,2537.517810518614,55
2011-03-31,2361.0857292189557,55
2011-04-01,2320.84847131138,55
2011-04-04,2337.690864202733,55
2011-04-05,2391.5731363730574,55
2011-04-06,2352.6749060684247,55
2011-04-07,2387.5683657975123,57
2011-04-08,2365.7492838715752,55
2011-04-11,2356.0735243334802,53
2011-04-12,2335.7104500626488,55
2011-04-13,2304.3009905435156,55
2011-04-14,2368.116489859074,55
2011-04-15,2367.32800222985,53
2011-04-18,2288.156139456379,55
2011-04-19,2262.8901114516575,55
2011-04-20,2215.615237167989,55
2011-04-21,2161.1906258849444,55
2011-04-22,2168.7303349268063,53
2011-04-25,2090.74897367787,53
2011-04-26,2026.303054299064,53
2011-04-27,1995.8996675293884,53
2011-04-28,2024.3770351316575,53
2011-04-29,2060.570603662747,55
2011-05-02,2069.985653837124,55
2011-05-03,2045.823089216045,55
2011-05-04,1978.4298275471137,57
2011-05-05,1921.9745287315986,57
2011-05-06,1913.8380887501455,57
2011-05-09,1904.9169669567093,57
2011-05-10,1877.094818226262,57
2011-05-11,1828.875184848536,57
2011-05-12,1766.719123190112,57
2011-05-13,1728.3523348759434,57
2011-05-16,1666.7921174426983,57
2011-05-17,1625.7278638609578,57
2011-05-18,1591.181780631623,57
2011-05-19,1580.8390748518548,57
2011-05-20,1551.0725240390402,57
2011-05-23,1549.4422873888188,57
2011-05-24,1535.7985430191652,57
2011-05-25,1515.1357220814346,57
2011-05-26,1508.8910983463861,57
2011-05-27,1518.3761455659305,57
2011-05-30,1516.6926837357626,57
2011-05-31,1505.2877955989375,57
2011-06-01,1485.525707944913,57
2011-06-02,1472.674769798474,57
2011-06-03,1453.4342464218992,57
2011-06-06,1443.8298294298068,57
2011-06-07,1439.7658879561789,57
2011-06-08,1435.2775258249424,57
2011-06-09,1445.1711603360507,57
2011-06-10,1465.5293358504298,57
2011-06-13,1494.5527798504968,57
2011-06-14,1525.5940039466918,57
2011-06-15,1547.9346687887175,59
2011-06-16,1559.4904224914844,59
2011-06-17,1581.0449481735511,59
2011-06-20,1597.220428474254,59
2011-06-21,1625.5373130291603,53
2011-06-22,1654.8528925145126,53
2011-06-23,1662.1145965247658,53
2011-06-24,1675.2653419933972,53
2011-06-27,1695.5522501854234,53
2011-06-28,1700.9483993890367,59
2011-06-29,1723.0874906247132,59
2011-06-30,1716.5913952252463,53
2011-07-01,1729.3086990101333,59
2011-07-04,1743.3389324149955,59
2011-07-05,1773.3659799608197,53
2011-07-06,1784.066253819933,53
2011-07-07,1789.6694408703706,53
2011-07-08,1783.995895285178,53
2011-07-11,1780.7802540899827,53
2011-07-12,1775.2109104517108,53
2011-07-13,1778.1633727482465,53
2011-07-14,1780.5857654884965,53
2011-07-15,1792.870540938386,53
2011-07-18,1805.5266054069693,53
2011-07-19,1816.711892300404,49
2011-07-20,1833.4501693078612,49
2011-07-21,1850.044027337282,49
2011-07-22,1863.4075980401583,49
2011-07-25,1871.2381335656287,49
2011-07-26,1884.5919731047213,49
2011-07-27,1893.1606437366333,49
2011-07-28,1908.8800340613789,49
2011-07-29,1925.3664798981074,49
2011-08-01,1936.5218901776898,49
2011-08-02,1957.0283716720853,49
2011-08-03,1969.3492187730703,49
2011-08-04,1986.5904054393275,49
2011-08-05,2007.609831412417,49
2011-08-08,2022.223473821856,49
2011-08-09,2035.0799564295821,49
2011-08-10,2043.4047251971783,49
2011-08-11,2051.470399920994,49
2011-08-12,2059.7386740674797,49
2011-08-15,2068.1363614534425,49
2011-08-16,2081.7870959267057,49
2011-08-17,2095.346184312573,49
2011-08-18,2111.850272899417,49
2011-08-19,2129.8640955787628,51
2011-08-22,2141.059301897617,51
2011-08-23,2152.5480915721982,49
2011-08-24,2162.735249824064,49
2011-08-25,2182.4131585145014,49
2011-08-26,2215.530806253361,49
2011-08-29,2233.7053078795047,51
2011-08-30,2260.0086634707404,51
2011-08-31,2285.3895918558846,53
2011-09-01,2303.9450043188094,53
2011-09-02,2313.685237296251,53
2011-09-05,2337.538053182413,43
2011-09-06,2351.012072416587,43
2011-09-07,2370.608403527189,51
2011-09-08,2383.4733354062423,45
2011-09-09,2409.2668684598693,43
2011-09-12,2434.6827787906927,43
2011-09-13,2466.9285516285345,43
2011-09-14,2495.1044490826935,37
2011-09-15,2520.406499121906,37
2011-09-16,2575.4009932104595,37
2011-09-19,2625.0268744107375,45
2011-09-20,2675.64063120605,45
2011-09-21,2723.6117770221904,37
2011-09-22,2774.1069352713284,37
2011-09-23,2845.926453831441,37
2011-09-26,2892.5663620136716,37
2011-09-27,2983.030867203199,37
2011-09-28,3056.990453598203,37
2011-09-29,3157.291990181888,37
2011-09-30,3261.6724635285086,37
2011-10-03,3397.2152600220516,37
2011-10-04,3560.9225847481766,51
2011-10-05,3711.7419609787594,51
2011-10-06,3894.623523056184,51
2011-10-07,4009.3231314411255,51
2011-10-10,4102.478374458719,51
2011-10-11,4186.305308623947,51
2011-10-12,4243.1031128460445,51
2011-10-13,4262.563873615612,51
2011-10-14,4251.20436554924,43
2011-10-17,4208.822711530866,51
2011-10-18,4180.466633618484,51
2011-10-19,4134.964519742638,51
2011-10-20,4085.0961931563297,51
2011-10-21,3983.161231445288,49
2011-10-24,3885.40575072376,51
2011-10-25,3776.8543439377213,51
2011-10-26,3677.3085125051275,51
2011-10-27,3552.94026398031,47
2011-10-28,3462.2908689166884,47
2011-10-31,3392.4811815746407,47
2011-11-01,3335.330320898645,47
2011-11-02,3307.562773835171,47
2011-11-03,3294.326351811892,47
2011-11-04,3294.730145077016,47
2011-11-07,3278.786064540291,49
2011-11-08,3304.511935413989,51
2011-11-09,3324.7979952820774,51
2011-11-10,3352.261503060395,51
2011-11-11,3376.7841324836468,49
2011-11-14,3379.4012920082223,51
2011-11-15,3379.7529636212776,51
2011-11-16,3400.19024902524,51
2011-11-17,3402.46584720254,47
2011-11-18,3434.7739664546334,47
2011-11-21,3488.3865762509795,49
2011-11-22,3552.1440616281143,47
2011-11-23,3636.189963261167,51
2011-11-24,3708.1481495373923,47
2011-11-25,3762.325246133928,59
2011-11-28,3802.6395099059314,59
2011-11-29,3868.114427734601,59
2011-11-30,3952.393443835882,59
2011-12-01,4051.330054845948,59
2011-12-02,4194.457019246468,59
2011-12-05,4338.012710097657,59
2011-12-06,4458.013489979049,59
2011-12-07,4562.515847924417,59
2011-12-08,4616.714560344733,59
2011-12-09,4699.506988942872,59
2011-12-12,4817.4636559285245,47
2011-12-13,4934.053040883685,47
2011-12-14,5049.491947130053,59
2011-12-15,5133.804052786265,59
2011-12-16,5199.267674221797,43
2011-12-19,5222.341021420499,43
2011-12-20,5276.215238877006,47
2011-12-21,5296.6880889078,43
2011-12-22,5300.134162156054,43
2011-12-23,5292.6695335220265,43
2011-12-26,5254.247564222436,43
2011-12-27,5209.1994649338985,43
2011-12-28,5189.02043324105,43
2011-12-29,5179.693420273024,45
2011-12-30,5162.93848028586,43
2012-01-02,5128.740471066576,47
2012-01-03,5075.213160580128,47
2012-01-04,5120.724409708986,47
2012-01-05,5141.494599572385,47
2012-01-06,5148.524621361837,33
2012-01-09,5150.5667882460975,47
2012-01-10,5158.421717289337,33
2012-01-11,5229.308717497331,33
2012-01-12,5278.870224205668,47
2012-01-13,5344.083828931054,39
2012-01-16,5364.810584529714,33
2012-01-17,5400.192935089746,39
2012-01-18,5444.482158589482,39
2012-01-19,5492.030458927169,37
2012-01-20,5485.505550923538,59
2012-01-23,5475.312386743157,39
2012-01-24,5429.518012755863,39
2012-01-25,5393.0101719170925,39
2012-01-26,5393.492307802387,39
2012-01-27,5414.69371851307,39
2012-01-30,5378.200758697427,23
2012-01-31,5370.859081297822,37
2012-02-01,5412.629552772382,39
2012-02-02,5475.364163484322,31
2012-02-03,5564.846296440758,31
2012-02-06,5652.430456653299,31
2012-02-07,5772.2903208883345,37
2012-02-08,5827.462606594711,31
2012-02-09,5841.548784714596,39
2012-02-10,5846.837852182976,39
2012-02-13,5844.066706029334,39
2012-02-14,5871.371467670387,39
2012-02-15,5893.649487995245,39
2012-02-16,5866.44135027748,31
2012-02-17,5708.518749616836,3
2012-02-20,5202.551918560632,3
2012-02-21,4997.65371560655,3
2012-02-22,4467.573665267057,3
2012-02-23,4167.142407804305,3
2012-02-24,4135.454585129977,3
2012-02-27,4056.9888774848487,3
2012-02-28,4077.851040009818,3
2012-02-29,4135.661282571314,3
2012-03-01,4170.566604198325,3
2012-03-02,4187.776415575162,3
2012-03-05,4060.296811881188,3
2012-03-06,3998.5334004327706,3
2012-03-07,3899.0700930262756,5
2012-03-08,3336.228896622011,1
2012-03-09,3307.1216992900286,3
2012-03-12,3087.816243696751,3
2012-03-13,3166.1793036468293,3
2012-03-14,3224.525813104031,5
2012-03-15,3313.972985986144,5
2012-03-16,3359.042611371046,11
2012-03-19,3319.773617487587,5
2012-03-20,3276.7781995028463,11
2012-03-21,3311.090119718199,11
2012-03-22,3339.119829482541,11
2012-03-23,3388.1376984614603,11
2012-03-26,3438.2852899391173,11
2012-03-27,3423.4670213616546,11
2012-03-28,3467.4869837864862,11
2012-03-29,3437.5245667499776,11
2012-03-30,3424.9247526733193,11
2012-04-02,3405.926666494678,11
2012-04-03,3398.330591900902,11
2012-04-04,3368.718660072281,11
2012-04-05,3345.660059892535,5
2012-04-06,3250.9807191407904,5
2012-04-09,3181.8980386226435,5
2012-04-10,3176.5147616948057,5
2012-04-11,3173.242001821208,11
2012-04-12,3194.995233756763,13
2012-04-13,3217.0271276384424,13
2012-04-16,3221.5099139564522,11
2012-04-17,3176.4301713658942,13
2012-04-18,3126.3103092673737,13
2012-04-19,3079.098746423811,13
2012-04-20,3039.492499954263,13
2012-04-23,3009.241549237791,13
2012-04-24,2953.39018423638,13
2012-04-25,2986.560502516931,13
2012-04-26,3046.673406749167,23
2012-04-27,3002.55862174993,23
2012-04-30,2945.993725155305,23
2012-05-01,2905.7659547239914,23
2012-05-02,2823.8666647024093,23
2012-05-03,2698.7994644793775,23
2012-05-04,2697.937299412024,59
2012-05-07,2707.252380299747,53
2012-05-08,2667.6473348070504,59
2012-05-09,2633.2966118711283,53
2012-05-10,2603.3411598713087,53
2012-05-11,2612.3169508080737,53
2012-05-14,2622.3074194022147,53
2012-05-15,2629.9008961777695,53
2012-05-16,2615.427848871458,53
2012-05-17,2629.245298987243,57
2012-05-18,2617.603551927449,57
2012-05-21,2642.388654304377,57
2012-05-22,2615.615592069484,53
2012-05-23,2632.722934605733,57
2012-05-24,2646.552136629319,57
2012-05-25,2654.1420041999845,57
2012-05-28,2635.9847355416296,57
2012-05-29,2641.1673733663633,57
2012-05-30,2663.6896159730127,57
2012-05-31,2672.231143609883,57
2012-06-01,2686.2691282456144,59
2012-06-04,2721.9909141927296,57
2012-06-05,2764.8499072896934,57
2012-06-06,2789.447096498848,59
2012-06-07,2791.668794562747,57
2012-06-08,2816.4570025104613,57
2012-06-11,2823.4782447556295,57
2012-06-12,2760.9959426777605,57
2012-06-13,2695.78530655664,57
2012-06-14,2600.764168100506,57
2012-06-15,2561.597540838456,59
2012-06-18,2526.4603212808865,59
2012-06-19,2464.848499367979,57
2012-06-20,2442.5741199779145,57
2012-06-21,2391.2881029750342,59
2012-06-22,2331.091929507337,57
2012-06-25,2210.865477641143,57
2012-06-26,2117.4326474325553,57
2012-06-27,2001.4436914560176,57
2012-06-28,1934.5612098696981,57
2012-06-29,1860.545450334352,57
2012-07-02,1828.394501280797,57
2012-07-03,1828.2278291014234,59
2012-07-04,1791.3649052958922,59
2012-07-05,1763.5980084201144,57
2012-07-06,1729.7173235961338,57
2012-07-09,1714.201249833865,59
2012-07-10,1700.0725956621113,59
2012-07-11,1716.2616613816665,59
2012-07-12,1743.7973214554265,59
2012-07-13,1778.585881392764,59
2012-07-16,1806.1751588611176,59
2012-07-17,1812.9908990119084,59
2012-07-18,1861.5835798176543,59
2012-07-19,1896.0356463778558,59
2012-07-20,1943.371895537897,59
2012-07-23,1977.3239567512037,59
2012-07-24,2001.9525274892649,59
2012-07-25,2037.495089681883,59
2012-07-26,2080.464815276909,59
2012-07-27,2093.5027726532585,59
2012-07-30,2091.4726465712915,59
2012-07-31,2067.9316911192413,59
2012-08-01,2078.3443017658433,59
2012-08-02,2054.787441913431,59
2012-08-03,1973.1808960528522,59
2012-08-06,1934.2461095157448,59
2012-08-07,1849.5328840052864,59
2012-08-08,1801.0241062759753,59
2012-08-09,1791.1992595090321,59
2012-08-10,1827.4792087769451,59
2012-08-13,1873.0635034910738,59
2012-08-14,1955.777780438934,59
2012-08-15,2055.080738422739,59
2012-08-16,2109.5807599175414,59
2012-08-17,2178.468452151749,59
2012-08-20,2230.2139491522817,59
2012-08-21,2260.678844688969,59
2012-08-22,2273.0726815450594,59
2012-08-23,2352.5134507765074,59
2012-08-24,2392.405415323967,59
2012-08-27,2455.683395241212,59
2012-08-28,2472.0179996707634,59
2012-08-29,2506.47846174162,59
2012-08-30,2495.8858087913936,59
2012-08-31,2420.6995785608337,59
2012-09-03,2314.936574398709,59
2012-09-04,2213.6938757101184,59
2012-09-05,2092.112922249167,59
2012-09-06,1951.7622715390492,59
2012-09-07,1841.0322315794713,59
2012-09-10,1776.520168009915,59
2012-09-11,1702.685484032568,59
2012-09-12,1628.5700089688673,59
2012-09-13,1586.0007318706917,59
2012-09-14,1555.8238678142404,59
2012-09-17,1524.4150932335976,59
2012-09-18,1493.899974151303,59
2012-09-19,1493.0767345320237,59
2012-09-20,1540.085591945786,59
2012-09-21,1559.7274239896005,59
2012-09-24,1570.9883832580433,59
2012-09-25,1565.667936843922,59
2012-09-26,1582.782514642425,59
2012-09-27,1611.4407472446035,59
2012-09-28,1652.9339953878302,59
2012-10-01,1672.4583653017912,59
2012-10-02,1695.231158217645,59
2012-10-03,1717.7006128572123,59
2012-10-04,1655.8301724312325,59
2012-10-05,1668.4834280415168,59
2012-10-08,1677.5247652493351,59
2012-10-09,1676.7003061285868,57
2012-10-10,1647.171732966946,59
2012-10-11,1631.1485540186409,59
2012-10-12,1605.2224355953697,59
2012-10-15,1602.8662092415252,59
2012-10-16,1614.4401688110722,59
2012-10-17,1647.206794991352,59
2012-10-18,1655.6852576076167,59
2012-10-19,1700.1808407044252,59
2012-10-22,1784.6135798323849,59
2012-10-23,1886.294958995785,59
2012-10-24,1981.9316120603069,59
2012-10-25,2074.280981960819,59
2012-10-26,2137.93238061809,59
2012-10-29,2193.2164250450282,59
2012-10-30,2265.020200391588,59
2012-10-31,2352.8316282573483,59
2012-11-01,2370.8827699774142,59
2012-11-02,2400.5168537514305,59
2012-11-05,2361.0985715836587,59
2012-11-06,2355.5483948242795,59
2012-11-07,2317.9130569465246,59
2012-11-08,2303.1130652088273,59
2012-11-09,2290.8732919527656,59
2012-11-12,2215.899161407325,59
2012-11-13,2141.553525355893,59
2012-11-14,2089.102931390392,59
2012-11-15,2040.994263122703,59
2012-11-16,2006.2029913943215,59
2012-11-19,1956.0200662015554,59
2012-11-20,1929.1359251657245,59
2012-11-21,1878.5159685916308,59
2012-11-22,1811.3906230859836,59
2012-11-23,1743.2247015950843,59
2012-11-26,1682.1999016046313,59
2012-11-27,1653.2361645236158,59
2012-11-28,1613.1313289450084,59
2012-11-29,1587.5505784157035,59
2012-11-30,1564.8694903132864,59
2012-12-03,1553.2164854817622,59
2012-12-04,1538.4632985178682,59
2012-12-05,1540.0159296159366,59
2012-12-06,1548.8896119084768,59
2012-12-07,1572.0870428686821,59
2012-12-10,1601.290982665241,59
2012-12-11,1638.5899308484948,59
2012-12-12,1668.1688106300082,59
2012-12-13,1681.1559585466823,59
2012-12-14,1701.7011732567232,59
2012-12-17,1716.5089023656692,59
2012-12-18,1731.1684981451706,59
2012-12-19,1744.8770453785887,59
2012-12-20,1763.7456947814633,59
2012-12-21,1776.1445840145554,59
2012-12-24,1792.4547382600294,59
2012-12-25,1806.5401060107458,59
2012-12-26,1811.9157192947196,59
2012-12-27,1845.1320930899144,59
2012-12-28,1839.7410495737022,59
2012-12-31,1848.96426220141,59
2013-01-01,1835.356682507224,59
2013-01-02,1826.3464243432056,59
2013-01-03,1831.2201510251862,59
2013-01-04,1826.9663174212983,59
2013-01-07,1812.9703060070044,59
2013-01-08,1808.8073721043045,59
2013-01-09,1808.8708378027711,59
2013-01-10,1814.3948845465668,59
2013-01-11,1832.0822724250331,59
2013-01-14,1862.1835902452915,59
2013-01-15,1887.4907023806861,59
2013-01-16,1912.7343753170753,59
2013-01-17,1946.2479846958827,59
2013-01-18,1977.3753795650514,59
2013-01-21,2011.7534903238575,59
2013-01-22,2074.230927900596,59
2013-01-23,2142.230834333946,59
2013-01-24,2173.631589251004,59
2013-01-25,2191.9336562066014,59
2013-01-28,2183.8637083592184,59
2013-01-29,2178.5223450270396,59
2013-01-30,2163.3145542891616,59
2013-01-31,2159.5941504122584,59
2013-02-01,2162.9208271307393,59
2013-02-04,2187.853506982627,59
2013-02-05,2211.9019225162524,59
2013-02-06,2228.621614862622,59
2013-02-07,2256.9012184715893,59
2013-02-08,2281.9251942155015,59
2013-02-11,2304.209393288564,59
2013-02-12,2327.8476625841854,59
2013-02-13,2355.8008253451167,59
2013-02-14,2387.969942998748,59
2013-02-15,2415.8332904984272,59
2013-02-18,2450.1713983691056,59
2013-02-19,2486.236028094126,59
2013-02-20,2518.607519245395,59
2013-02-21,2560.9372894586445,59
2013-02-22,2594.282053626151,59
2013-02-25,2632.0370276067324,59
2013-02-26,2661.8764283473092,59
2013-02-27,2691.2353311008587,59
2013-02-28,2725.72305757174,59
2013-03-01,2759.9627046688342,59
2013-03-04,2793.6531775119925,57
2013-03-05,2827.5938478997286,57
2013-03-06,2863.9513129204697,57
2013-03-07,2910.132001823495,57
2013-03-08,2964.7270820137787,59
2013-03-11,3036.2976110667964,59
2013-03-12,3110.3638820993433,59
2013-03-13,3176.1831613439695,57
2013-03-14,3239.3571220159015,59
2013-03-15,3264.1829065473034,59
2013-03-18,3314.8324188262764,59
2013-03-19,3382.9652181465626,59
2013-03-20,3464.8409642330716,57
2013-03-21,3499.9712564105766,57
2013-03-22,3538.321193968791,57
2013-03-25,3567.3265933170055,59
2013-03-26,3627.09747530292,59
2013-03-27,3652.517070110267,59
2013-03-28,3664.1869730984426,59
2013-03-29,3666.236353967456,59
2013-04-01,3680.7620729781793,59
2013-04-02,3709.8182562409324,59
2013-04-03,3740.206734477178,59
2013-04-04,3758.845287203731,59
2013-04-05,3792.6299549304417,59
2013-04-08,3805.33656869482,59
2013-04-09,3829.729035583665,59
2013-04-10,3867.223524344201,59
2013-04-11,3906.129422863141,59
2013-04-12,3953.92583032428,59
2013-04-15,4068.2674582672416,59
2013-04-16,4162.351324816205,59
2013-04-17,4291.931463331258,59
2013-04-18,4427.803798947818,59
2013-04-19,4563.635552110864,59
2013-04-22,4684.334760153255,59
2013-04-23,4812.194362849189,59
2013-04-24,4951.831776931189,59
2013-04-25,5093.89750120488,59
2013-04-26,5231.596742900889,59
2013-04-29,5320.414304131475,59
2013-04-30,5395.338413795616,59
2013-05-01,5481.607615771202,59
2013-05-02,5546.452980070036,59
2013-05-03,5591.421115120105,59
2013-05-06,5636.929883615415,59
2013-05-07,5701.457183583611,59
2013-05-08,5796.266086742725,59
2013-05-09,5903.583832987112,5
2013-05-10,6086.107335848818,59
2013-05-13,6341.506337806493,59
2013-05-14,6572.02552491023,59
2013-05-15,6659.894815567538,59
2013-05-16,6394.244810903509,5
2013-05-17,6246.929125147644,5
2013-05-20,6447.52621928942,5
2013-05-21,6519.70614073894,5
2013-05-22,6565.637005701579,55
2013-05-23,6604.17745609799,57
2013-05-24,6599.5133168311195,55
2013-05-27,6662.030663685325,59
2013-05-28,6717.039596071955,55
2013-05-29,6694.354979127768,5
2013-05-30,6607.995371663586,57
2013-05-31,6570.499142909803,57
2013-06-03,6579.608950662726,57
2013-06-04,6565.029796670982,57
2013-06-05,6565.387500812391,57
2013-06-06,6558.011974291157,57
2013-06-07,6531.8247894020005,57
2013-06-10,6525.280264208776,57
2013-06-11,6520.1814245128835,57
2013-06-12,6440.702103236875,57
2013-06-13,6372.481532507839,57
2013-06-14,6265.604519495746,5
2013-06-17,6268.753360423815,5
2013-06-18,6314.484599286393,5
2013-06-19,6346.5490198697225,59
2013-06-20,6343.544520406918,59
2013-06-21,6321.511579335206,59
2013-06-24,6243.955612005692,59
2013-06-25,6127.370013886347,59
2013-06-26,6095.869088577698,59
2013-06-27,6088.790208239671,59
2013-06-28,6095.36404677146,59
2013-07-01,6167.83422386524,59
2013-07-02,6224.392936726125,59
2013-07-03,6356.6656292103235,59
2013-07-04,6501.634118065426,59
2013-07-05,6591.766152349224,59
2013-07-08,6650.121178576203,5
2013-07-09,6704.958373752279,5
2013-07-10,6719.365208917511,57
2013-07-11,6660.727240735503,5
2013-07-12,6634.652707046305,5
2013-07-15,6619.66964995595,57
2013-07-16,6613.782786775825,57
2013-07-17,6596.38441347961,9
2013-07-18,6583.80138696664,57
2013-07-19,6461.213347557433,5
2013-07-22,6359.277939575611,5
2013-07-23,6389.164316057164,5
2013-07-24,6363.001127053574,5
2013-07-25,6389.317925355893,5
2013-07-26,6461.689459080257,5
2013-07-29,6445.082928009173,57
2013-07-30,6460.559032565338,57
2013-07-31,6455.075339606358,5
2013-08-01,6450.751496463792,5
2013-08-02,6439.158362759946,1
2013-08-05,6409.238214883421,57
2013-08-06,6416.9134292711005,57
2013-08-07,6452.414375996361,57
2013-08-08,6527.133613989136,57
2013-08-09,6568.310900060721,57
2013-08-12,6646.98864804153,57
2013-08-13,6712.24614031017,59
2013-08-14,6768.877228583593,59
2013-08-15,6819.685050921646,59
2013-08-16,6877.53797703483,59
2013-08-19,6918.562377922494,59
2013-08-20,6972.017779320817,59
