,results,K
2010-11-09,2483.7413422019167,1
2010-11-10,2391.9653810230557,37
2010-11-11,2308.213045425424,3
2010-11-12,2190.337538369325,3
2010-11-15,2107.572613014918,33
2010-11-16,1977.7612051710482,33
2010-11-17,1934.9758441484134,33
2010-11-18,1896.503021390939,33
2010-11-19,1828.9720913824387,1
2010-11-22,1772.9317197808894,3
2010-11-23,1729.9310499703108,3
2010-11-24,1625.3799373838287,3
2010-11-25,1578.9014767895756,3
2010-11-26,1583.1971856229952,3
2010-11-29,1569.1726272889073,33
2010-11-30,1552.3654595548462,33
2010-12-01,1545.9124030061294,33
2010-12-02,1521.0649444058067,33
2010-12-03,1514.0306259534686,33
2010-12-06,1535.2449997184974,33
2010-12-07,1571.2274745645736,33
2010-12-08,1591.5661375086822,33
2010-12-09,1617.7861794144994,33
2010-12-10,1663.293479601651,33
2010-12-13,1676.112131460731,1
2010-12-14,1671.6489206593888,1
2010-12-15,1641.8915274152293,1
2010-12-16,1662.2638854529803,3
2010-12-17,1739.7485105114615,3
2010-12-20,1767.572577473808,1
2010-12-21,1919.0747923081292,41
2010-12-22,1946.3337302446369,1
2010-12-23,2045.6897966809543,1
2010-12-24,2042.0450234689695,1
2010-12-27,1969.6596106426205,1
2010-12-28,1962.9213058196049,1
2010-12-29,1827.60021008925,1
2010-12-30,1860.2713289859796,1
2010-12-31,1958.6567451987635,1
2011-01-03,1972.7219099165243,1
2011-01-04,2017.9272110173808,1
2011-01-05,2007.9573380263987,1
2011-01-06,1984.5431683835477,1
2011-01-07,2128.0280619572536,1
2011-01-10,2191.2465500227026,1
2011-01-11,2242.5419386574754,1
2011-01-12,2515.8847120931077,41
2011-01-13,2590.088871967234,41
2011-01-14,2692.987593645829,41
2011-01-17,2588.656663444597,1
2011-01-18,2618.9494110866685,1
2011-01-19,2601.7314404937597,1
2011-01-20,2988.7576908498645,37
2011-01-21,3115.1351683171574,37
2011-01-24,3195.8296607808097,1
2011-01-25,3298.8775235020303,1
2011-01-26,3487.9345800877736,1
2011-01-27,3678.8849141745063,1
2011-01-28,3674.199270583237,1
2011-01-31,4022.0876114646635,35
2011-02-01,4046.104744851718,1
2011-02-02,4064.709742412212,1
2011-02-03,4025.0548030935365,1
2011-02-04,4121.018448387662,1
2011-02-07,4298.144912967631,1
2011-02-08,4365.719329441659,1
2011-02-09,4738.4403822213435,3
2011-02-10,4712.838482783879,1
2011-02-11,4247.4087829592345,1
2011-02-14,4145.796688522696,1
2011-02-15,3889.6725352892604,1
2011-02-16,3806.989452338353,1
2011-02-17,3751.4071583524114,1
2011-02-18,3674.7942357388074,1
2011-02-21,3569.3452964447124,1
2011-02-22,3767.293786129647,1
2011-02-23,3827.3651073876536,1
2011-02-24,3437.1394587649775,1
2011-02-25,3546.667970355265,1
2011-02-28,3588.519580065024,1
2011-03-01,3451.2459232009437,1
2011-03-02,3291.797124537317,1
2011-03-03,3285.85865221182,1
2011-03-04,2686.3716532022318,1
2011-03-07,2506.6685666184153,1
2011-03-08,2355.1716106942563,1
2011-03-09,1881.1455229868227,1
2011-03-10,1910.1118350154866,1
2011-03-11,2182.840387764456,1
2011-03-14,2251.514661628472,1
2011-03-15,2426.9723755464006,1
2011-03-16,2525.6638728549988,1
2011-03-17,2459.4545897400008,1
2011-03-18,2146.6341454020244,1
2011-03-21,2236.565872972479,1
2011-03-22,2256.4797056962893,1
2011-03-23,1928.8847540166607,1
2011-03-24,1777.1028740310107,1
2011-03-25,1757.2498335661207,1
2011-03-28,1729.8685295099779,1
2011-03-29,1431.9610203777677,1
2011-03-30,1428.0426170668272,1
2011-03-31,1158.8715906057553,1
2011-04-01,1285.7560859038201,1
2011-04-04,1313.392844913527,1
2011-04-05,1370.774595767114,1
2011-04-06,1260.9861151724724,1
2011-04-07,1368.787983686334,3
2011-04-08,1426.5376437457217,1
2011-04-11,1454.2574324191492,1
2011-04-12,1375.9599965988357,1
2011-04-13,1333.581067113436,1
2011-04-14,1528.2114403888947,1
2011-04-15,1417.755711997415,1
2011-04-18,1196.7309465722317,1
2011-04-19,1281.163891463383,1
2011-04-20,1220.6902268134838,1
2011-04-21,1356.3188269079856,1
2011-04-22,1429.7688443047534,3
2011-04-25,1402.4577398383244,1
2011-04-26,1408.0738620414338,1
2011-04-27,1475.2934978603937,1
2011-04-28,1609.0184048269664,1
2011-04-29,1602.9848593817255,1
2011-05-02,1703.4751171106902,3
2011-05-03,1603.8549900188573,1
2011-05-04,1496.6643098705392,1
2011-05-05,1265.3710470305975,1
2011-05-06,1451.4874077135207,1
2011-05-09,1485.5358009864945,3
2011-05-10,1436.121171440901,1
2011-05-11,1411.0967031120774,1
2011-05-12,1419.7353892450826,1
2011-05-13,1291.1998505027977,1
2011-05-16,1253.4096634588147,1
2011-05-17,1279.3534181713715,1
2011-05-18,1218.925113409274,1
