,results,K
2010-11-09,2377.3005307073495,27
2010-11-10,2316.5172657640746,27
2010-11-11,2294.208054281554,25
2010-11-12,2256.624064969803,27
2010-11-15,2223.191825810355,45
2010-11-16,2168.1481602578724,45
2010-11-17,2145.249334980615,25
2010-11-18,2106.391921046706,27
2010-11-19,2046.1176254059421,27
2010-11-22,2019.998312083871,27
2010-11-23,1988.2942986711714,25
2010-11-24,1933.5708261653929,59
2010-11-25,1883.657043724794,59
2010-11-26,1847.7035887043178,59
2010-11-29,1826.251873201178,59
2010-11-30,1808.4514380449152,59
2010-12-01,1810.137248955187,59
2010-12-02,1798.1923165172934,59
2010-12-03,1807.4518468779659,59
2010-12-06,1841.4209303986631,59
2010-12-07,1887.0003504682668,59
2010-12-08,1931.1385745187451,59
2010-12-09,1961.5613538143973,59
2010-12-10,2010.129890540542,59
2010-12-13,2040.8946588575877,59
2010-12-14,2066.1611371189765,33
2010-12-15,2045.0080857450916,33
2010-12-16,2050.0223668171543,33
2010-12-17,2086.6164324131496,27
2010-12-20,2108.184618630632,59
2010-12-21,2159.5621751838503,31
2010-12-22,2222.301420494776,33
2010-12-23,2283.389566874247,33
2010-12-24,2320.8131092746216,25
2010-12-27,2345.008685479645,25
2010-12-28,2372.710580405036,25
2010-12-29,2346.90944884721,1
2010-12-30,2347.41758584902,25
2010-12-31,2389.1663662509213,25
2011-01-03,2416.6443228744847,25
2011-01-04,2443.0476702334086,25
2011-01-05,2468.7049348512924,25
2011-01-06,2498.783934490132,25
2011-01-07,2571.663116311651,25
2011-01-10,2609.7069833028722,25
2011-01-11,2665.8283058330685,25
2011-01-12,2764.436127038078,25
2011-01-13,2902.3888591015198,25
2011-01-14,3041.1147050328104,25
2011-01-17,3138.227462101911,33
2011-01-18,3216.1444614482657,33
2011-01-19,3296.5400466638807,33
2011-01-20,3408.2741332575274,33
2011-01-21,3563.954331819426,33
2011-01-24,3680.0202945337996,59
2011-01-25,3805.3041158766487,59
2011-01-26,3954.122857516429,59
2011-01-27,4153.485077550708,59
2011-01-28,4343.875376271519,59
2011-01-31,4480.921963621447,59
2011-02-01,4602.377406499702,59
2011-02-02,4722.603190068213,59
2011-02-03,4819.376806776018,57
2011-02-04,4888.329826143149,33
2011-02-07,5001.678034144875,33
2011-02-08,5151.431165472228,57
2011-02-09,5226.001154320648,57
2011-02-10,5372.984809870217,57
2011-02-11,5386.432868340702,59
2011-02-14,5397.226885922873,59
2011-02-15,5339.2776794965375,33
2011-02-16,5192.272126444977,33
2011-02-17,5072.61855074025,33
2011-02-18,4933.480697513195,35
2011-02-21,4843.747199685601,35
2011-02-22,4814.608859829289,57
2011-02-23,4770.370714742264,57
2011-02-24,4739.0644847489075,57
2011-02-25,4731.590767728671,57
2011-02-28,4726.143050258314,57
2011-03-01,4665.512495327644,57
2011-03-02,4527.024867783809,57
2011-03-03,4428.135163921529,57
2011-03-04,4318.276473690521,57
2011-03-07,4192.100427840085,57
2011-03-08,4026.4313511250557,57
2011-03-09,3924.209433440823,57
2011-03-10,3790.5251782346777,57
2011-03-11,3703.7897573029177,53
2011-03-14,3639.7596344720373,53
2011-03-15,3631.0576493829485,53
2011-03-16,3617.032815349809,57
2011-03-17,3580.1229461564253,59
2011-03-18,3485.6150534389094,53
2011-03-21,3406.8949535467727,59
2011-03-22,3360.370911998772,59
2011-03-23,3283.908249400094,59
2011-03-24,3221.7237184491623,53
2011-03-25,3139.975035797047,59
2011-03-28,3064.701465269371,59
2011-03-29,2926.7554410378616,53
2011-03-30,2800.6148201586134,57
2011-03-31,2647.209206572541,53
2011-04-01,2592.6833367465247,53
2011-04-04,2565.2518507627105,53
2011-04-05,2577.7929683624466,57
2011-04-06,2537.090619162914,57
2011-04-07,2568.787341427328,57
2011-04-08,2537.2419014723955,57
2011-04-11,2530.5991753221942,57
2011-04-12,2521.4723252618423,57
2011-04-13,2490.15151204715,57
2011-04-14,2541.743563085734,57
2011-04-15,2534.4912501035355,57
2011-04-18,2444.104823393383,53
2011-04-19,2417.6172071432557,53
2011-04-20,2344.187071734814,49
2011-04-21,2276.0678475410396,57
