,results,K
2006-11-06,8249.809407338724,23
2006-11-07,8405.595220664647,67
2006-11-08,8550.478950745715,67
2006-11-09,8734.672011352804,67
2006-11-10,9032.324878173662,25
2006-11-13,9294.864121731682,67
2006-11-14,9527.771229246588,67
2006-11-15,9672.449114117846,25
2006-11-16,9646.930471683127,25
2006-11-17,9527.900409687147,25
2006-11-20,9186.430471046686,25
2006-11-21,8976.752455244576,25
2006-11-22,8661.802840796881,17
2006-11-23,8167.974999969722,17
2006-11-24,7818.458569718687,17
2006-11-27,7389.620031236392,3
2006-11-28,7251.053946639573,5
2006-11-29,7013.22449551929,5
2006-11-30,6810.597452646102,17
2006-12-01,6618.416476311144,17
2006-12-04,6455.3450968102525,17
2006-12-05,6220.741397465423,17
2006-12-06,6059.14068352001,17
2006-12-07,5873.780925101764,17
2006-12-08,5824.182999401277,17
2006-12-11,5741.828171924101,17
2006-12-12,5729.113034601123,17
2006-12-13,5715.4705615102275,17
2006-12-14,5647.927470147635,17
2006-12-15,5640.302973420224,17
2006-12-18,5553.52988540135,17
2006-12-19,5506.157686008588,13
2006-12-20,5564.516846075919,17
2006-12-21,5586.664873222399,17
2006-12-22,5598.035977822127,5
2006-12-25,5563.218541006787,5
2006-12-26,5557.957638941918,5
2006-12-27,5607.618122087222,5
2006-12-28,5660.738848246155,5
2006-12-29,5667.516769010421,5
2007-01-01,5708.551306852743,5
2007-01-02,5761.9737759044565,5
2007-01-03,5813.205452085852,5
2007-01-04,5962.734049348893,5
2007-01-05,6058.494277576795,5
2007-01-08,6166.556276739159,5
2007-01-09,6269.605805583652,5
2007-01-10,6388.427050507832,5
2007-01-11,6516.841364158336,5
2007-01-12,6676.985189899565,13
2007-01-15,6937.579202698508,13
2007-01-16,7029.014998947851,17
2007-01-17,6972.920024999819,9
2007-01-18,6973.954049937364,9
2007-01-19,7111.670886237448,13
2007-01-22,7120.519010758299,13
2007-01-23,7077.433557226824,13
2007-01-24,7019.082574964654,13
2007-01-25,7033.512935679157,13
2007-01-26,7020.6599467198785,13
2007-01-29,7007.107301329659,13
2007-01-30,7055.808714174729,13
2007-01-31,7066.064649225742,13
2007-02-01,7092.660653457085,13
2007-02-02,7168.132802038089,13
2007-02-05,7181.261809171147,13
2007-02-06,7201.110637831715,13
2007-02-07,7218.481120817732,13
2007-02-08,7260.909547680919,13
2007-02-09,7361.14259012881,13
2007-02-12,7485.213228617462,13
2007-02-13,7574.970695396318,13
2007-02-14,7691.857594473611,13
2007-02-15,7844.975626016475,15
2007-02-16,7964.453877958274,15
2007-02-19,8085.8154774577915,17
2007-02-20,8234.999732310813,17
2007-02-21,8399.07473593406,17
2007-02-22,8604.602032389243,17
2007-02-23,8813.195214067593,17
2007-02-26,8963.600309690673,13
2007-02-27,9041.17143734845,13
2007-02-28,9255.34030302165,17
2007-03-01,9608.793240102053,13
2007-03-02,9991.99285158445,13
2007-03-05,10414.909282028302,13
2007-03-06,10837.49624046931,13
2007-03-07,11288.575978290091,13
2007-03-08,11704.70717735462,13
2007-03-09,12312.415976833245,13
2007-03-12,12731.989957508868,13
2007-03-13,12941.239149126503,13
2007-03-14,13275.363322814219,17
2007-03-15,13659.093496162173,17
2007-03-16,14087.981370123036,17
2007-03-19,14057.308299525652,17
2007-03-20,14083.053851299155,17
2007-03-21,14027.138778162216,17
2007-03-22,13849.602385640741,17
2007-03-23,13710.961924633852,17
2007-03-26,13498.889478444116,17
2007-03-27,13406.859199443023,17
