,results,K
2006-11-06,2514.5669418416333,19
2006-11-07,2523.8461876407164,19
2006-11-08,2529.3131649762922,19
2006-11-09,2536.383634148297,21
2006-11-10,2540.629465443686,19
2006-11-13,2551.137632121521,19
2006-11-14,2539.4053227440427,25
2006-11-15,2535.2851677048875,25
2006-11-16,2547.0908334555083,25
2006-11-17,2576.25834510804,25
2006-11-20,2611.8621275301252,25
2006-11-21,2654.626713483711,29
2006-11-22,2708.0518109452037,29
2006-11-23,2772.664607832886,29
2006-11-24,2826.0206297208283,25
2006-11-27,2894.211742215787,29
2006-11-28,2960.0223020159,29
2006-11-29,3049.1234252132813,29
2006-11-30,3140.6593486361307,29
2006-12-01,3264.2504397451607,29
2006-12-04,3410.1660362640464,25
2006-12-05,3574.072162644773,25
2006-12-06,3688.4626323088883,27
2006-12-07,3799.3983183967293,27
2006-12-08,3874.2183512060724,27
2006-12-11,3943.2747771384593,27
2006-12-12,3909.454224563062,27
2006-12-13,3862.251708760555,27
2006-12-14,3867.342033407195,27
2006-12-15,3833.0010268640676,27
2006-12-18,3857.6976161516036,27
2006-12-19,3860.0068630531446,27
2006-12-20,3832.122463691072,27
2006-12-21,3608.511534585827,27
2006-12-22,3488.3561771382037,27
2006-12-25,3474.9469699819533,27
2006-12-26,3535.330623409535,27
2006-12-27,3586.0339207310712,27
2006-12-28,3602.641073287397,31
2006-12-29,3626.0806697000917,27
2007-01-01,3556.2061954600013,27
2007-01-02,3404.0110842057234,27
2007-01-03,3291.3926041395553,27
2007-01-04,3093.435127877624,31
2007-01-05,2951.960566522841,31
2007-01-08,2858.5861637834073,31
2007-01-09,2829.616856195082,31
2007-01-10,2821.737184798772,31
2007-01-11,2805.7897592920613,31
2007-01-12,2838.633888749427,31
2007-01-15,2840.4173221994397,31
2007-01-16,2836.4366554165604,31
2007-01-17,2837.484377247533,31
2007-01-18,2850.245189471198,31
2007-01-19,2869.0576386280977,31
2007-01-22,2869.8816529511605,33
2007-01-23,2879.861107143026,33
