,results,K
2006-11-08,8550.878013372598,67
2006-11-09,8732.698221302557,23
2006-11-10,9038.608223615416,67
2006-11-13,9296.60843833526,67
2006-11-14,9529.850456987902,67
2006-11-15,9682.728088295255,25
2006-11-16,9667.067452110588,25
2006-11-17,9537.989389766057,23
2006-11-20,9201.186493380901,25
2006-11-21,8987.128559095401,25
2006-11-22,8653.003668274057,17
2006-11-23,8159.090438925876,17
2006-11-24,7809.488616481061,17
2006-11-27,7389.620031236392,3
2006-11-28,7248.130635678079,5
2006-11-29,7009.971048609114,5
2006-11-30,6801.29708497138,17
2006-12-01,6608.647364536855,17
2006-12-04,6446.3160650018135,17
2006-12-05,6207.865512451093,17
2006-12-06,6046.146146956658,17
2006-12-07,5860.692538783066,17
2006-12-08,5790.3382408643965,17
2006-12-11,5703.637871467885,17
2006-12-12,5686.162309096482,17
2006-12-13,5670.875359213494,17
2006-12-14,5602.260952589732,17
2006-12-15,5589.673959564639,17
2006-12-18,5497.447836228128,13
2006-12-19,5439.207991544053,13
2006-12-20,5500.278062374937,13
2006-12-21,5527.880341846651,13
2006-12-22,5590.7285968557435,5
2006-12-25,5556.228047230132,5
2006-12-26,5551.592849040089,5
2006-12-27,5601.196394220131,5
2006-12-28,5654.260183522889,5
2006-12-29,5660.981168575828,5
2007-01-01,5701.958771765329,5
2007-01-02,5755.324307044185,5
2007-01-03,5801.023634011261,13
2007-01-04,5923.186284300813,13
2007-01-05,6009.413269993595,13
2007-01-08,6106.303886334113,13
2007-01-09,6255.097360384702,13
2007-01-10,6378.567301946035,13
2007-01-11,6472.996346557445,13
2007-01-12,6607.211777378784,13
2007-01-15,6867.628875687371,13
2007-01-16,6976.802766897507,15
2007-01-17,6900.640905312049,9
2007-01-18,6897.926337097009,9
2007-01-19,7019.886866699752,13
2007-01-22,7028.272577319265,13
2007-01-23,6985.447991598278,13
2007-01-24,6929.985158173595,13
2007-01-25,6943.882929724396,13
2007-01-26,6929.9946824008175,13
2007-01-29,6916.523255355232,13
2007-01-30,6964.693324764338,13
2007-01-31,6974.745685632202,13
2007-02-01,7000.852531360534,13
2007-02-02,7076.7086222122025,13
2007-02-05,7095.6398311613275,13
2007-02-06,7118.215727664063,13
2007-02-07,7140.667290525196,13
2007-02-08,7181.717995489884,13
2007-02-09,7280.077806352114,13
2007-02-12,7405.883387148859,13
2007-02-13,7494.575667944653,13
2007-02-14,7610.909312281085,13
2007-02-15,7780.97588658506,15
2007-02-16,7900.069090504298,15
2007-02-19,8048.539998913951,15
2007-02-20,8216.4028083184,17
2007-02-21,8372.909660406438,15
2007-02-22,8589.765039075359,17
2007-02-23,8765.427983332802,13
2007-02-26,8878.837470717484,13
2007-02-27,8955.968780349203,13
2007-02-28,9182.13102821748,13
2007-03-01,9521.759778224547,13
2007-03-02,9903.603430643101,13
2007-03-05,10325.79820453795,13
2007-03-06,10742.977582379373,13
2007-03-07,11190.02892129057,13
2007-03-08,11605.569793096549,13
2007-03-09,12214.008721982043,13
2007-03-12,12638.660692136298,13
2007-03-13,12847.63062375432,13
2007-03-14,13190.819867574479,13
2007-03-15,13601.567276864373,13
2007-03-16,14056.172325928028,19
2007-03-19,14038.106290126194,17
2007-03-20,14063.954828187278,17
2007-03-21,13960.297058036334,13
2007-03-22,13822.999084747195,17
2007-03-23,13641.745357253354,13
2007-03-26,13413.174238738899,13
2007-03-27,13349.825078378864,15
2007-03-28,13187.583121786565,13
2007-03-29,13299.522209528513,13
2007-03-30,13286.004441096007,13
2007-04-02,13224.956348525531,13
2007-04-03,13086.68722519757,13
2007-04-04,12871.570187246236,13
2007-04-05,12860.51736585109,13
2007-04-06,12926.002131675226,13
2007-04-09,12994.383144247637,13
2007-04-10,13040.092891455562,13
2007-04-11,13067.284616250538,15
2007-04-12,12971.49804854842,15
2007-04-13,12744.496879933418,17
2007-04-16,12592.396924787105,13
2007-04-17,12482.828524873088,13
2007-04-18,12532.88361923118,13
2007-04-19,12561.20416413398,17
2007-04-20,12487.253990003068,17
2007-04-23,12377.730973815129,17
2007-04-24,12358.441218106056,17
2007-04-25,12294.138430481138,13
2007-04-26,12290.455719919779,13
2007-04-27,12362.308618539897,17
2007-04-30,12406.761838235832,17
2007-05-01,12313.9409575622,17
2007-05-02,12379.683191407332,17
2007-05-03,12321.144163793295,17
2007-05-04,12366.620152745418,17
2007-05-07,12428.180322952943,13
2007-05-08,12460.079522020296,13
2007-05-09,12428.842896946888,13
2007-05-10,12314.230239131186,15
2007-05-11,12210.43236865275,13
2007-05-14,12080.10983285635,17
2007-05-15,11990.25915234307,17
2007-05-16,11949.514220820907,17
2007-05-17,11913.735103097786,17
2007-05-18,11803.009212558833,17
2007-05-21,11733.625617424026,17
2007-05-22,11669.154081376377,17
2007-05-23,11455.369525200944,17
2007-05-24,10971.441708947881,17
2007-05-25,9929.347736161655,3
2007-05-28,9665.501481282354,1
2007-05-29,9530.472504485402,1
