,results,K
2006-11-06,8168.298074229693,35
2006-11-07,8324.502436985546,31
2006-11-08,8443.967165652339,31
2006-11-09,8638.623116706276,31
2006-11-10,8959.661532360646,35
2006-11-13,9225.995296315194,35
2006-11-14,9474.661153981428,35
2006-11-15,9679.950474402704,35
2006-11-16,9658.18549371541,35
2006-11-17,9530.96319183322,37
2006-11-20,9307.1138047647,35
2006-11-21,9106.481907127063,7
2006-11-22,8728.77600055398,11
2006-11-23,8283.760854281149,13
2006-11-24,7813.033507277261,5
2006-11-27,7436.773754351066,5
2006-11-28,7128.551058287555,5
2006-11-29,6945.551233351897,9
2006-11-30,6672.272395849018,9
2006-12-01,6541.180729430061,9
2006-12-04,6391.164994186172,9
2006-12-05,6183.938548177306,9
2006-12-06,6025.752468470581,9
2006-12-07,5862.664203053868,9
2006-12-08,5792.589325978169,9
2006-12-11,5742.577007880029,9
2006-12-12,5739.264467222578,9
2006-12-13,5738.2102827047465,9
2006-12-14,5674.195429732781,9
2006-12-15,5659.6914859026465,9
2006-12-18,5559.568230663696,7
2006-12-19,5474.0597200269285,7
2006-12-20,5529.052138984537,7
2006-12-21,5504.6334895504415,7
2006-12-22,5595.581361478167,7
2006-12-25,5545.0318256188275,5
2006-12-26,5528.508798589988,5
2006-12-27,5571.220865026435,5
2006-12-28,5605.708287874755,5
2006-12-29,5630.196061020195,5
2007-01-01,5668.271519768457,5
2007-01-02,5705.083962615568,5
2007-01-03,5778.740588719301,5
2007-01-04,5942.900445072142,5
2007-01-05,6075.151270054428,5
2007-01-08,6182.214427255257,5
2007-01-09,6313.577513421224,5
2007-01-10,6442.494737592523,5
2007-01-11,6601.023922018769,5
2007-01-12,6766.5312163722,5
2007-01-15,7093.142156997488,5
2007-01-16,7212.086793164628,5
2007-01-17,7105.723900317782,5
2007-01-18,7135.769522977406,5
2007-01-19,7297.244309254906,5
2007-01-22,7297.033132085355,5
2007-01-23,7288.7770693568955,5
2007-01-24,7234.134917252563,5
2007-01-25,7232.974426263684,5
2007-01-26,7215.624465231304,5
2007-01-29,7239.450206243387,5
2007-01-30,7313.746636949688,5
2007-01-31,7302.974027028311,5
2007-02-01,7317.874767421491,5
2007-02-02,7408.413470524529,5
2007-02-05,7444.603714545508,5
2007-02-06,7474.972664213303,5
2007-02-07,7433.567444362116,5
2007-02-08,7458.372955947759,5
2007-02-09,7581.720785502329,5
2007-02-12,7695.625945439555,5
2007-02-13,7821.095891839972,5
2007-02-14,8006.931196742842,5
2007-02-15,8109.5760023349185,5
2007-02-16,8311.838577066903,5
2007-02-19,8443.719229622864,5
2007-02-20,8559.536747296926,5
2007-02-21,8668.55385982009,5
2007-02-22,8848.383481161072,5
2007-02-23,8925.516645554228,5
2007-02-26,8959.969709559688,5
2007-02-27,9024.042266825441,5
2007-02-28,9196.84110863661,5
2007-03-01,9608.726048071872,5
2007-03-02,10082.554874129552,5
2007-03-05,10422.947678454006,5
2007-03-06,10655.535371423119,5
2007-03-07,11082.294950245048,5
2007-03-08,11693.57538074607,5
2007-03-09,12585.391500164475,5
2007-03-12,13037.038077853182,5
2007-03-13,13187.794405825227,5
2007-03-14,13746.342128678574,5
2007-03-15,14277.449454733285,13
2007-03-16,14819.340476155732,13
2007-03-19,14828.246586373773,17
2007-03-20,14862.036434009522,15
2007-03-21,14743.106729575518,17
2007-03-22,14574.732417015974,17
2007-03-23,14443.570418107152,17
2007-03-26,14299.022936456495,17
2007-03-27,14273.56536088411,17
2007-03-28,14157.303440442738,17
2007-03-29,14311.3753800734,17
2007-03-30,14315.321228385337,17
2007-04-02,14277.423837229753,17
2007-04-03,14176.072202795189,17
2007-04-04,14008.017795731928,17
2007-04-05,13866.477794579268,17
2007-04-06,13914.963651769189,17
2007-04-09,13868.35841937517,17
2007-04-10,13897.211563754496,17
2007-04-11,13913.831168224475,17
2007-04-12,13688.611833427063,5
2007-04-13,13366.456669311337,5
2007-04-16,13198.005561457247,5
2007-04-17,13093.34464065338,5
2007-04-18,13199.474556242536,5
2007-04-19,13141.186923697744,5
2007-04-20,13052.013029817777,5
2007-04-23,12891.247718058516,5
2007-04-24,12927.636823364488,5
2007-04-25,12818.000415460036,5
2007-04-26,12768.598927464922,5
2007-04-27,12860.274535750486,5
2007-04-30,12962.713474518936,5
2007-05-01,12844.030124326797,5
2007-05-02,12846.755554912055,5
2007-05-03,12843.829098803028,5
2007-05-04,12716.877515979786,5
2007-05-07,12619.130738544003,5
