,results,K
2000-11-07,1628.4786275538281,67
2000-11-08,1641.693742363778,67
2000-11-09,1634.0759456992664,67
2000-11-10,1599.073200916261,67
2000-11-13,1499.5943952442017,67
2000-11-14,1350.9661517004595,67
2000-11-15,1261.3668290829426,65
2000-11-16,1198.4752600918325,65
2000-11-17,1115.880245526304,19
2000-11-20,1041.548846698555,11
2000-11-21,997.9114793854723,11
2000-11-22,973.0361825867708,11
2000-11-23,970.1647888002254,11
2000-11-24,971.2651767920628,21
2000-11-27,952.3701488513767,19
2000-11-28,928.407817532847,19
2000-11-29,929.8273731387818,65
2000-11-30,923.501371739832,65
2000-12-01,927.8917673589054,65
2000-12-04,918.9591356938878,65
2000-12-05,912.809118437944,65
2000-12-06,909.8397515917856,65
2000-12-07,916.5204096632287,65
2000-12-08,942.6934768966318,65
2000-12-11,989.2467848561145,65
2000-12-12,1015.0832782985761,65
2000-12-13,1057.8913908714658,65
2000-12-14,1097.9418404591381,65
2000-12-15,1118.7910897974502,65
2000-12-18,1134.9527963676308,65
2000-12-19,1100.745681070394,65
2000-12-20,1069.4044354386901,65
2000-12-21,1029.9610254709767,65
2000-12-22,990.3699470340418,65
2000-12-25,951.946941296709,65
2000-12-26,921.9272187834084,65
2000-12-27,890.6608434290611,65
2000-12-28,868.0559719364904,65
2000-12-29,820.8019462737092,65
2001-01-01,783.178993654658,65
2001-01-02,751.4116578596603,65
2001-01-03,733.4319400359066,65
2001-01-04,722.2348600443033,65
2001-01-05,688.5078103548556,65
2001-01-08,624.4586391841741,65
2001-01-09,565.3170753233668,65
2001-01-10,507.1697161260203,65
2001-01-11,486.2868559731806,65
2001-01-12,452.9235347346396,65
2001-01-15,413.24317066191355,65
2001-01-16,391.07791203871614,65
2001-01-17,363.29223898945304,65
2001-01-18,364.1043468189602,65
2001-01-19,375.94760779594725,67
2001-01-22,389.7264316899437,67
2001-01-23,398.74652075735173,65
2001-01-24,395.1206942372455,65
2001-01-25,387.6252401026018,65
2001-01-26,385.7194806127467,65
2001-01-29,394.7222525070448,65
2001-01-30,406.6137121267887,65
2001-01-31,412.1399845419071,65
2001-02-01,429.34030732831866,65
2001-02-02,444.1489266983007,65
2001-02-05,455.65346444361904,65
2001-02-06,456.22558530311045,65
2001-02-07,454.06865678160113,65
2001-02-08,468.79218328388595,65
2001-02-09,477.81293163228725,65
2001-02-12,492.07030130693863,65
2001-02-13,500.64452592519694,65
2001-02-14,507.7034808368138,65
2001-02-15,507.6022466031008,65
2001-02-16,509.8123427524124,65
2001-02-19,530.1060119725543,65
2001-02-20,555.685105842121,65
2001-02-21,565.0093588603969,65
2001-02-22,569.0553104401212,65
2001-02-23,589.4079831267244,65
2001-02-26,605.7595519215271,65
2001-02-27,614.0100457830976,65
2001-02-28,606.5581703031897,65
2001-03-01,617.5611934730579,65
2001-03-02,616.2722032141969,65
2001-03-05,592.8859252241589,65
2001-03-06,568.6776765863641,65
2001-03-07,548.5788371087424,65
2001-03-08,516.5277653164068,65
2001-03-09,492.79834781245097,65
2001-03-12,470.2369122063061,65
2001-03-13,458.4692386640472,65
2001-03-14,449.8924803680688,65
2001-03-15,429.5889649857226,65
2001-03-16,408.68014474923825,65
2001-03-19,397.8985073858218,65
2001-03-20,388.9517950911663,65
2001-03-21,375.67363993854366,67
2001-03-22,371.9194563576046,67
2001-03-23,371.27838641356124,31
2001-03-26,368.6649106331592,31
2001-03-27,365.0443719249448,31
2001-03-28,363.4487801303235,31
2001-03-29,361.7254184706134,19
2001-03-30,361.227323540734,19
2001-04-02,359.8116550234853,19
2001-04-03,360.78759240993907,19
2001-04-04,357.62491991847185,19
2001-04-05,352.058635609651,19
2001-04-06,350.39397154317135,19
2001-04-09,350.5637587639282,19
2001-04-10,348.4337733981373,19
2001-04-11,349.18463878960875,19
2001-04-12,350.3854543930857,17
2001-04-13,352.10766045285214,15
2001-04-16,353.7835435840525,9
2001-04-17,360.6831479824161,9
2001-04-18,369.99935354593265,9
2001-04-19,378.1234807102606,9
2001-04-20,381.5256956011086,5
2001-04-23,385.30643892292403,3
2001-04-24,394.60417418072706,3
2001-04-25,418.41153620746974,3
2001-04-26,426.13439824207836,3
2001-04-27,433.4129943520088,3
2001-04-30,428.9770079557942,3
2001-05-01,424.8057485786994,3
2001-05-02,415.98079275385317,3
2001-05-03,398.25511445726704,3
2001-05-04,390.2636880063572,3
