,results,K
2007-11-05,1567.7658637715401,29
2007-11-06,1630.8794467534915,41
2007-11-07,1671.3177050625873,41
2007-11-08,1670.7020441537002,41
2007-11-09,1643.5707037707027,41
2007-11-12,1624.1298479620284,41
2007-11-13,1584.0702218285671,33
2007-11-14,1563.6625596856354,29
2007-11-15,1576.3256508287407,33
2007-11-16,1557.608257712178,29
2007-11-19,1515.8729897873598,29
2007-11-20,1479.1724743750387,29
2007-11-21,1413.9869526763252,29
2007-11-22,1273.6537493536289,19
2007-11-23,1172.1797202644916,15
2007-11-26,1147.5271013344886,15
2007-11-27,1110.879522908497,15
2007-11-28,1102.4609007963472,15
2007-11-29,1087.0101407555821,15
2007-11-30,1079.0064751004402,15
2007-12-03,1076.7043209000235,15
2007-12-04,1095.6315052428672,15
2007-12-05,1115.3934347475931,13
2007-12-06,1136.7459428928594,13
2007-12-07,1170.4918429159484,13
2007-12-10,1198.1568772827063,13
2007-12-11,1245.775798517194,13
2007-12-12,1236.3130751719648,13
2007-12-13,1216.6331776396487,13
2007-12-14,1227.3706942245915,13
2007-12-17,1229.2209170686062,17
2007-12-18,1239.692132660522,17
2007-12-19,1258.2887063555613,17
2007-12-20,1277.5954010103992,17
2007-12-21,1259.7679327207686,17
2007-12-24,1255.1989619088781,17
2007-12-25,1259.9843542938863,17
2007-12-26,1265.2951082862162,17
2007-12-27,1274.926926911685,17
2007-12-28,1281.424656611851,17
2007-12-31,1290.659320707806,17
2008-01-01,1294.9589611771805,17
2008-01-02,1299.3149277524878,17
2008-01-03,1305.5866091106511,19
2008-01-04,1308.6490335182948,23
2008-01-07,1337.802732626065,23
2008-01-08,1365.8654031846436,33
2008-01-09,1371.8443821834392,39
2008-01-10,1375.9104109440195,39
2008-01-11,1399.2743197546235,39
2008-01-14,1402.8116603971914,39
2008-01-15,1416.736748746281,41
2008-01-16,1420.2825968381926,41
2008-01-17,1416.3855499837377,43
2008-01-18,1414.2214096943228,43
2008-01-21,1421.2828073629007,45
2008-01-22,1431.9051067379644,45
2008-01-23,1430.8112355410017,45
2008-01-24,1429.813614035171,41
2008-01-25,1447.194709864099,47
2008-01-28,1457.6707580154498,51
2008-01-29,1452.488569813712,45
2008-01-30,1448.4930976493881,43
2008-01-31,1442.4657724357785,45
2008-02-01,1431.828096613061,41
2008-02-04,1415.7040232688062,41
2008-02-05,1407.600713287977,39
