,results,K
2006-11-06,8282.908866731632,67
2006-11-07,8424.56881406883,67
2006-11-08,8570.224201400137,67
2006-11-09,8760.858863105565,67
2006-11-10,9078.39195489738,67
2006-11-13,9336.501695786428,67
2006-11-14,9560.564741643097,67
2006-11-15,9732.182642949856,25
2006-11-16,9693.77155485563,25
2006-11-17,9561.40397611146,25
2006-11-20,9209.962000775437,25
2006-11-21,9004.399720475938,25
2006-11-22,8673.300790997815,17
2006-11-23,8171.258227396835,17
2006-11-24,7796.261163709641,17
2006-11-27,7374.622344050446,3
2006-11-28,7176.758739138337,5
2006-11-29,6977.279632730215,17
2006-11-30,6726.3291264874715,17
2006-12-01,6558.297000495875,17
2006-12-04,6415.117033044891,17
2006-12-05,6226.468529624134,17
2006-12-06,6062.377789060688,17
2006-12-07,5847.921389995625,17
2006-12-08,5794.425213771865,17
2006-12-11,5723.470334724208,17
2006-12-12,5727.560496607041,17
2006-12-13,5720.843722646757,17
2006-12-14,5650.741142088625,17
2006-12-15,5640.691304692622,17
2006-12-18,5555.219063155124,17
2006-12-19,5515.398510215117,13
2006-12-20,5569.003449535127,17
2006-12-21,5587.750029509882,17
2006-12-22,5597.706194051311,5
2006-12-25,5560.984283722212,5
2006-12-26,5555.964837262972,5
2006-12-27,5605.17406775662,5
2006-12-28,5660.376607289356,5
2006-12-29,5678.496285862805,5
2007-01-01,5718.738352021204,5
2007-01-02,5773.610893470897,5
2007-01-03,5825.496533655913,5
2007-01-04,5988.521978860026,5
2007-01-05,6084.886486826068,5
2007-01-08,6183.5617657509465,17
2007-01-09,6286.435016743403,5
2007-01-10,6402.9021121488795,5
2007-01-11,6541.527053398151,5
2007-01-12,6688.795459573718,13
2007-01-15,6945.22726622183,17
2007-01-16,7024.129605575714,17
2007-01-17,6981.998226503441,9
2007-01-18,6984.7984657618235,9
2007-01-19,7117.685874851124,13
2007-01-22,7116.595447934157,13
2007-01-23,7059.541202180867,13
2007-01-24,7002.869908781152,13
2007-01-25,7020.847127818579,13
2007-01-26,7013.891259235799,13
2007-01-29,7012.1741429529,13
2007-01-30,7071.18613790125,13
2007-01-31,7079.241104848882,13
2007-02-01,7105.923874726398,13
2007-02-02,7185.089373969083,13
2007-02-05,7198.138229276281,13
2007-02-06,7216.21149398908,13
2007-02-07,7233.415500149518,13
2007-02-08,7275.912072993648,13
2007-02-09,7381.0656700566215,13
2007-02-12,7502.948191994244,13
2007-02-13,7593.392194201995,13
2007-02-14,7708.905794500967,13
2007-02-15,7868.344160305796,15
2007-02-16,8004.280854538374,15
2007-02-19,8132.325032021841,17
2007-02-20,8319.334138072478,17
2007-02-21,8484.177346486895,17
2007-02-22,8691.642841055982,17
2007-02-23,8876.22600249331,17
2007-02-26,9010.811720879523,17
2007-02-27,9076.299838596937,13
2007-02-28,9280.208119573492,17
2007-03-01,9676.63102179344,17
2007-03-02,10076.93294603038,13
2007-03-05,10494.96905099436,13
2007-03-06,10901.48211599395,13
2007-03-07,11336.875129623239,13
2007-03-08,11776.285250731735,13
2007-03-09,12411.400292318038,13
2007-03-12,12798.849913074024,13
2007-03-13,12994.709638574835,13
2007-03-14,13309.626607789292,17
2007-03-15,13731.954565872787,17
2007-03-16,14194.886038836594,17
2007-03-19,14124.572881236323,17
2007-03-20,14137.359300869703,17
2007-03-21,14044.747876759928,17
2007-03-22,13849.75478067149,17
2007-03-23,13722.8202050493,17
2007-03-26,13496.235036976635,17
2007-03-27,13452.692978190917,17
2007-03-28,13327.389200912517,17
2007-03-29,13447.058951369596,17
2007-03-30,13425.461495831321,17
2007-04-02,13341.522820351698,17
2007-04-03,13219.504496953688,17
2007-04-04,12980.956650013444,17
2007-04-05,12942.324767338845,17
2007-04-06,13052.125272866673,17
2007-04-09,13100.712254104083,17
2007-04-10,13198.705798092347,17
2007-04-11,13194.835070517402,17
2007-04-12,12998.305206193354,17
2007-04-13,12745.520656505823,17
2007-04-16,12643.697505087912,17
