,results,K
2006-11-06,9739.187452902086,67
2006-11-07,9904.36414146778,67
2006-11-08,10058.672503154823,67
2006-11-09,10266.833481309033,67
2006-11-10,10571.274660712306,67
2006-11-13,10860.474704008424,67
2006-11-14,11140.457885859329,67
2006-11-15,11350.512904575227,67
2006-11-16,11344.930722080675,67
2006-11-17,11256.404829557247,67
2006-11-20,10872.51655611898,3
2006-11-21,10420.355506130998,3
2006-11-22,9321.97967612827,3
2006-11-23,8431.326458951075,3
2006-11-24,7704.608056550087,3
2006-11-27,7232.392238158448,3
2006-11-28,7271.259811586597,3
2006-11-29,7306.186047930411,3
2006-11-30,7154.391636923277,3
2006-12-01,7121.185714762796,3
2006-12-04,7056.241692326323,3
2006-12-05,6744.39024719885,3
2006-12-06,6481.925433152873,3
2006-12-07,6018.420561396353,3
2006-12-08,5972.5256369639565,3
2006-12-11,6019.02800201783,3
2006-12-12,6208.172020174064,3
2006-12-13,6204.268181385152,3
2006-12-14,6202.575526982192,3
2006-12-15,6295.591998813768,5
2006-12-18,6146.1636882129405,5
2006-12-19,6125.708166866187,5
2006-12-20,6241.949149373468,5
2006-12-21,6095.712712394782,3
2006-12-22,6045.7393407837335,3
2006-12-25,6025.924768671784,3
2006-12-26,6051.958118534969,3
2006-12-27,6120.456359379057,3
2006-12-28,6128.646849323823,3
2006-12-29,6213.718913883811,3
2007-01-01,6181.969545186423,3
2007-01-02,6201.663533772294,5
2007-01-03,6267.871888487018,3
2007-01-04,6472.483014643772,5
2007-01-05,6570.844282538881,3
2007-01-08,6797.521537742519,7
2007-01-09,6951.841484367645,5
2007-01-10,7057.014084706232,5
2007-01-11,7190.691235143631,7
2007-01-12,7224.081974327224,5
2007-01-15,7341.660842146554,5
2007-01-16,7342.178976440397,5
2007-01-17,7256.730727700418,5
2007-01-18,7173.282584193111,7
2007-01-19,7323.947332069814,7
2007-01-22,7343.586489959746,7
2007-01-23,7418.497515217347,7
2007-01-24,7392.545678307209,7
2007-01-25,7419.780441195143,7
2007-01-26,7516.675366011043,3
2007-01-29,7544.317819542978,3
2007-01-30,7610.765926249409,3
2007-01-31,7539.5946628512065,3
2007-02-01,7608.38578217054,3
2007-02-02,7808.437289016926,5
2007-02-05,7751.10409506747,5
2007-02-06,7763.290144593319,5
2007-02-07,7862.870441064134,7
2007-02-08,7917.033729816615,7
2007-02-09,8031.267605373038,7
2007-02-12,8131.513366079383,7
2007-02-13,8262.662081721948,7
2007-02-14,8420.947926644329,7
2007-02-15,8581.5214151609,7
2007-02-16,8659.737183013436,9
2007-02-19,8844.69529183019,7
2007-02-20,9002.882016810237,9
2007-02-21,9189.152167605002,7
2007-02-22,9463.869799376896,9
2007-02-23,9554.93849542078,9
2007-02-26,9689.13455421715,9
2007-02-27,9872.288443106547,9
2007-02-28,10057.221199153915,11
2007-03-01,10451.183761490112,11
2007-03-02,10848.236851713244,11
2007-03-05,11319.846194220405,11
2007-03-06,11704.637970524069,9
2007-03-07,12182.351609832398,9
2007-03-08,12709.059531966004,7
2007-03-09,13359.46122894501,9
2007-03-12,13814.728794779034,7
2007-03-13,14025.298427832337,7
2007-03-14,14470.43314130028,7
2007-03-15,15005.789759827658,11
2007-03-16,15503.766179050695,11
