,results,K
1995-11-06,905.0477996732543,1
1995-11-07,901.0470345931833,1
1995-11-08,905.8063430694966,1
1995-11-09,915.9495895785973,1
1995-11-10,925.0445717420853,1
1995-11-13,930.9596746057078,1
1995-11-14,977.2099293186881,1
1995-11-15,982.4044065551348,1
1995-11-16,996.4571761972958,1
1995-11-17,997.1966096179854,1
1995-11-20,990.7032186336124,1
1995-11-21,998.9500879906816,1
1995-11-22,1011.9531578753323,1
1995-11-23,1033.4293860901637,1
1995-11-24,1051.3658287038065,1
1995-11-27,1049.630922229979,1
1995-11-28,1067.3236950117423,1
1995-11-29,1117.0931154773882,1
1995-11-30,1090.4850764573598,1
1995-12-01,1096.9362049866745,1
1995-12-04,1087.2989020940088,1
1995-12-05,1090.977633636558,1
1995-12-06,1114.865537010005,1
1995-12-07,1131.0503575862085,1
1995-12-08,1139.6661556492384,1
1995-12-11,1136.026315846856,1
1995-12-12,1197.433050707295,1
1995-12-13,1198.3131038726433,1
1995-12-14,1167.5329687932397,1
1995-12-15,1133.7278841703314,1
1995-12-18,1133.1489586420078,1
1995-12-19,1138.1124028718532,1
1995-12-20,1135.3119161900963,1
1995-12-21,1135.7655061211367,1
1995-12-22,1152.761974624103,1
1995-12-25,1153.2862951699888,1
1995-12-26,1161.6167475345735,1
1995-12-27,1202.7468495551032,1
1995-12-28,1216.172055934723,1
1995-12-29,1223.9363010141724,1
1996-01-01,1259.0942120552108,1
1996-01-02,1262.0968152637533,1
1996-01-03,1279.742990615486,1
1996-01-04,1299.8529302707457,1
1996-01-05,1227.220447841194,1
1996-01-08,1209.9384829859437,1
1996-01-09,1060.604349591987,1
1996-01-10,1065.4690201886233,1
1996-01-11,1072.5636877316917,1
1996-01-12,1062.817091748054,1
1996-01-15,1068.893734683937,1
1996-01-16,1073.6911747270121,1
1996-01-17,1070.455149422328,1
1996-01-18,1049.313479300289,1
1996-01-19,963.980451461044,1
1996-01-22,967.8463739789692,1
1996-01-23,988.1170815386325,1
1996-01-24,982.8665431531107,1
1996-01-25,1047.3453219567655,1
1996-01-26,1039.4806284870986,1
1996-01-29,996.879236035622,1
1996-01-30,989.805204219173,1
1996-01-31,952.5756634613997,1
1996-02-01,955.7997902754195,1
1996-02-02,885.1481057264842,1
1996-02-05,881.6088673957734,1
1996-02-06,838.4557996613926,1
1996-02-07,845.1704960944571,1
1996-02-08,866.9612297803303,1
1996-02-09,871.5835693307838,1
1996-02-12,870.9347683349382,1
1996-02-13,874.0597153683137,1
1996-02-14,880.215575332525,1
1996-02-15,885.0552108306729,1
1996-02-16,850.7302567183061,1
1996-02-19,846.2136010315995,1
1996-02-20,821.6328263539448,1
1996-02-21,840.2702226589147,1
1996-02-22,832.3555942943836,1
1996-02-23,827.2034710551143,1
1996-02-26,783.5816664999779,1
1996-02-27,784.7967506670462,1
1996-02-28,773.11883440921,1
1996-02-29,781.1754412494514,1
1996-03-01,856.8737182312237,1
1996-03-04,877.0513937382258,1
1996-03-05,903.0751887566602,1
1996-03-06,923.3395273339637,1
1996-03-07,935.8012194067176,1
1996-03-08,987.304728871341,1
1996-03-11,1028.8145805552526,1
