,results,K
2006-11-07,8937.899398304295,59
2006-11-08,9073.86766302963,59
2006-11-09,9243.509931251981,59
2006-11-10,9545.474477421172,59
2006-11-13,9796.985232420398,59
2006-11-14,10024.257610567816,59
2006-11-15,10210.876951991018,59
2006-11-16,10196.540516937825,57
2006-11-17,10114.560220257974,59
2006-11-20,9900.90704520136,59
2006-11-21,9704.173835837133,59
2006-11-22,9474.141959441133,59
2006-11-23,8864.051501461247,7
2006-11-24,8355.49377871742,5
2006-11-27,7869.561719393858,5
2006-11-28,7616.144269016088,5
2006-11-29,7466.206011585243,5
2006-11-30,7240.672223081622,5
2006-12-01,7168.3127093111325,7
2006-12-04,6956.846484314706,7
2006-12-05,6765.27460403833,5
2006-12-06,6477.771039294388,5
2006-12-07,6176.073007970113,5
2006-12-08,6105.292930977709,5
2006-12-11,6236.494388240571,5
2006-12-12,6264.892955170822,5
2006-12-13,6260.80960098451,5
2006-12-14,6230.385517420446,5
2006-12-15,6138.395077121067,5
2006-12-18,5997.977372716734,5
2006-12-19,5949.014056125595,5
2006-12-20,5974.724713184866,5
2006-12-21,5892.783597473352,5
2006-12-22,5852.851877293271,5
2006-12-25,5850.096382094754,5
2006-12-26,5875.45836776483,5
2006-12-27,5947.417616793323,5
2006-12-28,6012.704701732224,5
2006-12-29,6029.903808842964,5
2007-01-01,6083.257775417877,5
2007-01-02,6131.727183172023,5
2007-01-03,6178.6192915263455,5
2007-01-04,6314.012568665791,5
2007-01-05,6413.010531814517,5
2007-01-08,6542.395460100167,5
2007-01-09,6678.771187447273,5
2007-01-10,6821.4707124538845,5
2007-01-11,6947.292873684907,5
2007-01-12,7257.01550003683,5
2007-01-15,7531.680958542109,7
2007-01-16,7611.219245914464,5
2007-01-17,7579.998339659113,5
2007-01-18,7602.55318652757,5
2007-01-19,7776.950897052629,7
2007-01-22,7800.497846080555,7
2007-01-23,7826.699575780704,5
2007-01-24,7769.279846435046,5
2007-01-25,7795.419451599084,5
2007-01-26,7771.844587398639,5
2007-01-29,7797.262960536845,5
2007-01-30,7897.670876195594,5
2007-01-31,7878.583679951579,5
2007-02-01,7913.294230765833,5
2007-02-02,8010.064678491153,5
2007-02-05,8039.160627484867,7
2007-02-06,8060.497094224317,7
2007-02-07,8039.152908442089,7
2007-02-08,8109.886881798236,7
2007-02-09,8316.9879143394,7
2007-02-12,8506.068039532734,5
2007-02-13,8607.462194297306,5
2007-02-14,8856.137484233415,5
2007-02-15,9095.57443822136,5
2007-02-16,9350.16254214212,11
2007-02-19,9417.198264599687,29
2007-02-20,9539.214566913246,29
2007-02-21,9657.116873622883,29
2007-02-22,9879.512166766104,29
2007-02-23,10033.28260654689,29
2007-02-26,10167.513118854986,29
2007-02-27,10280.033595156186,29
2007-02-28,10499.586456399358,29
2007-03-01,10880.060588701454,29
2007-03-02,11299.89772803166,31
2007-03-05,11776.738858148074,31
2007-03-06,12210.123035109646,31
2007-03-07,12716.211092173686,31
2007-03-08,13174.213302796055,31
