,results,K
1995-11-06,489.5401695850075,67
1995-11-07,495.0127466894471,67
1995-11-08,500.27055008614866,67
1995-11-09,506.4173662418196,67
1995-11-10,513.147857370017,67
1995-11-13,519.5332226822896,67
1995-11-14,527.8422276144132,67
1995-11-15,533.925247839339,67
1995-11-16,539.8689699856558,65
1995-11-17,545.861586081297,65
1995-11-20,540.5677502839211,67
1995-11-21,537.2198860718298,59
1995-11-22,536.2457459374051,59
1995-11-23,537.5195652888799,59
1995-11-24,538.2293599665328,59
1995-11-27,541.1908479808686,59
1995-11-28,545.599149334986,59
1995-11-29,550.7156298085112,59
1995-11-30,555.5360809776502,59
1995-12-01,561.2967469256035,59
1995-12-04,564.5220951905706,59
1995-12-05,567.2753260662176,59
1995-12-06,572.4030916242937,59
1995-12-07,577.8108771017486,59
1995-12-08,582.7107652703461,59
1995-12-11,586.1693712422235,59
1995-12-12,589.544302884931,59
1995-12-13,592.7797585012133,59
1995-12-14,593.002566424445,19
1995-12-15,594.6420804829797,19
1995-12-18,600.1440679012798,19
1995-12-19,605.2080159045559,21
1995-12-20,610.6098604026206,21
1995-12-21,616.7109095912648,21
1995-12-22,623.8721997429384,21
1995-12-25,632.1951077033739,21
1995-12-26,639.2109907426163,21
1995-12-27,647.6176212386852,21
1995-12-28,655.5646040666057,21
1995-12-29,664.6093135998494,21
1996-01-01,676.2816146035161,23
1996-01-02,680.6606842663665,23
1996-01-03,682.9481115993361,21
1996-01-04,690.0726517325822,21
1996-01-05,695.5072177757444,21
1996-01-08,692.6949646006641,21
1996-01-09,687.7410631258979,23
1996-01-10,682.9959487781346,23
1996-01-11,684.2683422559302,21
1996-01-12,685.8952675156188,23
1996-01-15,690.7701178220301,23
1996-01-16,696.6281634365841,23
1996-01-17,703.7728376870889,19
1996-01-18,715.5697257631714,19
1996-01-19,730.5426192409998,19
1996-01-22,749.6309568109424,19
1996-01-23,772.3256929579684,59
1996-01-24,788.2295929927288,59
1996-01-25,808.6684034134473,59
1996-01-26,829.6913441312744,59
1996-01-29,849.1917410831308,59
1996-01-30,861.7720037368878,59
1996-01-31,865.8679089009756,59
1996-02-01,871.1525110925696,59
1996-02-02,874.2779210672416,59
1996-02-05,897.3470533731758,59
1996-02-06,917.526075883928,59
1996-02-07,942.0292845540017,59
1996-02-08,966.9791217237906,59
1996-02-09,1002.3949636661526,59
1996-02-12,1036.7938493697322,59
1996-02-13,1063.3110346165147,59
1996-02-14,1104.794454726087,59
1996-02-15,1157.340078629053,59
1996-02-16,1200.7075354777426,59
1996-02-19,1241.7659753069322,59
1996-02-20,1280.6858739770917,59
1996-02-21,1323.59809899838,57
1996-02-22,1364.5332209883104,59
1996-02-23,1415.9023057066468,59
1996-02-26,1475.0888846432063,59
1996-02-27,1524.0965984459285,57
1996-02-28,1549.3958749521632,57
1996-02-29,1581.5362394069969,57
1996-03-01,1604.5444221153027,57
1996-03-04,1640.102896616261,57
1996-03-05,1676.9430635819365,57
1996-03-06,1698.6172121513298,57
1996-03-07,1712.0998945401052,57
1996-03-08,1733.561800135083,57
1996-03-11,1744.9813541127444,57
1996-03-12,1737.3391303699384,19
1996-03-13,1743.9955962288595,19
1996-03-14,1761.7514582293586,19
1996-03-15,1787.241682626749,21
1996-03-18,1817.77242452701,23
1996-03-19,1807.751626047677,23
1996-03-20,1804.508026962453,5
1996-03-21,1794.9170810245648,19
1996-03-22,1786.6716330231072,19
1996-03-25,1776.731912537643,19
1996-03-26,1754.0162374155095,19
1996-03-27,1716.3627666488267,13
1996-03-28,1691.549374703999,19
1996-03-29,1656.6217611473414,19
1996-04-01,1637.2026585887625,21
1996-04-02,1627.7821662787892,21
1996-04-03,1620.4820104067837,21
1996-04-04,1615.0051745551611,21
1996-04-05,1598.7974999032767,13
1996-04-08,1532.9904398002827,19
1996-04-09,1477.0377630750058,5
1996-04-10,1439.603249418893,5
1996-04-11,1379.683933275739,5
1996-04-12,1256.2246958039866,1
1996-04-15,1211.0581688554155,3
1996-04-16,1202.5417838526819,3
1996-04-17,1198.640274702969,5
1996-04-18,1198.3525026940042,5
1996-04-19,1219.9142210796913,5
1996-04-22,1210.2084588203272,5
1996-04-23,1228.7384450107827,5
1996-04-24,1241.0582929656152,5
1996-04-25,1255.0431625005374,5
1996-04-26,1261.5096591151314,15
1996-04-29,1266.7092921270275,15
1996-04-30,1266.9521129080392,15
1996-05-01,1259.674429926464,15
1996-05-02,1252.554221606536,5
1996-05-03,1242.5689435699694,5
1996-05-06,1221.5349781136456,5
1996-05-07,1212.113217946786,5
1996-05-08,1222.1310940759506,5
1996-05-09,1282.820716015581,5
1996-05-10,1355.5077271274474,21
1996-05-13,1414.7224540623963,23
1996-05-14,1459.2051078686477,21
1996-05-15,1490.4092681322809,21
1996-05-16,1537.4588852385386,21
1996-05-17,1573.7948364044335,21
1996-05-20,1605.5488317935672,5
1996-05-21,1594.6734766576396,5
1996-05-22,1602.606010955795,5
1996-05-23,1616.4765076484418,1
1996-05-24,1601.171221357811,3
1996-05-27,1619.088099863522,3
1996-05-28,1619.5650876585544,5
1996-05-29,1620.134960855671,5
1996-05-30,1631.1875642553973,5
1996-05-31,1619.2931736394094,5
1996-06-03,1537.0735178113641,5
1996-06-04,1485.0558948064906,5
1996-06-05,1446.8223960093223,5
1996-06-06,1416.0511955411039,5
1996-06-07,1404.8202314142018,5
1996-06-10,1410.989579983007,5
1996-06-11,1408.0460198212918,5
1996-06-12,1420.9949109347074,21
1996-06-13,1421.9255678499173,5
1996-06-14,1448.7549263748779,5
1996-06-17,1466.7836864347469,21
1996-06-18,1466.28374983174,21
1996-06-19,1479.8070473143332,21
1996-06-20,1476.7338552453887,21
1996-06-21,1487.2616709752879,21
1996-06-24,1509.6200048828405,21
1996-06-25,1521.2192101226683,21
1996-06-26,1532.062489000537,21
1996-06-27,1537.8616359557725,21
1996-06-28,1543.060493999938,21
1996-07-01,1512.417826483136,21
1996-07-02,1492.9670817241138,21
1996-07-03,1474.3575100503867,21
1996-07-04,1465.755477890424,21
1996-07-05,1448.1888596983574,21
1996-07-08,1438.1944032807714,21
1996-07-09,1423.9499560913582,21
1996-07-10,1407.98496394471,21
1996-07-11,1401.865797837644,21
1996-07-12,1396.82139387895,21
1996-07-15,1397.5296289786056,21
1996-07-16,1394.22976816526,31
1996-07-17,1386.3900875948761,31
1996-07-18,1369.4559779315916,31
1996-07-19,1355.7555655972374,31
1996-07-22,1343.4955880360747,31
1996-07-23,1339.7460639831725,31
1996-07-24,1332.731881239727,31
1996-07-25,1322.6111005394116,31
1996-07-26,1361.0958548578108,31
1996-07-29,1432.5486882949313,31
1996-07-30,1484.593341342115,21
1996-07-31,1520.2925482967073,21
1996-08-01,1581.3897232090278,21
1996-08-02,1648.4774044528422,21
1996-08-05,1679.260489891198,1
1996-08-06,1711.8408612708658,21
1996-08-07,1725.2320666365238,21
1996-08-08,1755.4226923462745,21
1996-08-09,1761.4348792524313,21
1996-08-12,1671.8220298096307,1
1996-08-13,1650.6461970997473,1
1996-08-14,1615.216236171616,1
1996-08-15,1608.0726493808888,21
1996-08-16,1481.726929943797,1
1996-08-19,1400.2504814380104,1
1996-08-20,1355.0227107831881,1
1996-08-21,1402.8465934926562,1
1996-08-22,1393.7088679326416,1
1996-08-23,1348.7813635883397,1
1996-08-26,1315.1597474056468,21
1996-08-27,1290.467473717393,21
1996-08-28,1271.1256703746901,21
1996-08-29,1247.654078153249,21
1996-08-30,1200.3626833769422,1
1996-09-02,1194.3640294049937,1
1996-09-03,1135.9009188884284,1
1996-09-04,1135.1097022788836,1
1996-09-05,1078.3697775187659,1
1996-09-06,1112.280671485003,1
1996-09-09,1104.1565519306084,1
1996-09-10,1099.564767291214,1
1996-09-11,1118.6637507576115,1
1996-09-12,1120.065260597954,1
1996-09-13,1083.3425262716416,1
1996-09-16,1080.0305228177556,1
1996-09-17,1022.4559138571492,1
1996-09-18,1034.2798826293629,1
1996-09-19,1044.1526804356802,1
1996-09-20,1070.5885167534814,1
1996-09-23,1087.2106547949681,1
1996-09-24,1075.9282120820098,1
1996-09-25,1080.0079248246675,1
1996-09-26,1086.4684061631035,1
1996-09-27,1177.156216741271,1
1996-09-30,1203.4894067320943,1
1996-10-01,1213.3850455091101,1
1996-10-02,1219.0988787898557,1
1996-10-03,1232.9423113033097,1
1996-10-04,1206.1740118835742,1
1996-10-07,1202.740950166428,1
1996-10-08,1194.6729657085914,1
1996-10-09,1231.581142745189,7
1996-10-10,1231.0527923872285,7
1996-10-11,1199.3026249233615,1
1996-10-14,1133.1500613169553,1
1996-10-15,1121.4822270601708,1
1996-10-16,1139.6979191918765,3
1996-10-17,1155.2434780961366,3
1996-10-18,1153.3751434416693,1
1996-10-21,1155.2382141795651,3
1996-10-22,1157.120829612884,5
1996-10-23,1155.2795956729478,5
1996-10-24,1121.9585161551056,9
1996-10-25,1061.7254532320044,9
1996-10-28,1009.526023433777,9
1996-10-29,988.0496690979369,9
1996-10-30,988.2963141273149,9
1996-10-31,970.6112698669822,9
1996-11-01,979.0684393745989,9
1996-11-04,952.0432997539207,9
1996-11-05,918.2112509494003,9
1996-11-06,894.5718085219319,9
1996-11-07,881.25385555898,9
1996-11-08,900.9609991880617,9
1996-11-11,914.9718561140184,9
1996-11-12,927.6554445502691,9
1996-11-13,925.4295714691576,9
1996-11-14,926.6942293102974,9
1996-11-15,936.1754293662926,9
1996-11-18,942.4874751317245,9
1996-11-19,897.1160554318427,9
1996-11-20,891.7166170968605,9
1996-11-21,883.2860309984868,9
1996-11-22,889.8995409714498,9
1996-11-25,890.8063362912907,9
1996-11-26,899.1572361151499,9
1996-11-27,910.9988523019007,9
1996-11-28,930.9080511332679,9
1996-11-29,923.6405059384473,9
1996-12-02,913.6373969275957,9
1996-12-03,894.0584908710022,9
1996-12-04,881.0708585128004,9
1996-12-05,895.2376601301618,9
1996-12-06,887.7103191051045,9
1996-12-09,881.7047969638705,9
1996-12-10,887.5955763007712,9
1996-12-11,915.1519783886171,9
1996-12-12,943.3783224866261,9
1996-12-13,963.279245360418,9
1996-12-16,962.5635364760243,9
1996-12-17,909.9335729852291,1
1996-12-18,911.0786275025181,1
1996-12-19,884.8142030272672,1
1996-12-20,853.7834018829006,1
1996-12-23,864.0932726094774,1
1996-12-24,873.5299388518391,1
1996-12-25,882.2233756359136,9
1996-12-26,891.0652475328588,9
1996-12-27,907.0879289773645,9
1996-12-30,926.6743134729534,9
1996-12-31,944.0962510925395,9
1997-01-01,966.299727994261,9
1997-01-02,985.7245699033011,9
1997-01-03,1005.7931047223357,9
1997-01-06,1006.9694196479071,9
1997-01-07,942.19322390121,1
1997-01-08,922.0828043640585,3
1997-01-09,898.2240871356939,3
1997-01-10,584.1394484908178,1
1997-01-13,561.1536848640453,1
1997-01-14,564.7540658446885,1
1997-01-15,575.2975312397093,3
1997-01-16,516.6394321585146,1
1997-01-17,426.2651068943023,1
1997-01-20,415.2224433531561,1
1997-01-21,382.1982137248478,1
1997-01-22,390.3285987197316,1
1997-01-23,342.0076935667647,1
1997-01-24,328.1681388949216,1
1997-01-27,308.53691454358454,3
1997-01-28,261.8156664225825,1
1997-01-29,247.68372716970222,3
1997-01-30,241.27050192224198,5
1997-01-31,231.26481248285992,5
1997-02-03,218.3643920014806,5
1997-02-04,203.74737100442798,5
1997-02-05,209.7745560975597,11
1997-02-06,215.37354143353738,15
1997-02-07,218.46592979760578,13
1997-02-10,220.89362204659764,13
1997-02-11,222.6146512667045,13
1997-02-12,224.57152421590843,13
1997-02-13,227.58718562055282,13
1997-02-14,228.82210433436617,15
1997-02-17,230.1929179586271,13
1997-02-18,231.96539232882975,13
1997-02-19,235.82459552026253,13
1997-02-20,238.30737876782783,13
1997-02-21,239.93878760312163,13
1997-02-24,243.31982556789904,13
1997-02-25,252.0724131792324,13
1997-02-26,256.95167029384675,17
1997-02-27,263.1043188974427,17
1997-02-28,267.4394830297448,21
1997-03-03,270.7453573298429,21
1997-03-04,267.598578076847,13
1997-03-05,262.68822370427205,13
1997-03-06,253.84491860854143,15
1997-03-07,252.7757062823695,15
1997-03-10,255.77140721358575,15
1997-03-11,257.9253893290289,15
1997-03-12,260.5991115125901,15
1997-03-13,263.9019146304872,15
1997-03-14,266.46182030353833,15
1997-03-17,271.2040341889381,15
1997-03-18,276.3722084357876,15
1997-03-19,280.0798901214046,15
1997-03-20,285.38896580149816,15
1997-03-21,291.1108153700906,15
1997-03-24,298.02436884874766,15
1997-03-25,304.13548372157334,15
1997-03-26,311.48386183191974,7
1997-03-27,313.29256963903237,7
1997-03-28,316.9440653221164,7
1997-03-31,321.6947755771152,7
1997-04-01,322.5478136315927,5
1997-04-02,329.3806487723462,5
1997-04-03,335.67690509785814,7
1997-04-04,336.68275504111404,5
1997-04-07,339.75982374059186,5
1997-04-08,343.25382010315263,5
1997-04-09,347.90052739500356,5
1997-04-10,349.23412143731,7
1997-04-11,352.75915226562313,7
1997-04-14,355.521103152223,7
1997-04-15,359.40451022068436,7
1997-04-16,363.52627789919376,7
1997-04-17,369.05399266483965,7
1997-04-18,375.38598931531106,7
1997-04-21,380.3724040161142,7
1997-04-22,387.16535302603154,5
1997-04-23,393.7219299719967,5
1997-04-24,400.88949384527467,5
1997-04-25,407.8869871185486,7
1997-04-28,419.7711425907733,5
