,results,K
2009-01-30,1782.946512383432,13
2009-02-02,1803.6343191233632,13
2009-02-03,1828.00265098809,13
2009-02-04,1857.193343600156,13
2009-02-05,1901.0496415114458,13
2009-02-06,1979.6604975204311,13
2009-02-09,2034.555513535078,13
2009-02-10,2097.8733724969925,13
2009-02-11,2148.6076595908116,13
2009-02-12,2180.6204363398997,13
2009-02-13,2185.0226731163134,13
2009-02-16,2137.0580377524393,13
2009-02-17,2091.7166066781347,15
2009-02-18,2052.134656803535,15
2009-02-19,2001.6695821175283,9
2009-02-20,1897.1824562483725,1
2009-02-23,1878.281680227408,1
2009-02-24,1906.3008362710164,1
2009-02-25,1896.679751878795,3
2009-02-26,1984.8751057765353,7
2009-02-27,1946.6904468829846,5
2009-03-02,1968.823639487011,5
2009-03-03,1973.47592280189,1
2009-03-04,1858.434094707561,1
2009-03-05,1835.9665156724006,1
2009-03-06,1836.746677928493,1
2009-03-09,1848.445814220591,1
2009-03-10,1864.9078881871942,1
2009-03-11,1901.5579271246513,1
2009-03-12,1933.2715849364047,1
2009-03-13,1917.6455371504444,1
2009-03-16,1941.4275118163125,1
2009-03-17,1909.0010181675373,1
2009-03-18,1880.3517830671385,1
2009-03-19,1855.143449581922,1
2009-03-20,1842.8732839890824,1
2009-03-23,1848.8326075415132,1
2009-03-24,1851.4750939508374,1
2009-03-25,1856.2367248677338,1
2009-03-26,1880.3170082631386,1
2009-03-27,2061.3426981784078,1
2009-03-30,2073.1493580174397,1
2009-03-31,2093.7934462930357,1
2009-04-01,2312.926155471986,1
2009-04-02,2568.769482766491,5
2009-04-03,2748.3349551673614,57
2009-04-06,2814.289054494719,57
2009-04-07,2869.2356866374275,59
2009-04-08,2926.293608834086,57
2009-04-09,2977.3132692110903,59
2009-04-10,3029.32558631149,59
2009-04-13,3095.0134911694986,59
2009-04-14,3160.500337351299,59
2009-04-15,3306.2076968640285,59
2009-04-16,3477.995521788782,59
2009-04-17,3628.613692583915,59
2009-04-20,3747.4604609786816,59
2009-04-21,3913.4152044316475,59
2009-04-22,4038.004183861602,59
2009-04-23,4158.094696522868,59
2009-04-24,4257.782648584893,59
2009-04-27,4344.760385500809,59
2009-04-28,4314.241402841247,59
2009-04-29,4262.095008776795,59
2009-04-30,4075.1078826775,1
2009-05-01,4158.288283589086,59
2009-05-04,4136.47816681393,59
2009-05-05,3848.450173781153,1
2009-05-06,2851.6182347476574,1
2009-05-07,2705.8074021803664,1
2009-05-08,2807.911329706192,1
2009-05-11,2786.4554837017217,5
2009-05-12,2506.176424740691,1
2009-05-13,1954.0674588371487,1
2009-05-14,1885.3057663978107,1
2009-05-15,1692.4778576127314,1
2009-05-18,1665.3589735254984,1
2009-05-19,1753.4913518783578,1
2009-05-20,1732.6479395498816,1
2009-05-21,1998.3737238410406,9
2009-05-22,2057.1685176416663,9
2009-05-25,2094.330963715157,9
2009-05-26,2136.372972561307,9
2009-05-27,2184.3710006130855,1
2009-05-28,1922.5579056308088,1
2009-05-29,1969.5890991275432,1
2009-06-01,2007.866235296226,1
2009-06-02,2111.53920065868,1
2009-06-03,2248.074528066664,1
2009-06-04,2396.839326446062,1
2009-06-05,2468.8932488810933,1
2009-06-08,2643.809507340845,1
2009-06-09,3162.8573066846348,11
2009-06-10,3440.286224091197,15
2009-06-11,3621.4859403331866,13
2009-06-12,3734.327476495595,15
2009-06-15,3742.6210012746687,29
2009-06-16,3652.1688869792456,1
2009-06-17,3671.7780425417677,1
2009-06-18,3834.0409377596593,1
2009-06-19,3929.042104906938,1
2009-06-22,3902.6505151402853,1
2009-06-23,3810.2130094581007,1
2009-06-24,3897.4723015829345,1
2009-06-25,3805.8896541795193,1
2009-06-26,3640.3304916324914,1
2009-06-29,2796.224835278805,1
2009-06-30,3429.03432071541,1
2009-07-01,3307.001545172545,1
2009-07-02,3442.530902057998,1
2009-07-03,3489.215356923854,1
2009-07-06,3614.120271737661,1
2009-07-07,3887.0390747620504,1
2009-07-08,3887.910174672705,1
2009-07-09,3849.37202268063,1
2009-07-10,3801.2245833320353,1
2009-07-13,3769.465587966034,1
2009-07-14,3452.4169951927065,1
2009-07-15,3458.0292654595005,1
2009-07-16,3395.8760523541036,1
2009-07-17,3651.8458557481736,1
2009-07-20,3702.7790967337637,1
2009-07-21,3639.1567891392206,1
2009-07-22,3546.606781937207,1
2009-07-23,2850.0167479386146,1
2009-07-24,2838.0032291307816,1
2009-07-27,2530.8862261844547,1
2009-07-28,2476.683321607002,1
2009-07-29,2537.6713546115566,1
2009-07-30,2504.704210473806,1
2009-07-31,2450.664731882606,1
2009-08-03,2279.723096145126,1
2009-08-04,2085.545645505845,1
2009-08-05,1661.4126276940024,1
2009-08-06,1682.1729797875118,1
2009-08-07,1702.3742874422521,1
2009-08-10,1665.8144404124494,1
2009-08-11,1710.06299932548,1
2009-08-12,1542.0683709110986,1
2009-08-13,1546.5421861544066,1
2009-08-14,1560.9013960544075,1
2009-08-17,1621.8360515784339,1
2009-08-18,1610.2165449387198,1
2009-08-19,1628.8394228492302,1
2009-08-20,1608.1994684960553,1
2009-08-21,1618.9301160247774,1
2009-08-24,1642.4519741677911,1
2009-08-25,1773.4526318200653,1
2009-08-26,2060.2383501657555,1
2009-08-27,2097.6124069459242,1
2009-08-28,2048.8979868277243,1
2009-08-31,2169.3631446663317,1
2009-09-01,2372.636502669535,1
2009-09-02,2253.8534437968424,1
2009-09-03,2186.0001695526785,1
2009-09-04,2156.0127981774403,1
2009-09-07,2141.455031269385,1
2009-09-08,2078.783661942213,1
2009-09-09,1766.3279247035803,1
2009-09-10,1746.7749347447116,1
2009-09-11,1774.3924300543472,1
2009-09-14,1750.214690296913,1
2009-09-15,1745.1019218124077,1
