Dates,Actual Price,Predicted Price
#NAME?,8300,
1/2/1990,7860,
1/3/1990,7810,
1/4/1990,8100,
1/5/1990,8025,
1/8/1990,7825,
1/9/1990,7610,
1/10/1990,7700,
1/11/1990,7700,
1/12/1990,7575,
1/15/1990,7500,
1/16/1990,7210,
1/17/1990,7200,
1/18/1990,6850,
1/19/1990,6450,
1/22/1990,6275,
1/23/1990,5900,
1/24/1990,6120,
1/25/1990,6775,
1/26/1990,6425,
1/29/1990,6450,
1/30/1990,6150,
1/31/1990,6000,
2/1/1990,6430,
2/2/1990,6460,
2/5/1990,6650,
2/6/1990,6150,
2/7/1990,6135,
2/8/1990,6225,
2/9/1990,6325,
2/12/1990,6450,
2/13/1990,6850,
2/14/1990,6950,
2/15/1990,7225,
2/16/1990,7680,
2/19/1990,7575,
2/20/1990,7325,
2/21/1990,7230,
2/22/1990,7240,
2/23/1990,7700,
2/26/1990,7900,
2/27/1990,7725,
2/28/1990,7540,
3/1/1990,8125,
3/2/1990,8390,
3/5/1990,8825,
3/6/1990,8775,
3/7/1990,8740,
3/8/1990,8975,
3/9/1990,9200,
3/12/1990,9175,
3/13/1990,8900,
3/14/1990,9110,
3/15/1990,9550,
3/16/1990,9700,
3/19/1990,10125,
3/20/1990,10160,
3/21/1990,10275,
3/22/1990,10000,
3/23/1990,9450,
3/26/1990,9350,
3/27/1990,9350,
3/28/1990,9420,
3/29/1990,9410,
3/30/1990,9200,
4/2/1990,9100,
4/3/1990,9000,
4/4/1990,9025,
4/5/1990,9010,
4/6/1990,9000,
4/9/1990,8850,
4/10/1990,8825,
4/11/1990,8790,
4/12/1990,8750,
4/13/1990,8750,
4/16/1990,8750,
4/17/1990,8675,
4/18/1990,8660,
4/19/1990,8650,
4/20/1990,8800,
4/23/1990,8825,
4/24/1990,9110,
4/25/1990,9450,
4/26/1990,9300,
4/27/1990,9150,
4/30/1990,9125,
5/1/1990,9300,
5/2/1990,9500,
5/3/1990,9400,
5/4/1990,9200,
5/7/1990,9200,
5/8/1990,8950,
5/9/1990,8900,
5/10/1990,9075,
5/11/1990,8900,
5/14/1990,8650,
5/15/1990,8305,
5/16/1990,8510,
5/17/1990,8550,
5/18/1990,8575,
5/21/1990,8325,
5/22/1990,8380,
5/23/1990,8325,
5/24/1990,8375,
5/25/1990,8460,
5/28/1990,8460,
5/29/1990,8475,
5/30/1990,8450,
5/31/1990,8310,
6/1/1990,8320,
6/4/1990,8200,
6/5/1990,8165,
6/6/1990,8040,
6/7/1990,7855,
6/8/1990,7970,
6/11/1990,8030,
6/12/1990,8230,
6/13/1990,8350,
6/14/1990,8415,
6/15/1990,8600,
6/18/1990,8650,
6/19/1990,8540,
6/20/1990,8550,
6/21/1990,8710,
6/22/1990,8775,
6/25/1990,8910,
6/26/1990,8720,
6/27/1990,8575,
6/28/1990,8690,
6/29/1990,8710,
7/2/1990,8600,
7/3/1990,8625,
7/4/1990,8600,
7/5/1990,8580,
7/6/1990,8610,
7/9/1990,8660,
7/10/1990,8825,
7/11/1990,8990,
7/12/1990,9080,
7/13/1990,9825,
7/16/1990,10050,
7/17/1990,9430,
7/18/1990,9310,
7/19/1990,9675,
7/20/1990,9980,
7/23/1990,9925,
7/24/1990,10050,
