,Actual Price,Predicted Price
1990-01-02,7860.0,
1990-01-03,7810.0,
1990-01-04,8100.0,
1990-01-05,8025.0,
1990-01-08,7825.0,
1990-01-09,7610.0,
1990-01-10,7700.0,
1990-01-11,7700.0,
1990-01-12,7575.0,
1990-01-15,7500.0,
1990-01-16,7210.0,
1990-01-17,7200.0,
1990-01-18,6850.0,
1990-01-19,6450.0,
1990-01-22,6275.0,
1990-01-23,5900.0,
1990-01-24,6120.0,
1990-01-25,6775.0,
1990-01-26,6425.0,
1990-01-29,6450.0,
1990-01-30,6150.0,
1990-01-31,6000.0,
1990-02-01,6430.0,
1990-02-02,6460.0,
1990-02-05,6650.0,
1990-02-06,6150.0,
1990-02-07,6135.0,
1990-02-08,6225.0,
1990-02-09,6325.0,
1990-02-12,6450.0,
1990-02-13,6850.0,
1990-02-14,6950.0,
1990-02-15,7225.0,
1990-02-16,7680.0,
1990-02-19,7575.0,
1990-02-20,7325.0,
1990-02-21,7230.0,
1990-02-22,7240.0,
1990-02-23,7700.0,
1990-02-26,7900.0,
1990-02-27,7725.0,
1990-02-28,7540.0,
1990-03-01,8125.0,
1990-03-02,8390.0,
1990-03-05,8825.0,
1990-03-06,8775.0,
1990-03-07,8740.0,
1990-03-08,8975.0,
1990-03-09,9200.0,
1990-03-12,9175.0,
1990-03-13,8900.0,
1990-03-14,9110.0,
1990-03-15,9550.0,
1990-03-16,9700.0,
1990-03-19,10125.0,
1990-03-20,10160.0,
1990-03-21,10275.0,
1990-03-22,10000.0,
1990-03-23,9450.0,
1990-03-26,9350.0,
1990-03-27,9350.0,
1990-03-28,9420.0,
1990-03-29,9410.0,
1990-03-30,9200.0,
1990-04-02,9100.0,
1990-04-03,9000.0,
1990-04-04,9025.0,
1990-04-05,9010.0,
1990-04-06,9000.0,
1990-04-09,8850.0,
1990-04-10,8825.0,
1990-04-11,8790.0,
1990-04-12,8750.0,
1990-04-13,8750.0,
1990-04-16,8750.0,
1990-04-17,8675.0,
1990-04-18,8660.0,
1990-04-19,8650.0,
1990-04-20,8800.0,
1990-04-23,8825.0,
1990-04-24,9110.0,
1990-04-25,9450.0,
1990-04-26,9300.0,
1990-04-27,9150.0,
1990-04-30,9125.0,
1990-05-01,9300.0,
1990-05-02,9500.0,
1990-05-03,9400.0,
1990-05-04,9200.0,
1990-05-07,9200.0,
1990-05-08,8950.0,
1990-05-09,8900.0,
