,results,K
2010-11-09,2174.018067324768,1
2010-11-10,2122.2495783017866,1
2010-11-11,2091.451808289173,1
2010-11-12,2092.200250484263,1
2010-11-15,2091.098443123804,1
2010-11-16,2095.8549075411283,1
2010-11-17,2071.8877645439125,29
2010-11-18,2038.8135704783454,29
2010-11-19,1986.2262591172605,29
2010-11-22,1967.0052368783145,29
2010-11-23,1942.7331496501686,29
2010-11-24,1910.1433788276506,29
2010-11-25,1868.4295935235912,31
2010-11-26,1842.783463696701,59
2010-11-29,1822.6645061531797,59
2010-11-30,1800.7904283732623,49
2010-12-01,1804.3122905574785,49
2010-12-02,1792.9987515608912,49
2010-12-03,1801.4381967594359,51
2010-12-06,1827.8865335802873,49
2010-12-07,1866.5678506171982,49
2010-12-08,1882.5491759170911,49
2010-12-09,1908.0602470006122,49
2010-12-10,1944.3161508106177,41
2010-12-13,1980.5734441840161,29
2010-12-14,2007.8323810290112,29
2010-12-15,1983.6617520679906,29
2010-12-16,1991.8840186784503,29
2010-12-17,2001.096945424296,1
2010-12-20,2004.7886985705527,1
2010-12-21,2028.4537679732498,1
2010-12-22,2041.1755527686514,1
2010-12-23,2079.5825729264275,1
2010-12-24,2057.11632557159,1
2010-12-27,2043.798651096474,1
2010-12-28,2052.057341839552,1
2010-12-29,2040.2583060082732,1
2010-12-30,2060.5136280927545,1
2010-12-31,2086.1905143782915,1
2011-01-03,2134.2253363093205,1
2011-01-04,2169.2234049111007,1
2011-01-05,2156.112849230499,1
2011-01-06,2148.916986152932,1
2011-01-07,2221.8929425974934,1
2011-01-10,2258.143534528478,1
2011-01-11,2287.6030208744683,1
2011-01-12,2595.552067501289,1
2011-01-13,2732.968815240104,1
2011-01-14,3026.189941542985,29
2011-01-17,3107.561024861969,29
2011-01-18,3141.3036462295986,1
2011-01-19,3227.9159227737514,1
2011-01-20,3370.6415758512762,59
2011-01-21,3522.2884311117236,59
2011-01-24,3631.3166953519794,59
2011-01-25,3750.9274486847467,59
2011-01-26,3929.586698317335,59
2011-01-27,4129.324173092518,59
2011-01-28,4308.50750257232,57
2011-01-31,4465.298918882709,59
2011-02-01,4570.893572734452,59
2011-02-02,4690.108975386688,59
2011-02-03,4774.636272497482,59
2011-02-04,4874.811652513809,59
2011-02-07,4971.229628835617,59
2011-02-08,5119.118292649423,59
2011-02-09,5210.529734322291,57
2011-02-10,5339.951905240349,59
2011-02-11,5354.453888518857,59
2011-02-14,5371.9666563846295,59
2011-02-15,5311.9116924241935,51
2011-02-16,5203.536564501145,51
2011-02-17,4801.097846810626,1
2011-02-18,4724.519176637994,1
2011-02-21,4798.9354226655405,59
2011-02-22,4714.318890749798,1
2011-02-23,4699.266310262185,59
2011-02-24,4602.7408847931665,1
2011-02-25,4661.581788568226,59
2011-02-28,4659.613651657613,59
2011-03-01,4589.662428319213,59
2011-03-02,4451.626046916148,57
2011-03-03,4338.402106161859,59
2011-03-04,4210.709922821367,59
2011-03-07,4090.2820912726547,59
2011-03-08,3927.4627469017296,59
2011-03-09,3717.423073559854,1
2011-03-10,3695.1116305471146,57
2011-03-11,3616.4614969569648,57
2011-03-14,3556.346494597494,57
2011-03-15,3526.754020766348,57
2011-03-16,3506.3041423107993,57
2011-03-17,3464.444540567952,59
2011-03-18,3380.0430393019087,57
2011-03-21,3306.2898079552538,57
2011-03-22,3259.315517478116,57
2011-03-23,3186.4563050700217,59
2011-03-24,3118.7687323765495,59
2011-03-25,3013.1317199874684,59
2011-03-28,2934.003786213376,59
2011-03-29,2820.1864100881476,59
2011-03-30,2694.1654120336416,59
2011-03-31,2543.406726778371,59
2011-04-01,2496.6492986246803,59
2011-04-04,2487.033587708105,59
2011-04-05,2517.912382003071,59
2011-04-06,2489.4718248944114,55
2011-04-07,2517.801971509139,59
2011-04-08,2495.1987807906626,59
2011-04-11,2485.6794943551376,59
2011-04-12,2451.3666183377704,59
2011-04-13,2404.8431201303097,59
2011-04-14,2451.818297796169,59
2011-04-15,2445.3983790814855,59
2011-04-18,2350.9308391534983,59
2011-04-19,2346.668803009781,59
2011-04-20,2279.0672748098264,59
2011-04-21,2201.9716514960032,59
2011-04-22,2202.760067864649,57
2011-04-25,2135.349376392188,57
2011-04-26,2086.0971543065216,57
2011-04-27,2057.1612076484375,57
2011-04-28,2071.818067315081,59
2011-04-29,2106.5088334398565,59
2011-05-02,2120.482191537455,59
2011-05-03,2104.3013630975756,59
2011-05-04,2017.3109250301304,59
2011-05-05,1967.446158420394,59
2011-05-06,1936.3199702030806,57
2011-05-09,1930.3772735406626,57
2011-05-10,1908.789550056511,57
2011-05-11,1869.793250950454,57
2011-05-12,1811.1376227227458,59
2011-05-13,1767.5908477948456,57
2011-05-16,1714.2530430570048,57
2011-05-17,1655.7093291568444,57
2011-05-18,1619.622930310084,57
2011-05-19,1606.7038102122356,57
2011-05-20,1573.328392055013,59
2011-05-23,1567.6527658115394,59
2011-05-24,1551.8651506316548,59
2011-05-25,1529.614677845168,59
2011-05-26,1525.0461072012688,59
2011-05-27,1537.0281867789388,59
2011-05-30,1540.2389556818744,59
2011-05-31,1523.1505161505686,59
2011-06-01,1501.9118353980455,59
2011-06-02,1489.3764931003986,57
2011-06-03,1462.9014983193217,59
2011-06-06,1448.959642800193,59
2011-06-07,1443.8018164938185,59
2011-06-08,1440.2579196269996,59
2011-06-09,1450.994994804074,59
2011-06-10,1470.0402457448663,59
