,results,K
2010-11-09,2181.598107643594,27
2010-11-10,2115.4424595517826,27
2010-11-11,2080.3915115940395,27
2010-11-12,2037.370125483634,27
2010-11-15,1982.4841966430615,27
2010-11-16,1922.0544670216295,27
2010-11-17,1911.598478187182,27
2010-11-18,1883.8528675952657,27
2010-11-19,1832.6973495882582,27
2010-11-22,1810.470829540244,27
2010-11-23,1784.7927057938598,27
2010-11-24,1748.783985387754,27
2010-11-25,1721.3729335089163,27
2010-11-26,1697.8550927432946,27
2010-11-29,1691.0255055686655,27
2010-11-30,1669.4763380696538,27
2010-12-01,1674.6726980343244,27
2010-12-02,1668.3156629584037,27
2010-12-03,1667.8983826687013,27
2010-12-06,1677.1797765512717,27
2010-12-07,1696.0228165511644,27
2010-12-08,1717.9875070225235,27
2010-12-09,1730.3741468337369,27
2010-12-10,1753.7403166055615,27
2010-12-13,1773.7042724798005,29
2010-12-14,1780.7691546700394,27
2010-12-15,1760.6654928625123,27
2010-12-16,1765.034176318108,29
2010-12-17,1786.8650204343664,29
2010-12-20,1815.532439112568,29
2010-12-21,1861.273934664011,29
2010-12-22,1926.7819395273282,29
2010-12-23,1973.5107688725827,29
2010-12-24,2005.8479203707086,27
2010-12-27,2025.848165111762,29
2010-12-28,2046.6403978424757,29
2010-12-29,2031.4915153277632,29
2010-12-30,2037.3958566864799,29
2010-12-31,2078.331389785793,27
2011-01-03,2090.253876489294,29
2011-01-04,2122.661524804717,27
2011-01-05,2144.513579984733,27
2011-01-06,2192.958642986018,29
2011-01-07,2270.25238646025,27
2011-01-10,2340.2051385165505,27
2011-01-11,2410.4655023026744,27
2011-01-12,2484.843945684108,27
2011-01-13,2613.4796959630835,27
2011-01-14,2736.4819854497696,29
2011-01-17,2840.077709914081,29
2011-01-18,2909.0202449694775,31
2011-01-19,2977.606874603194,31
2011-01-20,3076.120957572978,31
2011-01-21,3209.74909491787,57
2011-01-24,3302.2786781726636,57
2011-01-25,3429.9642690818073,57
2011-01-26,3597.334118101388,57
2011-01-27,3784.899917939326,57
2011-01-28,3973.4320848398534,57
2011-01-31,4105.449941499944,57
2011-02-01,4209.825608350523,57
2011-02-02,4323.067638014047,57
2011-02-03,4418.064582642913,57
2011-02-04,4506.07788103947,57
2011-02-07,4629.907992001678,57
2011-02-08,4755.26090335398,57
2011-02-09,4816.797361110525,57
2011-02-10,4939.299492369717,59
2011-02-11,4944.16792141057,59
2011-02-14,4957.388811977902,59
2011-02-15,4897.2590422238745,59
2011-02-16,4780.7902162766095,35
2011-02-17,4657.427895041887,37
2011-02-18,4503.890986093809,37
2011-02-21,4397.902688407578,57
2011-02-22,4367.185439019814,57
2011-02-23,4327.3742921167095,59
2011-02-24,4286.717274659048,59
2011-02-25,4288.7191335518755,57
2011-02-28,4290.516700176984,57
