,date,platts_hydroxide_prices
0,2018-09-14,18500.0
1,2018-09-21,18500.0
2,2018-09-28,18300.0
3,2018-10-05,18000.0
4,2018-10-19,18000.0
5,2018-10-26,18000.0
6,2018-11-02,17800.0
7,2018-11-16,16800.0
8,2018-11-23,16000.0
9,2018-12-07,16000.0
10,2018-12-21,16000.0
11,2018-12-28,16000.0
12,2019-01-04,16000.0
13,2019-01-11,16000.0
14,2019-01-18,15800.0
15,2019-01-25,15800.0
16,2019-02-01,15800.0
17,2019-02-08,15600.0
18,2019-07-12,13000.0
19,2019-07-19,12900.0
20,2019-07-26,12700.0
21,2019-08-02,12500.0
22,2019-08-08,12500.0
23,2019-08-16,12500.0
24,2019-08-23,11800.0
25,2019-08-30,11700.0
26,2019-09-13,11700.0
27,2019-09-20,11700.0
28,2019-09-27,11700.0
29,2019-10-04,11700.0
30,2019-10-11,11700.0
31,2019-10-18,11700.0
32,2019-10-25,11500.0
33,2019-11-01,11500.0
34,2019-11-08,11500.0
