,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2015-01,14849.190476190477,30749.47619047619,5830.535714285715,1814.7190476190476,,1236.2855109151728,278.71073457096327,121.56666964285716,1906.3986539047619,
2015-02,14573.8375,29155.375,5729.275,1817.8200000000002,,1213.3606992631512,264.26193189784084,119.45538375,1909.6562664,
2015-03,13755.5,27568.784090909092,5939.670454545455,1773.8636363636363,,1145.229120244704,249.88120180028884,123.84212897727275,1863.479227272727,
2015-04,12844.204545454546,28657.977272727272,6038.556818181818,1815.7386363636363,,1069.3582255704218,259.7535596223792,125.90390965909091,1907.4697522727272,
2015-05,13480.380952380952,30084.095238095237,6293.726190476191,1805.1785714285713,,1122.3237845704411,272.67977609678076,131.22419107142858,1896.3761928571428,
2015-06,12825.227272727272,30650.386363636364,5833.011363636364,1687.7272727272727,,1067.778252079811,277.8125924934864,121.61828693181819,1772.9912545454547,
2015-07,11413.097826086956,31579.869565217392,5456.75,1639.5,,950.2098784221809,286.2373521309938,113.77323750000001,1722.32754,
2015-08,10369.190476190477,29191.333333333332,5128.238095238095,1550.0119047619048,,863.2982361017328,264.5878552870784,106.9237642857143,1628.3185061904762,
2015-09,9937.545454545454,27714.30681818182,5217.25,1589.6022727272727,,827.3611601396422,251.20020788558642,108.7796625,1669.9089795454545,
2015-10,10316.829545454546,27499.045454545456,5216.090909090909,1516.4886363636363,,858.9388698379179,249.24909651015363,108.75549545454547,1593.101642272727,
2015-11,9244.333333333334,24413.70238095238,4799.9047619047615,1467.892857142857,,769.647030684608,221.28379950418721,100.07801428571427,1542.050804285714,
2015-12,8698.369565217392,24016.728260869564,4643.326086956522,1500.2282608695652,,724.1922230916523,217.68565858209203,96.81334891304348,1576.0197926086955,
2016-01,8520.27380952381,23173.428571428572,4482.928571428572,1482.0119047619048,,709.3646671604046,210.04205924232963,93.46906071428572,1556.883146190476,
2016-02,8298.5,22275.880952380954,4598.619047619048,1531.2619047619048,,690.900647330208,201.90676111017285,95.88120714285715,1608.6212561904763,
2016-03,8708.119565217392,22973.260869565216,4955.815217391304,1525.4673913043478,,725.0039699509003,208.22775558141078,103.3287472826087,1602.5340039130433,
2016-04,8878.857142857143,23000.5,4872.738095238095,1571.2261904761904,,739.2189127616367,208.4746488294624,101.59658928571429,1650.6045376190475,
2016-05,8681.59090909091,23439.363636363636,4712.511363636364,1555.8295454545455,,722.7952978185165,212.4524728974144,98.25586193181819,1634.4300540909092,
2016-06,8928.352272727272,23692.727272727272,4641.965909090909,1593.5068181818183,,743.339683656011,214.748940153216,96.78498920454547,1674.0107826363637,
