,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2015-01,14849.190476190477,30749.47619047619,5830.535714285715,1814.7190476190476,,11.698740981134671,2.6373880981536457,1.3277223046875,0.18631777171875002,
2015-02,14573.8375,29155.375,5729.275,1817.8200000000002,,11.481807731338867,2.5006617526064456,1.3046633414062498,0.18663614746875,
2015-03,13755.5,27568.784090909092,5939.670454545455,1773.8636363636363,,10.837091208710936,2.3645795652431643,1.3525743313210228,0.1821231338778409,
2015-04,12844.204545454546,28657.977272727272,6038.556818181818,1815.7386363636363,,10.119138974405184,2.457999860162109,1.3750926104403407,0.18642245321377837,
2015-05,13480.380952380952,30084.095238095237,6293.726190476191,1805.1785714285713,,10.620342256488092,2.5803182543072913,1.4331994609375,0.18533824804687501,
2015-06,12825.227272727272,30650.386363636364,5833.011363636364,1687.7272727272727,,10.104187977681107,2.628889145900391,1.3282860564630683,0.1732794865056818,
2015-07,11413.097826086956,31579.869565217392,5456.75,1639.5,,8.991660217021908,2.708611087116508,1.2426042890625,0.16832797734375002,
2015-08,10369.190476190477,29191.333333333332,5128.238095238095,1550.0119047619048,,8.169231431134673,2.5037459053177082,1.16779596875,0.159140206640625,
2015-09,9937.545454545454,27714.30681818182,5217.25,1589.6022727272727,,7.829165532450283,2.377061075709961,1.1880656484375,0.16320496209161933,
2015-10,10316.829545454546,27499.045454545456,5216.090909090909,1516.4886363636363,,8.127979555000886,2.358598069871094,1.1878017017045455,0.15569836219815342,
2015-11,9244.333333333334,24413.70238095238,4799.9047619047615,1467.892857142857,,7.283027407005208,2.093967640051432,1.0930283124999998,0.150709018359375,
2015-12,8698.369565217392,24016.728260869564,4643.326086956522,1500.2282608695652,,6.8528969754161,2.059919098440642,1.0573724123641304,0.1540289043648098,
2016-01,8520.27380952381,23173.428571428572,4482.928571428572,1482.0119047619048,,6.712586557885974,1.9875891325468753,1.020846890625,0.152158625390625,
2016-02,8298.5,22275.880952380954,4598.619047619048,1531.2619047619048,,6.537864955507811,1.9106063119830732,1.04719178125,0.15721513828125,
2016-03,8708.119565217392,22973.260869565216,4955.815217391304,1525.4673913043478,,6.860578385709069,1.970420712790421,1.128532046535326,0.15662021377377716,
2016-04,8878.857142857143,23000.5,4872.738095238095,1571.2261904761904,,6.995091758660714,1.9727570179023437,1.1096138281249999,0.16131828398437498,
2016-05,8681.59090909091,23439.363636363636,4712.511363636364,1555.8295454545455,,6.839678130095881,2.0103984308515623,1.073127197088068,0.15973750562855113,
2016-06,8928.352272727272,23692.727272727272,4641.965909090909,1593.5068181818183,,7.034085850972122,2.03212947546875,1.0570626743607954,0.16360584299360798,
2016-07,10262.857142857143,25085.52380952381,4864.9047619047615,1629.047619047619,,8.085458101785713,2.1515898846979167,1.1078300312499998,0.167254828125,
2016-08,10310.826086956522,26283.695652173912,4745.228260869565,1638.804347826087,,8.123249808549591,2.254357298938519,1.080577448029891,0.16825655451766305,
2016-09,10191.78409090909,26625.0,4722.204545454545,1592.3636363636363,,8.029464125089664,2.2836310341796873,1.0753345163352273,0.1634884721590909,
2016-10,10259.738095238095,28205.666666666668,4731.261904761905,1665.904761904762,,8.08300080081287,2.419205098205729,1.0773970468749998,0.1710389625,
2016-11,11128.90909090909,29258.409090909092,5450.931818181818,1737.1136363636363,,8.76776582978693,2.509499005097656,1.2412793799715909,0.1783499998934659,
2016-12,10916.045454545454,31692.886363636364,5641.75,1728.2386363636363,,8.600063991083095,2.7183045582246095,1.2847322578125,0.17743880087002842,
2017-01,9971.125,34630.09090909091,5744.034090909091,1787.2727272727273,,7.855620739228515,2.9702291198671875,1.3080242631392043,0.18349984943181818,
2017-02,10643.3,43005.0,5940.9125,1860.75,,8.38518504319531,3.6885465774609374,1.352857168359375,0.191043783984375,
2017-03,10204.66304347826,52765.217391304344,5824.630434782609,1901.4673913043478,,8.0396106398412,4.525682176902174,1.3263775618206521,0.19522425127377718,
2017-04,9617.875,55300.0,5681.5125,1918.6,,7.577317335537109,4.74309093671875,1.293786924609375,0.1969832615625,
2017-05,9160.934782608696,54983.94565217391,5606.054347826087,1914.141304347826,,7.217322946907268,4.7159828985146905,1.2766036885190217,0.1965254858865489,
2017-06,8931.761363636364,57449.454545454544,5719.761363636364,1885.2863636363638,,7.036771658766867,4.9274500393125,1.3024969080255682,0.1935629401065341,
2017-07,9491.392857142857,58548.90476190476,5985.119047619048,1902.9642857142858,,7.477670029483816,5.021750081934895,1.362923828125,0.195377937890625,
2017-08,10913.282608695652,58564.47826086957,6492.70652173913,2031.5869565217392,,8.597887319026833,5.02308582373947,1.4785110132472825,0.2085836676970109,
2017-09,11215.785714285714,60128.5,6577.166666666667,2096.4880952380954,,8.836210444045758,5.1572322493398435,1.497744171875,0.21524708789062502,
2017-10,11335.772727272728,59905.86363636364,6807.602272727273,2131.4886363636365,,8.930740646772017,5.1381366884257815,1.5502186800426137,0.21884060438565342,
2017-11,11972.0,62118.045454545456,6826.545454545455,2097.440909090909,,9.431984002812499,5.327875920472656,1.554532397727273,0.2153449135866477,
2017-12,11550.095238095239,72877.09523809524,6857.809523809524,2090.0714285714284,,9.099591840684523,6.25068155367448,1.5616518125,0.21458828671875,
2018-01,12857.945652173914,77202.71739130435,7071.989130434783,2211.7391304347825,11426.030160226202,10.129964726055535,6.621690943015455,1.6104245247961957,0.2270799476902174,8.209045651152215
2018-02,13595.875,80792.6,7006.525,2181.7875,11056.233766233769,10.711332735068359,6.929595819420313,1.59551711484375,0.22400480443359372,7.943364969642858
2018-03,13386.15909090909,87884.68181818182,6793.727272727273,2065.4886363636365,11830.434919634417,10.546110792228335,7.537884951324219,1.5470590823863635,0.21206436376065343,8.499590756054996
2018-04,13905.47619047619,90914.28571428571,6843.309523809524,2241.9285714285716,11507.627118644066,10.955247993656993,7.797734621875,1.5583498906249997,0.23017950703125,8.267669087923727
2018-05,14364.967391304348,90195.65217391304,6825.478260869565,2300.695652173913,12350.689655172413,11.317252141305195,7.736097293987771,1.5542893777173912,0.23621314157608697,8.87336842112069
2018-06,15105.654761904761,81188.09523809524,6965.857142857143,2237.6190476190477,11561.612903225807,11.900793022577194,6.963517517057292,1.5862562812499998,0.22973704687500002,8.30645524233871
2018-07,13793.863636363636,70647.72727272728,6250.75,2082.2386363636365,10983.712737127371,10.867315499094458,6.059468262695313,1.4234129765624999,0.21378409149502844,7.891262145630081
2018-08,13408.16304347826,63324.19565217391,6052.804347826087,2052.4347826086955,12075.419664268587,10.563446319177139,5.431327639653363,1.3783370400815216,0.21072412051630435,8.675600352068347
2018-09,12510.35,62210.325,6050.7625,2026.4625,12009.40251572327,9.856116026527342,5.335790753667773,1.3778720730468748,0.20805753814453126,8.628170249174527
2018-10,12314.91304347826,60626.782608695656,6219.586956521739,2029.858695652174,12430.06501182033,9.702143570173233,5.199970038222826,1.4163165672554348,0.2084062266134511,8.930395745323581
2018-11,11239.71590909091,54962.931818181816,6195.920454545455,1938.5113636363637,12646.302784993657,8.855063535808771,4.714180538197265,1.4109272610085226,0.1990275674893466,9.085752043757175
2018-12,10831.833333333334,55238.09523809524,6061.642857142857,1918.2261904761904,12572.22582263198,8.533718570091144,4.737781354166667,1.3803497343749997,0.19694488242187497,9.032531357552223
2019-01,11483.152173913044,41326.086956521736,5939.532608695652,1854.108695652174,12997.193345261583,9.046851620966372,3.5445459040421192,1.3525429412364127,0.1903619191915761,9.337849805394866
2019-02,12685.225,32100.0,6300.4875,1862.9875,12997.193345261583,9.993889013705077,2.7532227679687495,1.434739137890625,0.19127350880859376,9.337849805394866
2019-03,13026.27380952381,31333.333333333332,6439.464285714285,1871.2142857142858,12997.193345261583,10.262579868667222,2.687465630208333,1.4663867578124996,0.19211815546875,9.337849805394866
2019-04,12755.988636363636,33636.36363636364,6440.397727272727,1846.1363636363637,12997.193345261583,10.04963922136985,2.884996953125,1.4665993199573861,0.18954339737215908,9.337849805394866
2019-05,12035.91304347826,34152.17391304348,6023.358695652174,1780.304347826087,12997.193345261583,9.482337060251357,2.9292380932404893,1.3716317129755433,0.18278440373641305,9.337849805394866
2019-06,11943.9375,28809.0,5882.225,1755.95,12997.193345261583,9.409875328315428,2.4709531066171877,1.3394929242187499,0.180283935234375,9.337849805394866
2019-07,13546.304347826086,27340.32608695652,5941.195652173913,1796.9891304347825,12786.713899959092,10.672279143495242,2.3449846811931043,1.3529216474184782,0.1844974355808424,9.186630584817983
2019-08,14578.0,25593.0,5875.0,1753.0,12786.713899959092,11.485087102656248,2.1951162087421876,1.33784765625,0.1799810578125,9.186630584817983
