,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2015-01,14849.190476190477,30749.47619047619,5830.535714285715,1814.7190476190476,,11.077154734537496,3.039603393541325,1.997126026272578,0.24822019157088124,
2015-02,14573.8375,29155.375,5729.275,1817.8200000000002,,10.871747744252874,2.8820255747126438,1.9624413218390806,0.2486443448275863,
2015-03,13755.5,27568.784090909092,5939.670454545455,1773.8636363636363,,10.261286781609197,2.7251901515151515,2.034507810867294,0.24263192267502615,
2015-04,12844.204545454546,28657.977272727272,6038.556818181818,1815.7386363636363,,9.581481321839082,2.8328575235109716,2.0683792319749217,0.24835965256008363,
2015-05,13480.380952380952,30084.095238095237,6293.726190476191,1805.1785714285713,,10.056054296661193,2.9738301039956214,2.1557820744389713,0.2469152298850575,
2015-06,12825.227272727272,30650.386363636364,5833.011363636364,1687.7272727272727,,9.567324712643678,3.0298083072100317,1.9979740073145247,0.23085005224660402,
2015-07,11413.097826086956,31579.869565217392,5456.75,1639.5,,8.513908608195901,3.121688255872064,1.8690936781609198,0.2242534482758621,
2015-08,10369.190476190477,29191.333333333332,5128.238095238095,1550.0119047619048,,7.735177723043242,2.8855800766283526,1.756568910782704,0.21201312260536403,
2015-09,9937.545454545454,27714.30681818182,5217.25,1589.6022727272727,,7.413180459770116,2.739575156739812,1.7870580459770116,0.21742835684430514,
2015-10,10316.829545454546,27499.045454545456,5216.090909090909,1516.4886363636363,,7.696117672413794,2.71829644723093,1.786661024033438,0.2074277560083595,
2015-11,9244.333333333334,24413.70238095238,4799.9047619047615,1467.892857142857,,6.896060153256706,2.4133085112205803,1.6441053092501368,0.20078074712643681,
2015-12,8698.369565217392,24016.728260869564,4643.326086956522,1500.2282608695652,,6.488783733133435,2.3740673913043477,1.5904726136931535,0.20520363568215896,
2016-01,8520.27380952381,23173.428571428572,4482.928571428572,1482.0119047619048,,6.355928393541325,2.290706732348112,1.5355318555008213,0.20271197318007667,
2016-02,8298.5,22275.880952380954,4598.619047619048,1531.2619047619048,,6.190490229885058,2.2019836343732897,1.5751591680350303,0.20944846743295023,
2016-03,8708.119565217392,22973.260869565216,4955.815217391304,1525.4673913043478,,6.496057008995503,2.2709200399800102,1.69750912043978,0.20865588455772116,
2016-04,8878.857142857143,23000.5,4872.738095238095,1571.2261904761904,,6.623423316912972,2.273612643678161,1.669052818828681,0.21491484674329503,
2016-05,8681.59090909091,23439.363636363636,4712.511363636364,1555.8295454545455,,6.476267241379312,2.3169945663531872,1.6141705590386628,0.21280886886102407,
